"","player_name","salary","TEAM","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","ppg","Tax","inflation","wins","MVP","MIP","Sixth_man","DPOY","ROY","NBA_1","NBA_2","NBA_3","Rookie_1","Rookie_2","Def_1","Def_2"
"1","LeBron James","30963450","CLE","6'8""","250","None","USA","2003","1","1","8.1","2017","SF","32","74","74","37.8"," 9.9","18.2","0.548","1.7"," 4.6","0.363","8.3","13.5","0.611","0.594","4.8"," 7.2","0.674","1.3"," 7.3"," 8.6"," 8.7","1.2","0.6","4.1","1.8","26.4","5.33%","1.3","51","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"2","Al Horford","26540100","BOS","6'10""","245","Florida","Dominican Rep...","2007","1","3","4.9","2017","C","30","68","68","32.3"," 5.6","11.8","0.473","1.3"," 3.6","0.355","4.3"," 8.2","0.524","0.527","1.6"," 2.0","0.800","1.4"," 5.4"," 6.8"," 5.0","0.8","1.3","1.7","2.0","14.0","5.15%","1.3","53","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"3","Kevin Durant","26540100","GSW","6'9""","240","Texas","USA","2007","1","2","15.7","2017","PF","28","62","62","33.4"," 8.9","16.5","0.537","1.9"," 5.0","0.375","7.0","11.5","0.608","0.594","5.4"," 6.2","0.875","0.6"," 7.6"," 8.3"," 4.8","1.1","1.6","2.2","1.9","25.1","12.30%","1.3","67","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"4","James Harden","26540100","HOU","6'5""","220","Arizona State","USA","2009","1","3","6.9","2017","PG","27","81","81","36.4"," 8.3","18.9","0.440","3.2"," 9.3","0.347","5.1"," 9.6","0.530","0.525","9.2","10.9","0.847","1.2"," 7.0"," 8.1","11.2","1.5","0.5","5.7","2.7","29.1","0%","1.3","55","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"5","Mike Conley","26540100","MEM","6'1""","175","Ohio State","USA","2007","1","4","3.8","2017","PG","29","69","68","33.2"," 6.7","14.6","0.460","2.5"," 6.1","0.408","4.2"," 8.6","0.497","0.545","4.6"," 5.3","0.859","0.4"," 3.0"," 3.5"," 6.3","1.3","0.3","2.3","1.8","20.5","0%","1.3","43","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"6","Russell Westbrook","26540100","OKC","6'3""","200","UCLA","USA","2008","1","4","4.7","2017","PG","28","81","81","34.6","10.2","24.0","0.425","2.5"," 7.2","0.343","7.7","16.8","0.459","0.476","8.8","10.4","0.845","1.7"," 9.0","10.7","10.4","1.6","0.4","5.4","2.3","31.6","5.25%","1.3","47","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"7","DeMar DeRozan","26540100","TOR","6'7""","220","Southern California","USA","2009","1","9","2.6","2017","SG","27","74","74","35.4"," 9.7","20.9","0.467","0.4"," 1.7","0.266","9.3","19.2","0.484","0.477","7.4"," 8.7","0.842","0.9"," 4.3"," 5.2"," 3.9","1.1","0.2","2.4","1.8","27.3","13.60%","1.3","51","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"8","Dirk Nowitzki","25000000","DAL","7'0""","245","None","Germany","1998","1","9","-1.3","2017","PF","38","54","54","26.4"," 5.5","12.6","0.437","1.5"," 3.9","0.378","4.0"," 8.7","0.463","0.495","1.8"," 2.1","0.875","0.4"," 6.1"," 6.5"," 1.5","0.6","0.7","0.9","2.1","14.2","0%","1.3","33","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"9","Carmelo Anthony","24559380","NYK","6'8""","240","Syracuse","USA","2003","1","3","-4.8","2017","SF","32","74","74","34.3"," 8.1","18.8","0.433","2.0"," 5.7","0.359","6.1","13.1","0.466","0.488","4.1"," 4.9","0.833","0.8"," 5.1"," 5.9"," 2.9","0.8","0.5","2.1","2.7","22.4","8.82%","1.3","31","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"10","Damian Lillard","24328425","POR","6'3""","195","Weber State","USA","2012","1","6","1.9","2017","PG","26","75","75","35.9"," 8.8","19.8","0.444","2.9"," 7.7","0.370","6.0","12.1","0.492","0.516","6.5"," 7.3","0.895","0.6"," 4.3"," 4.9"," 5.9","0.9","0.3","2.6","2.0","27.0","9.90%","1.3","41","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"11","Dwight Howard","23500000","ATL","6'11""","265","None","USA","2004","1","1","-2.2","2017","C","31","74","74","29.7"," 5.2"," 8.3","0.633","0.0"," 0.0","0.000","5.2"," 8.3","0.635","0.633","3.1"," 5.7","0.533","4.0"," 8.7","12.7"," 1.4","0.9","1.2","2.3","2.7","13.5","6%","1.3","43","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"12","Dwyane Wade","23200000","CHI","6'4""","220","Marquette","USA","2003","1","5","-2.2","2017","SG","35","60","59","29.9"," 6.9","15.9","0.434","0.8"," 2.4","0.310","6.2","13.5","0.456","0.457","3.7"," 4.7","0.794","1.1"," 3.5"," 4.5"," 3.8","1.4","0.7","2.3","1.9","18.3","3.75%","1.3","41","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"13","Chris Paul","22868827","LAC","6'0""","175","Wake Forest","USA","2005","1","4","14.9","2017","PG","31","61","61","31.5"," 6.1","12.9","0.476","2.0"," 5.0","0.411","4.1"," 7.9","0.518","0.555","3.8"," 4.3","0.892","0.7"," 4.3"," 5.0"," 9.2","2.0","0.1","2.4","2.4","18.1","12.30%","1.3","51","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO"
"14","Harrison Barnes","22116750","DAL","6'8""","225","North Carolina","USA","2012","1","7","-2.2","2017","PF","24","79","79","35.5"," 7.6","16.2","0.468","1.0"," 2.8","0.351","6.6","13.4","0.492","0.498","3.1"," 3.6","0.861","1.2"," 3.8"," 5.0"," 1.5","0.8","0.2","1.3","1.6","19.2","0%","1.3","33","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"15","Andre Drummond","22116750","DET","6'11""","279","Connecticut","USA","2012","1","9","-5.6","2017","C","23","81","81","29.7"," 6.0","11.2","0.530","0.0"," 0.1","0.286","5.9","11.2","0.532","0.531","1.7"," 4.4","0.386","4.3"," 9.5","13.8"," 1.1","1.5","1.1","1.9","2.9","13.6","4.25%","1.3","37","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"16","Chandler Parsons","22116750","MEM","6'10""","230","Florida","USA","2011","2","38","-4.8","2017","SF","28","34","34","19.9"," 2.2"," 6.5","0.338","0.7"," 2.7","0.269","1.5"," 3.8","0.388","0.394","1.0"," 1.3","0.814","0.2"," 2.3"," 2.5"," 1.6","0.6","0.1","0.7","1.5"," 6.2","0%","1.3","43","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"17","Hassan Whiteside","22116750","MIA","7'0""","265","Marshall","USA","2010","2","33","2","2017","C","27","77","77","32.6"," 7.0","12.6","0.557","0.0"," 0.0","   NA","7.0","12.6","0.557","0.557","2.9"," 4.6","0.628","3.8","10.3","14.1"," 0.7","0.7","2.1","2.0","2.9","17.0","0%","1.3","41","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES"
"18","Anthony Davis","22116750","NOP","6'11""","253","Kentucky","USA","2012","1","1","1.3","2017","C","23","75","75","36.1","10.3","20.3","0.505","0.5"," 1.8","0.299","9.7","18.6","0.524","0.518","6.9"," 8.6","0.802","2.3"," 9.5","11.8"," 2.1","1.3","2.2","2.4","2.2","28.0","6%","1.3","34","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"19","Bradley Beal","22116750","WAS","6'5""","207","Florida","USA","2012","1","3","5.7","2017","SG","23","77","77","34.9"," 8.3","17.2","0.482","2.9"," 7.2","0.404","5.4","10.0","0.538","0.566","3.7"," 4.4","0.825","0.7"," 2.4"," 3.1"," 3.5","1.1","0.3","2.0","2.2","23.1","8.95%","1.3","49","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"20","Derrick Rose","21323252","NYK","6'3""","190","Memphis","USA","2008","1","1","-4","2017","PG","28","64","64","32.5"," 7.2","15.3","0.471","0.2"," 0.9","0.217","7.0","14.3","0.487","0.477","3.5"," 4.0","0.874","1.0"," 2.8"," 3.8"," 4.4","0.7","0.3","2.3","1.3","18.0","8.82%","1.3","31","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"21","Brook Lopez","21165675","BKN","7'0""","268","Stanford","USA","2008","1","10","-3.1","2017","C","28","75","75","29.6"," 7.4","15.6","0.474","1.8"," 5.2","0.346","5.6","10.5","0.536","0.531","3.9"," 4.9","0.810","1.6"," 3.8"," 5.4"," 2.3","0.5","1.7","2.5","2.6","20.5","8.82%","1.3","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"22","Kevin Love","21165675","CLE","6'10""","251","UCLA","USA","2008","1","5","8.6","2017","PF","28","60","60","31.4"," 6.2","14.5","0.427","2.4"," 6.5","0.373","3.8"," 8.0","0.471","0.510","4.3"," 4.9","0.871","2.5"," 8.6","11.1"," 1.9","0.9","0.4","2.0","2.1","19.0","5.33%","1.3","51","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"23","DeAndre Jordan","21165675","LAC","6'11""","265","Texas A&M","USA","2008","2","35","8.9","2017","C","28","81","81","31.7"," 5.1"," 7.1","0.714","0.0"," 0.0","0.000","5.1"," 7.1","0.717","0.714","2.5"," 5.2","0.482","3.7","10.1","13.8"," 1.2","0.6","1.7","1.4","2.6","12.7","12.30%","1.3","51","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO"
"24","Marc Gasol","21165675","MEM","7'1""","255","None","Spain","2007","2","48","1.1","2017","C","32","74","74","34.2"," 7.2","15.7","0.459","1.4"," 3.6","0.388","5.8","12.1","0.480","0.503","3.8"," 4.5","0.837","0.8"," 5.5"," 6.3"," 4.6","0.9","1.3","2.2","2.3","19.5","0%","1.3","43","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"25","Nicolas Batum","20869566","CHA","6'8""","200","None","France","2008","1","25","0.9","2017","SG","28","77","77","34.0"," 5.1","12.7","0.403","1.8"," 5.3","0.333","3.4"," 7.4","0.453","0.472","3.2"," 3.7","0.856","0.6"," 5.6"," 6.2"," 5.9","1.1","0.4","2.5","1.4","15.1","5.75%","1.3","36","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"26","LaMarcus Aldridge","20575005","SAS","6'11""","260","Texas","USA","2006","1","2","6.4","2017","PF","31","72","72","32.4"," 6.9","14.6","0.477","0.3"," 0.8","0.411","6.6","13.8","0.480","0.488","3.1"," 3.8","0.812","2.4"," 4.9"," 7.3"," 1.9","0.6","1.2","1.4","2.2","17.3","0%","1.3","61","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"27","Blake Griffin","20093064","LAC","6'10""","251","Oklahoma","USA","2009","1","1","10.5","2017","PF","27","61","61","34.0"," 7.9","15.9","0.493","0.6"," 1.9","0.336","7.2","14.1","0.514","0.513","5.2"," 6.9","0.760","1.8"," 6.3"," 8.1"," 4.9","0.9","0.4","2.3","2.6","21.6","12.30%","1.3","51","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"28","Paul Millsap","20072033","ATL","6'8""","246","Louisiana Tech","USA","2006","2","47","2.7","2017","PF","31","69","67","34.0"," 6.2","14.1","0.442","1.1"," 3.5","0.311","5.1","10.6","0.486","0.481","4.5"," 5.9","0.768","1.6"," 6.1"," 7.7"," 3.7","1.3","0.9","2.3","2.7","18.1","6%","1.3","43","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES"
"29","Ryan Anderson","18735364","HOU","6'10""","240","California","USA","2008","1","21","9.3","2017","PF","28","72","72","29.4"," 4.5","10.7","0.418","2.8"," 7.0","0.403","1.7"," 3.7","0.446","0.550","1.8"," 2.1","0.860","1.6"," 3.0"," 4.6"," 0.9","0.4","0.2","0.8","2.0","13.6","0%","1.3","55","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"30","Allen Crabbe","18500000","POR","6'6","215","California","USA","2013","2","31","-2.8","2017","SG","24","79"," 7","28.5"," 3.8"," 8.2","0.468","1.7"," 3.8","0.444","2.1"," 4.4","0.490","0.572","1.3"," 1.6","0.847","0.2"," 2.6"," 2.9"," 1.2","0.7","0.3","0.8","2.2","10.7","9.90%","1.3","41","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"31","Paul George","18100000","IND","6'9""","220","Fresno State","USA","2010","1","10","3.3","2017","SF","26","75","75","35.9"," 8.3","18.0","0.461","2.6"," 6.6","0.393","5.7","11.4","0.501","0.534","4.5"," 5.0","0.898","0.8"," 5.8"," 6.6"," 3.3","1.6","0.4","2.9","2.7","23.7","3.30%","1.3","42","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES"
