"","player_name","salary","TEAM","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","ppg","Tax","inflation","wins","MVP","MIP","Sixth_man","DPOY","ROY","NBA_1","NBA_2","NBA_3","Rookie_1","Rookie_2","Def_1","Def_2"
"1","Kevin Garnett","19610000","MIN","6'11""","220","None","USA","1995","1","5","3.6","2001","PF","24","81","81","39.5"," 8.7","18.2","0.477","0.2","0.8","0.288"," 8.5","17.4","0.486","0.484","4.4"," 5.8","0.764","2.7"," 8.7","11.4","5.0","1.4","1.8","2.8","2.5","22.0","9.85%","3.4","47","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO"
"2","Shaquille O'Neal","19285715","LAL","7'1""","315","Louisiana State","USA","1992","1","1","8.7","2001","C","28","74","74","39.5","11.0","19.2","0.572","0.0","0.0","0.000","11.0","19.2","0.573","0.572","6.7","13.1","0.513","3.9"," 8.8","12.7","3.7","0.6","2.8","2.9","3.5","28.7","12.30%","3.4","56","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES"
"3","Alonzo Mourning","16880000","MIA","6'10""","261","Georgetown","USA","1992","1","2","5.3","2001","C","30","13"," 3","23.5"," 5.6","10.8","0.518","0.0","0.1","0.000"," 5.6","10.8","0.521","0.518","2.4"," 4.2","0.564","2.7"," 5.1"," 7.8","0.9","0.3","2.4","2.2","1.8","13.6","0%","3.4","50","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO"
"4","Juwan Howard","16875000","DAL","6'9""","250","Michigan","USA","1994","1","5","-1","2001","PF","27","81","81","36.7"," 7.2","15.0","0.479","0.0","0.0","0.000"," 7.2","15.0","0.480","0.479","3.7"," 4.7","0.773","2.1"," 5.0"," 7.1","2.8","0.9","0.5","3.0","3.6","18.0","0%","3.4","53","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"5","Hakeem Olajuwon","16700000","HOU","7'0""","255","Houston","Nigeria","1984","1","1","1.9","2001","C","38","58","55","26.6"," 4.9"," 9.8","0.498","0.0","0.0","0.000"," 4.9"," 9.8","0.499","0.498","2.1"," 3.4","0.621","2.1"," 5.3"," 7.4","1.2","1.2","1.5","1.4","2.4","11.9","0%","3.4","45","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"6","Karl Malone","15750000","UTA","6'9""","256","Louisiana Tech","USA","1985","1","13","7","2001","PF","37","81","81","35.7"," 8.3","16.6","0.498","0.0","0.1","0.400"," 8.2","16.5","0.499","0.499","6.6"," 8.3","0.793","1.4"," 6.9"," 8.3","4.5","1.1","0.8","3.0","2.7","23.2","5%","3.4","53","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"7","David Robinson","14700000","SAS","7'1""","250","Navy","USA","1987","1","1","13","2001","C","35","80","80","29.6"," 5.0","10.3","0.486","0.0","0.0","0.000"," 5.0","10.3","0.487","0.486","4.4"," 5.9","0.747","2.6"," 6.0"," 8.6","1.5","1.0","2.5","1.5","2.7","14.4","0%","3.4","58","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"8","Dikembe Mutombo","14400000","PHI","7'2""","265","Georgetown","Congo","1991","1","4","1.2","2001","C","34","75","75","34.5"," 3.6"," 7.4","0.484","0.0","0.0","   NA"," 3.6"," 7.4","0.484","0.484","2.8"," 3.9","0.725","4.1"," 9.4","13.5","1.0","0.4","2.7","1.9","2.7","10.0","3.07%","3.4","56","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"9","Patrick Ewing","14000000","SEA","7'0""","255","Georgetown","Jamaica","1985","1","1","-3.8","2001","C","38","79","79","26.7"," 3.7"," 8.7","0.430","0.0","0.0","0.000"," 3.7"," 8.6","0.431","0.430","2.2"," 3.2","0.685","1.6"," 5.8"," 7.4","1.2","0.7","1.2","1.9","2.9"," 9.6","NA","3.4","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"10","Scottie Pippen","13750000","POR","6'7""","228","Central Arkansas","USA","1987","1","5","5.5","2001","SF","35","64","60","33.3"," 4.2"," 9.3","0.451","1.0","2.9","0.344"," 3.2"," 6.4","0.500","0.505","1.9"," 2.5","0.739","1.1"," 4.1"," 5.2","4.6","1.5","0.5","2.4","2.5","11.3","9.90%","3.4","50","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES"
"11","Rasheed Wallace","12600000","POR","6'11""","230","North Carolina","USA","1995","1","4","6.4","2001","PF","26","77","75","38.2"," 7.7","15.3","0.501","0.7","2.1","0.321"," 7.0","13.2","0.530","0.523","3.2"," 4.2","0.766","1.9"," 5.9"," 7.8","2.8","1.2","1.8","2.1","2.7","19.2","9.90%","3.4","50","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"12","Gary Payton","12200000","SEA","6'4""","180","Oregon State","USA","1990","1","2","-0.2","2001","PG","32","79","79","41.1"," 9.2","20.1","0.456","1.3","3.4","0.375"," 7.9","16.7","0.472","0.488","3.4"," 4.5","0.766","0.9"," 3.6"," 4.6","8.1","1.6","0.3","2.6","2.3","23.1","NA","3.4","NA","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO"
"13","Tim Hardaway","12000000","MIA","6'0""","195","Texas-El Paso","USA","1989","1","14","4.1","2001","PG","34","77","77","33.9"," 5.3","13.5","0.392","2.5","6.7","0.366"," 2.8"," 6.8","0.417","0.482","1.9"," 2.4","0.801","0.3"," 2.3"," 2.6","6.3","1.2","0.1","2.5","2.0","14.9","0%","3.4","50","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"14","Chris Webber","12000000","SAC","6'10""","245","Michigan","USA","1993","1","1","6.4","2001","PF","27","70","70","40.5","11.2","23.4","0.481","0.0","0.4","0.071","11.2","23.0","0.488","0.481","4.6"," 6.6","0.703","2.6"," 8.5","11.1","4.2","1.3","1.7","2.8","3.2","27.1","12.30%","3.4","55","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
