"","player_name","salary","TEAM","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","ppg","Tax","inflation","wins","MVP","MIP","Sixth_man","DPOY","ROY","NBA_1","NBA_2","NBA_3","Rookie_1","Rookie_2","Def_1","Def_2"
"1","Kevin Garnett","28000000","MIN","6'11""","240","None","USA","1995","1","5","9.8","2004","PF","27","82","82","39.4","9.8","19.6","0.499","0.1","0.5","0.256","9.7","19.1","0.506","0.502","4.5"," 5.7","0.791","3.0","10.9","13.9","5.0","1.5","2.2","2.6","2.5","24.2","9.85%","2.3","58","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO"
"2","Shaquille O'Neal","24749999","LAL","7'1""","340","Louisiana State","USA","1992","1","1","9.4","2004","C","31","67","67","36.8","8.3","14.1","0.584","0.0","0.0","   NA","8.3","14.1","0.584","0.584","4.9","10.1","0.490","3.7"," 7.8","11.5","2.9","0.5","2.5","2.9","3.4","21.5","12.30%","2.3","56","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES"
"3","Dikembe Mutombo","17714291","NYK","7'2""","265","Georgetown","Congo","1991","1","4","-0.7","2004","C","37","65","56","23.0","2.2"," 4.5","0.478","0.0","0.0","   NA","2.2"," 4.5","0.478","0.478","1.2"," 1.8","0.681","2.2"," 4.5"," 6.7","0.4","0.3","1.9","0.8","2.2"," 5.6","8.82%","2.3","39","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"4","Rasheed Wallace","17000000","DET","6'11""","230","North Carolina","USA","1995","1","4","4.5","2004","PF","29","68","66","35.1","6.3","14.3","0.436","1.2","3.6","0.331","5.0","10.7","0.472","0.478","2.3"," 3.1","0.736","1.5"," 5.3"," 6.8","2.3","0.9","1.8","1.8","2.8","16.0","4.25%","2.3","54","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"5","Allan Houston","15937500","NYK","6'6","200","Tennessee","USA","1993","1","11","-0.6","2004","SG","32","50","50","36.0","6.8","15.6","0.435","1.7","4.0","0.431","5.1","11.6","0.437","0.491","3.1"," 3.4","0.913","0.4"," 2.0"," 2.4","2.0","0.8","0.0","2.0","2.1","18.5","8.82%","2.3","39","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"6","Chris Webber","15937500","SAC","6'10""","245","Michigan","USA","1993","1","1","-0.6","2004","PF","30","23","23","36.1","7.6","18.3","0.413","0.0","0.2","0.200","7.5","18.1","0.416","0.414","3.5"," 5.0","0.711","2.1"," 6.6"," 8.7","4.6","1.3","0.9","2.6","3.3","18.7","12.30%","2.3","55","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"7","Shareef Abdur-Rahim","13500000","POR","6'9""","245","California","USA","1996","1","3","-2.1","2004","PF","27","85","56","31.6","5.9","12.4","0.475","0.1","0.4","0.265","5.8","12.0","0.482","0.480","4.4"," 5.0","0.869","2.2"," 5.3"," 7.5","2.0","0.8","0.4","2.2","2.6","16.3","9.90%","2.3","41","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"8","Vin Baker","13500000","NYK","6'11""","250","Hartford","USA","1993","1","8","-2.1","2004","PF","32","54","33","24.3","3.9"," 8.0","0.481","0.0","0.1","0.333","3.8"," 7.9","0.483","0.483","2.1"," 2.9","0.726","2.1"," 3.1"," 5.2","1.2","0.5","0.6","1.4","3.0"," 9.8","8.82%","2.3","39","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"9","Zydrunas Ilgauskas","13500000","CLE","7'3""","260","None","Lithuania","1996","1","20","-2.6","2004","C","28","81","81","31.3","5.8","11.9","0.483","0.0","0.1","0.286","5.7","11.8","0.484","0.484","3.7"," 5.0","0.746","3.4"," 4.6"," 8.1","1.3","0.5","2.5","2.0","3.4","15.3","5.33%","2.3","35","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"10","Antoine Walker","13500000","DAL","6'9""","245","Kentucky","USA","1996","1","6","2.2","2004","PF","27","82","82","34.6","5.9","13.8","0.428","1.0","3.7","0.269","4.9","10.0","0.487","0.464","1.3"," 2.3","0.554","2.4"," 5.9"," 8.3","4.5","0.8","0.8","2.5","2.6","14.0","0%","2.3","52","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"11","Kobe Bryant","13500000","LAL","6'6","220","None","USA","1996","1","13","6","2004","SG","25","65","64","37.6","7.9","18.1","0.438","1.1","3.3","0.327","6.8","14.8","0.463","0.468","7.0"," 8.2","0.852","1.6"," 3.9"," 5.5","5.1","1.7","0.4","2.6","2.7","24.0","12.30%","2.3","56","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO"
"12","Latrell Sprewell","13500000","MIN","6'5""","195","Alabama","USA","1992","1","24","6.5","2004","SF","33","82","82","37.8","6.3","15.4","0.409","1.2","3.6","0.331","5.1","11.8","0.433","0.448","2.9"," 3.6","0.814","0.7"," 3.1"," 3.8","3.5","1.1","0.3","1.9","1.2","16.8","9.85%","2.3","58","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"13","Antonio McDyess","13500000","PHX","6'9""","245","Alabama","USA","1995","1","2","0.2","2004","PF","29","42","20","22.1","3.0"," 6.4","0.470","0.0","0.0","   NA","3.0"," 6.4","0.470","0.470","0.9"," 1.6","0.551","1.7"," 4.5"," 6.1","0.9","0.9","0.6","1.4","2.8"," 6.9","4.54%","2.3","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"14","Ray Allen","13500000","SEA","6'5""","205","Connecticut","USA","1996","1","5","2.5","2004","SG","28","56","56","38.4","8.0","18.2","0.440","2.6","6.8","0.392","5.3","11.4","0.468","0.512","4.4"," 4.8","0.904","1.2"," 3.9"," 5.1","4.8","1.3","0.2","2.8","2.4","23.0","NA","2.3","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"15","Allen Iverson","13500000","PHI","6'0""","165","Georgetown","USA","1996","1","1","-2.4","2004","SG","28","48","47","42.5","9.1","23.4","0.387","1.2","4.1","0.286","7.9","19.3","0.408","0.412","7.1"," 9.5","0.745","0.7"," 3.0"," 3.7","6.8","2.4","0.1","4.4","1.8","26.4","3.07%","2.3","33","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"16","Anfernee Hardaway","13500000","NYK","6'7""","215","Memphis","USA","1993","1","3","-2.1","2004","SG","32","76","14","27.6","3.7"," 8.9","0.411","0.4","1.0","0.380","3.3"," 7.9","0.415","0.433","1.5"," 1.8","0.804","0.9"," 2.9"," 3.8","2.3","0.9","0.3","1.4","1.9"," 9.2","8.82%","2.3","39","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"17","Stephon Marbury","13500000","NYK","6'2""","205","Georgia Tech","USA","1996","1","4","-1.6","2004","PG","26","81","81","40.2","7.4","17.1","0.431","1.1","3.4","0.318","6.3","13.7","0.460","0.463","4.4"," 5.4","0.817","0.7"," 2.5"," 3.2","8.9","1.6","0.1","3.1","2.1","20.2","8.82%","2.3","39","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"18","Michael Finley","13281250","DAL","6'7""","225","Wisconsin","USA","1995","1","21","4.8","2004","SG","30","72","72","38.6","7.1","16.1","0.443","2.1","5.1","0.405","5.1","11.0","0.461","0.508","2.3"," 2.7","0.850","1.1"," 3.4"," 4.5","2.9","1.2","0.5","1.2","1.6","18.6","0%","2.3","52","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"19","Keith Van Horn","13279750","MIL","6'10""","240","Utah","USA","1997","1","2","0.6","2004","SF","28","72","62","32.5","5.7","12.5","0.454","1.3","3.2","0.399","4.4"," 9.3","0.473","0.506","3.5"," 4.0","0.859","2.1"," 4.9"," 7.0","1.7","0.9","0.5","2.3","3.0","16.1","7.65%","2.3","41","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"20","Tracy McGrady","13279750","ORL","6'8""","210","None","USA","1997","1","9","-5.9","2004","SG","24","67","67","39.9","9.7","23.4","0.417","2.6","7.7","0.339","7.1","15.7","0.455","0.473","5.9"," 7.5","0.796","1.4"," 4.6"," 6.0","5.5","1.4","0.6","2.7","1.9","28.0","0%","2.3","21","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"21","Jalen Rose","13279750","TOR","6'8""","217","Michigan","USA","1994","1","13","-2.5","2004","PG-SF","31","66","64","37.8","5.8","14.4","0.402","1.0","3.1","0.342","4.8","11.4","0.419","0.439","2.8"," 3.5","0.810","0.5"," 3.5"," 4.0","5.0","0.8","0.3","3.2","2.8","15.5","13.60%","2.3","33","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"22","Jason Kidd","13152000","NJN","6'4""","212","California","USA","1994","1","2","7.6","2004","PG","30","67","66","36.6","5.5","14.3","0.384","1.4","4.4","0.321","4.1"," 9.9","0.411","0.433","3.1"," 3.7","0.827","1.3"," 5.1"," 6.4","9.2","1.8","0.2","3.2","1.6","15.5","NA","2.3","NA","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES"
"23","Jermaine O'Neal","13152000","IND","6'11""","242","None","USA","1996","1","17","8.5","2004","PF","25","78","78","35.7","7.8","17.9","0.434","0.0","0.2","0.111","7.8","17.7","0.438","0.435","4.5"," 5.9","0.757","2.5"," 7.5","10.0","2.1","0.8","2.6","2.3","3.2","20.1","3.30%","2.3","61","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"24","Antonio Davis","12925000","CHI","6'9""","230","Texas-El Paso","USA","1990","2","45","-5.8","2004","C","35","80","79","32.1","3.3"," 8.3","0.403","0.0","0.0","   NA","3.3"," 8.3","0.403","0.403","2.2"," 2.9","0.765","2.6"," 5.8"," 8.4","1.7","0.5","0.8","1.4","2.6"," 8.9","3.75%","2.3","23","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
