"","player_name","salary","TEAM","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","ppg","Tax","inflation","wins","MVP","MIP","Sixth_man","DPOY","ROY","NBA_1","NBA_2","NBA_3","Rookie_1","Rookie_2","Def_1","Def_2"
"1","Kevin Garnett","21000000","MIN","6'11""","253","None","USA","1995","1","5","0.1","2007","PF","30","76","76","39.4"," 8.4","17.6","0.476","0.2","0.7","0.214"," 8.2","16.9","0.487","0.480","5.5"," 6.6","0.835","2.4","10.4","12.8"," 4.1","1.2","1.7","2.7","2.4","22.4","9.85%","3.2","32","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES"
"2","Shaquille O'Neal","20000000","MIA","7'1""","325","Louisiana State","USA","1992","1","1","3.5","2007","C","34","40","39","28.4"," 7.1","12.0","0.591","0.0","0.0","   NA"," 7.1","12.0","0.591","0.591","3.1"," 7.4","0.422","2.4"," 5.0"," 7.4"," 2.0","0.2","1.4","2.4","3.5","17.3","0%","3.2","44","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"3","Michael Finley","19030999","SAS","6'7""","225","Wisconsin","USA","1995","1","21","5.2","2007","SF","33","82","16","22.2"," 3.3"," 8.1","0.412","1.3","3.5","0.364"," 2.1"," 4.6","0.448","0.490","1.1"," 1.2","0.918","0.4"," 2.3"," 2.7"," 1.3","0.4","0.2","0.6","0.9"," 9.0","0%","3.2","58","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"4","Chris Webber","18261024","DET","6'10""","245","Michigan","USA","1993","1","1","3","2007","PF","33","61","60","29.9"," 4.7","10.5","0.452","0.1","0.2","0.364"," 4.7","10.3","0.454","0.455","1.7"," 2.6","0.638","2.0"," 5.1"," 7.2"," 3.1","1.0","0.7","1.8","2.3","11.2","4.25%","3.2","53","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"5","Jason Kidd","18084000","NJN","6'4""","210","California","USA","1994","1","2","1","2007","PG","33","80","80","36.7"," 4.6","11.4","0.406","1.6","4.5","0.343"," 3.1"," 6.8","0.448","0.475","2.2"," 2.9","0.778","1.7"," 6.5"," 8.2"," 9.2","1.6","0.3","2.7","1.8","13.0","NA","3.2","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
"6","Jermaine O'Neal","18084000","IND","6'11""","260","None","USA","1996","1","17","0.2","2007","C","28","69","69","35.6"," 7.2","16.5","0.436","0.0","0.1","0.000"," 7.2","16.4","0.439","0.436","5.0"," 6.5","0.767","2.2"," 7.4"," 9.6"," 2.4","0.7","2.6","2.9","3.4","19.4","3.30%","3.2","35","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"7","Kobe Bryant","17718750","LAL","6'6","220","None","USA","1996","1","13","1.5","2007","SG","28","77","77","40.8","10.6","22.8","0.463","1.8","5.2","0.344"," 8.8","17.6","0.497","0.502","8.7","10.0","0.868","1.0"," 4.7"," 5.7"," 5.4","1.4","0.5","3.3","2.7","31.6","12.30%","3.2","42","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO"
"8","Tim Duncan","17429672","SAS","6'11""","260","Wake Forest","US Virgin Isl...","1997","1","1","14.7","2007","C","30","80","80","34.1"," 7.7","14.1","0.546","0.0","0.1","0.111"," 7.7","14.0","0.550","0.547","4.5"," 7.1","0.637","2.7"," 7.9","10.6"," 3.4","0.8","2.4","2.8","2.5","20.0","0%","3.2","58","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES"
"9","Allen Iverson","17184375","DEN","6'0""","165","Georgetown","USA","1996","1","1","-0.3","2007","SG-PG","31","65","64","42.5"," 8.9","20.2","0.442","1.0","3.0","0.315"," 8.0","17.2","0.465","0.466","7.5"," 9.4","0.795","0.4"," 2.6"," 3.0"," 7.2","1.9","0.2","4.1","1.5","26.3","4.63%","3.2","45","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"10","Stephon Marbury","17184375","NYK","6'2""","205","Georgia Tech","USA","1996","1","4","-3.3","2007","PG","29","74","74","37.1"," 5.3","12.9","0.415","1.7","4.7","0.357"," 3.7"," 8.2","0.448","0.480","4.0"," 5.2","0.769","0.5"," 2.4"," 2.9"," 5.4","1.0","0.1","2.4","2.5","16.4","8.82%","3.2","33","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"11","Tracy McGrady","16901500","HOU","6'8""","223","None","USA","1997","1","9","7.8","2007","SG","27","71","71","35.8"," 9.0","20.8","0.431","1.8","5.4","0.331"," 7.2","15.5","0.466","0.474","4.9"," 6.9","0.707","0.8"," 4.5"," 5.3"," 6.5","1.3","0.5","3.0","1.9","24.6","0%","3.2","52","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"12","Grant Hill","16901500","ORL","6'8""","225","Duke","USA","1994","1","3","-1.5","2007","SG","34","65","64","30.9"," 5.3","10.2","0.518","0.0","0.2","0.167"," 5.2","10.0","0.525","0.520","3.8"," 5.0","0.765","0.8"," 2.8"," 3.6"," 2.1","0.9","0.4","2.2","2.2","14.4","0%","3.2","40","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"13","Jalen Rose","16141500","PHX","6'8""","215","Michigan","USA","1994","1","13","-8.9","2007","SF","34","29"," 0"," 8.5"," 1.3"," 3.0","0.442","0.7","1.6","0.447"," 0.6"," 1.3","0.436","0.564","0.4"," 0.4","0.917","0.1"," 0.7"," 0.8"," 0.6","0.2","0.1","0.3","0.8"," 3.7","4.54%","3.2","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"14","Ben Wallace","16000000","CHI","6'9""","240","Virginia Union","USA","Undrafted","Undrafted","Undrafted","3","2007","C","32","77","77","35.0"," 2.5"," 5.5","0.453","0.0","0.1","0.200"," 2.5"," 5.4","0.456","0.454","1.4"," 3.5","0.408","3.9"," 6.7","10.7"," 2.4","1.4","2.0","1.3","2.0"," 6.4","3.75%","3.2","49","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO"
"15","Eddie Jones","15395472","MIA","6'6","200","Temple","USA","1994","1","10","-1.4","2007","SG","35","64","41","24.9"," 2.8"," 6.6","0.422","1.2","3.5","0.351"," 1.6"," 3.1","0.500","0.514","0.9"," 1.2","0.787","0.5"," 2.5"," 3.0"," 1.7","1.1","0.2","0.7","1.9"," 7.7","0%","3.2","44","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"16","Paul Pierce","15101625","BOS","6'6","230","Kansas","USA","1998","1","10","0.2","2007","SG","29","47","46","37.0"," 7.9","18.1","0.439","2.3","5.9","0.389"," 5.7","12.2","0.463","0.502","6.8"," 8.6","0.796","0.8"," 5.1"," 5.9"," 4.1","1.0","0.3","3.2","2.6","25.0","5.15%","3.2","24","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"17","Vince Carter","15101625","NJN","6'6","220","North Carolina","USA","1998","1","5","1","2007","SG","30","82","82","38.1"," 8.9","19.5","0.454","1.9","5.3","0.357"," 7.0","14.2","0.491","0.503","5.6"," 7.0","0.802","1.4"," 4.6"," 6.0"," 4.8","1.0","0.4","2.6","3.2","25.2","NA","3.2","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"18","Dirk Nowitzki","15101625","DAL","7'0""","245","None","Germany","1998","1","9","12","2007","PF","28","78","78","36.2"," 8.6","17.2","0.502","0.9","2.2","0.416"," 7.7","15.0","0.515","0.529","6.4"," 7.1","0.904","1.6"," 7.3"," 8.9"," 3.4","0.7","0.8","2.1","2.2","24.6","0%","3.2","67","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"19","Antawn Jamison","15101625","WAS","6'9""","235","North Carolina","USA","1998","1","4","1.5","2007","PF","30","70","70","38.0"," 7.3","16.3","0.450","2.0","5.4","0.364"," 5.3","10.9","0.492","0.510","3.2"," 4.4","0.736","1.9"," 6.1"," 8.0"," 1.9","1.1","0.5","1.5","2.8","19.8","8.95%","3.2","41","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"20","Baron Davis","15070000","GSW","6'3""","215","UCLA","USA","1999","1","3","5.2","2007","PG","27","63","62","35.3"," 7.2","16.3","0.439","1.3","4.4","0.304"," 5.8","11.9","0.489","0.480","4.4"," 5.9","0.745","0.8"," 3.6"," 4.4"," 8.1","2.1","0.5","3.1","2.9","20.1","12.30%","3.2","42","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"21","Steve Francis","15070000","NYK","6'3""","210","Maryland","USA","1999","1","2","-0.6","2007","SG","29","44","30","28.1"," 3.2"," 7.8","0.408","1.0","2.5","0.378"," 2.2"," 5.3","0.422","0.469","4.0"," 4.8","0.829","0.8"," 2.8"," 3.6"," 3.9","0.9","0.3","2.3","2.9","11.3","8.82%","3.2","33","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"22","Shawn Marion","15070000","PHX","6'7""","228","Nevada-Las Vegas","USA","1999","1","9","9.8","2007","SF","28","80","80","37.6"," 7.0","13.4","0.524","1.0","3.2","0.317"," 6.0","10.2","0.587","0.561","2.5"," 3.1","0.810","2.2"," 7.7"," 9.8"," 1.7","2.0","1.5","1.4","2.7","17.5","4.54%","3.2","NA","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"23","Ray Allen","14611570","SEA","6'5""","205","Connecticut","USA","1996","1","5","-1","2007","SG","31","55","55","40.3"," 9.2","21.0","0.438","3.0","8.1","0.372"," 6.2","12.9","0.479","0.510","5.1"," 5.6","0.903","1.0"," 3.5"," 4.5"," 4.1","1.5","0.2","2.8","2.1","26.4","NA","3.2","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"24","Elton Brand","14248000","LAC","6'8""","254","Duke","USA","1999","1","1","0.8","2007","PF","27","80","80","38.5"," 8.1","15.1","0.533","0.0","0.0","1.000"," 8.1","15.1","0.532","0.533","4.4"," 5.8","0.761","3.4"," 6.0"," 9.3"," 2.9","1.0","2.2","2.5","3.0","20.5","12.30%","3.2","40","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
