"","player_name","salary","TEAM","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","ppg","Tax","inflation","wins","MVP","MIP","Sixth_man","DPOY","ROY","NBA_1","NBA_2","NBA_3","Rookie_1","Rookie_2","Def_1","Def_2"
"1","Kobe Bryant","25000000","LAL","6'6","212","None","USA","1996","1","13","-14.8","2016","SF","37","66","66","28.2"," 6.0","16.9","0.358","2.0"," 7.1","0.285","4.0"," 9.8","0.410","0.417","3.5"," 4.3","0.826","0.6"," 3.1"," 3.7"," 2.8","0.9","0.2","2.0","1.7","17.6","12.30%","0.1","17","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"2","LeBron James","22970500","CLE","6'8""","250","None","USA","2003","1","1","11.5","2016","SF","31","76","76","35.6"," 9.7","18.6","0.520","1.1"," 3.7","0.309","8.6","14.9","0.573","0.551","4.7"," 6.5","0.731","1.5"," 6.0"," 7.4"," 6.8","1.4","0.6","3.3","1.9","25.3","5.33%","0.1","57","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"3","Carmelo Anthony","22875000","NYK","6'8""","240","Syracuse","USA","2003","1","3","-0.7","2016","SF","31","72","72","35.1"," 7.9","18.2","0.434","1.5"," 4.3","0.339","6.4","13.8","0.463","0.474","4.6"," 5.6","0.829","1.4"," 6.4"," 7.7"," 4.2","0.9","0.5","2.4","2.5","21.8","8.82%","0.1","32","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"4","Dwight Howard","22359364","HOU","6'11""","265","None","USA","2004","1","1","0.9","2016","C","30","71","71","32.1"," 5.2"," 8.5","0.620","0.0"," 0.1","0.000","5.2"," 8.4","0.626","0.620","3.3"," 6.7","0.489","3.4"," 8.4","11.8"," 1.4","1.0","1.6","2.3","3.1","13.7","0%","0.1","41","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"5","Joe Johnson","22309344","MIA","6'7""","240","Arkansas","USA","2001","1","10","-0.7","2016","SF","34","81","81","33.4"," 4.7","10.6","0.439","1.5"," 3.9","0.383","3.2"," 6.7","0.471","0.509","1.5"," 1.8","0.831","0.6"," 3.0"," 3.6"," 3.9","0.8","0.0","2.0","1.8","12.2","0%","0.1","48","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"6","Chris Bosh","22192730","MIA","6'11""","235","Georgia Tech","USA","2003","1","4","0.6","2016","PF","31","53","53","33.5"," 6.8","14.5","0.467","1.5"," 4.2","0.365","5.2","10.3","0.508","0.520","4.0"," 5.1","0.795","0.9"," 6.5"," 7.4"," 2.4","0.7","0.6","1.5","1.9","19.1","0%","0.1","48","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"7","Kevin Durant","21971850","OKC","6'9""","240","Texas","USA","2007","1","2","11.9","2016","SF","27","72","72","35.8"," 9.7","19.2","0.505","2.6"," 6.7","0.387","7.1","12.5","0.569","0.573","6.2"," 6.9","0.898","0.6"," 7.6"," 8.2"," 5.0","1.0","1.2","3.5","1.9","28.2","5.25%","0.1","55","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"8","Chris Paul","21468695","LAC","6'0""","175","Wake Forest","USA","2005","1","4","11.1","2016","PG","30","74","74","32.7"," 7.0","15.1","0.462","1.6"," 4.4","0.371","5.3","10.6","0.501","0.517","4.0"," 4.4","0.896","0.5"," 3.7"," 4.2","10.0","2.1","0.2","2.6","2.5","19.5","12.30%","0.1","53","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO"
"9","Derrick Rose","20093064","CHI","6'3""","190","Memphis","USA","2008","1","1","-3.8","2016","PG","27","66","66","31.8"," 6.8","15.9","0.427","0.7"," 2.3","0.293","6.1","13.6","0.449","0.448","2.2"," 2.7","0.793","0.7"," 2.7"," 3.4"," 4.7","0.7","0.2","2.7","1.3","16.4","3.75%","0.1","42","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"10","Dwyane Wade","20000000","MIA","6'4""","220","Marquette","USA","2003","1","5","-0.2","2016","SG","34","74","73","30.5"," 7.3","16.0","0.456","0.1"," 0.6","0.159","7.2","15.4","0.468","0.459","4.4"," 5.5","0.793","1.1"," 3.0"," 4.1"," 4.6","1.1","0.6","2.7","1.6","19.0","0%","0.1","48","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"11","Brook Lopez","19689000","BKN","7'0""","275","Stanford","USA","2008","1","10","-1.7","2016","C","27","73","73","33.7"," 8.1","15.8","0.511","0.0"," 0.2","0.143","8.1","15.7","0.515","0.512","4.3"," 5.5","0.787","2.8"," 5.1"," 7.8"," 2.0","0.8","1.7","2.4","2.9","20.6","8.82%","0.1","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"12","Kevin Love","19689000","CLE","6'10""","251","UCLA","USA","2008","1","5","9","2016","PF","27","77","77","31.5"," 5.3","12.7","0.419","2.1"," 5.7","0.360","3.3"," 7.0","0.467","0.499","3.4"," 4.1","0.822","1.9"," 8.0"," 9.9"," 2.4","0.8","0.5","1.8","2.1","16.0","5.33%","0.1","57","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"13","DeAndre Jordan","19689000","LAC","6'11""","265","Texas A&M","USA","2008","2","35","8.2","2016","C","27","77","77","33.7"," 4.6"," 6.6","0.703","0.0"," 0.0","0.000","4.6"," 6.6","0.704","0.703","3.5"," 8.0","0.430","3.5","10.3","13.8"," 1.2","0.7","2.3","1.4","2.7","12.7","12.30%","0.1","53","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO"
"14","Marc Gasol","19689000","MEM","7'1""","255","None","Spain","2007","2","48","0.3","2016","C","31","52","52","34.4"," 6.3","13.6","0.464","0.0"," 0.1","0.667","6.3","13.5","0.463","0.465","3.9"," 4.7","0.829","1.1"," 5.8"," 7.0"," 3.8","1.0","1.3","2.3","2.7","16.6","0%","0.1","42","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"15","LaMarcus Aldridge","19689000","SAS","6'11""","240","Texas","USA","2006","1","2","11.8","2016","PF","30","74","74","30.6"," 7.2","14.1","0.513","0.0"," 0.2","0.000","7.2","13.9","0.521","0.513","3.5"," 4.1","0.858","2.4"," 6.2"," 8.5"," 1.5","0.5","1.1","1.3","2.0","18.0","0%","0.1","67","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"16","Blake Griffin","18862876","LAC","6'10""","251","Oklahoma","USA","2009","1","1","7.5","2016","PF","26","35","35","33.4"," 8.6","17.2","0.499","0.2"," 0.5","0.333","8.4","16.7","0.504","0.504","4.0"," 5.5","0.727","1.5"," 6.9"," 8.4"," 4.9","0.8","0.5","2.4","2.7","21.4","12.30%","0.1","53","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"17","Paul Millsap","18671659","ATL","6'8""","246","Louisiana Tech","USA","2006","2","47","4.3","2016","PF","30","81","81","32.7"," 6.2","13.2","0.470","0.9"," 2.9","0.319","5.3","10.3","0.512","0.505","3.8"," 5.0","0.757","2.4"," 6.6"," 9.0"," 3.3","1.8","1.7","2.4","2.9","17.1","6%","0.1","48","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"18","David Lee","17120776","DAL","6'9""","245","Florida","USA","2005","1","30","-4.7","2016","PF","32","55"," 5","16.4"," 3.2"," 6.1","0.531","0.0"," 0.0","0.000","3.2"," 6.1","0.533","0.531","1.3"," 1.7","0.763","1.8"," 3.7"," 5.5"," 1.5","0.4","0.5","1.2","2.1"," 7.8","0%","0.1","42","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"19","Paul George","16900000","IND","6'9""","220","Fresno State","USA","2010","1","10","3","2016","SF","25","81","81","34.8"," 7.5","17.9","0.418","2.6"," 7.0","0.371","4.9","10.9","0.447","0.490","5.6"," 6.5","0.860","1.0"," 6.0"," 7.0"," 4.1","1.9","0.4","3.3","2.8","23.1","3.30%","0.1","45","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"20","Russell Westbrook","16744218","OKC","6'3""","200","UCLA","USA","2008","1","4","11.5","2016","PG","27","80","80","34.4"," 8.2","18.1","0.454","1.3"," 4.3","0.296","6.9","13.8","0.503","0.489","5.8"," 7.2","0.812","1.8"," 6.0"," 7.8","10.4","2.0","0.3","4.3","2.5","23.5","5.25%","0.1","55","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
