"","player_name","salary","TEAM","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","ppg","Tax","inflation","wins","MVP","MIP","Sixth_man","DPOY","ROY","NBA_1","NBA_2","NBA_3","Rookie_1","Rookie_2","Def_1","Def_2"
"1","Shaquille O'Neal","20000000","MIA","7'1""","325","Louisiana State","USA","1992","1","1","7.9","2006","C","33","59","58","30.6"," 8.1","13.6","0.600","0.0","0.0","   NA"," 8.1","13.6","0.600","0.600","3.7"," 8.0","0.469","2.9","6.3"," 9.2"," 1.9","0.4","1.8","2.8","3.9","20.0","0%","3.4","52","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"2","Chris Webber","19125000","PHI","6'10""","245","Michigan","USA","1993","1","1","-2.1","2006","PF","32","75","75","38.6"," 8.2","19.0","0.434","0.3","1.0","0.273"," 7.9","17.9","0.443","0.441","3.5"," 4.6","0.756","2.5","7.4"," 9.9"," 3.4","1.4","0.8","2.4","2.9","20.2","3.07%","3.4","38","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"3","Michael Finley","18612500","SAS","6'7""","225","Wisconsin","USA","1995","1","21","6","2006","SG","32","77","18","26.5"," 3.7"," 9.0","0.412","1.4","3.6","0.394"," 2.3"," 5.4","0.423","0.491","1.3"," 1.5","0.852","0.4","2.8"," 3.2"," 1.5","0.5","0.1","0.8","1.3","10.1","0%","3.4","63","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"4","Kevin Garnett","18000000","MIN","6'11""","220","None","USA","1995","1","5","1.3","2006","PF","29","76","76","38.9"," 8.2","15.7","0.526","0.1","0.4","0.267"," 8.1","15.3","0.532","0.529","5.2"," 6.4","0.810","2.8","9.9","12.7"," 4.1","1.4","1.4","2.4","2.7","21.8","9.85%","3.4","33","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES"
"5","Stephon Marbury","16453125","NYK","6'2""","205","Georgia Tech","USA","1996","1","4","-6.4","2006","PG","28","60","60","36.6"," 5.8","12.9","0.451","0.6","1.7","0.317"," 5.3","11.2","0.472","0.472","4.1"," 5.4","0.755","0.4","2.5"," 2.9"," 6.4","1.1","0.1","2.6","2.4","16.3","8.82%","3.4","23","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"6","Allen Iverson","16453125","PHI","6'0""","165","Georgetown","USA","1996","1","1","0.3","2006","PG","30","72","72","43.1","11.3","25.3","0.447","1.0","3.1","0.323","10.3","22.2","0.465","0.467","9.4","11.5","0.814","0.6","2.6"," 3.2"," 7.4","1.9","0.1","3.4","1.7","33.0","3.07%","3.4","38","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"7","Jason Kidd","16440000","NJN","6'4""","210","California","USA","1994","1","2","4.5","2006","PG","32","80","80","37.2"," 4.6","11.3","0.404","1.7","4.9","0.352"," 2.8"," 6.4","0.445","0.481","2.4"," 3.1","0.795","1.1","6.2"," 7.3"," 8.4","1.9","0.4","2.4","2.0","13.3","NA","3.4","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES"
"8","Jermaine O'Neal","16440000","IND","6'11""","260","None","USA","1996","1","17","3.5","2006","PF","27","51","47","35.3"," 7.5","15.8","0.472","0.1","0.2","0.300"," 7.4","15.6","0.474","0.474","5.1"," 7.2","0.709","2.0","7.3"," 9.3"," 2.6","0.5","2.3","3.0","3.5","20.1","3.30%","3.4","41","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"9","Brian Grant","16006220","PHX","6'9""","254","Xavier","USA","1994","1","8","-2.8","2006","C","33","21"," 2","11.8"," 1.3"," 3.1","0.415","0.0","0.0","   NA"," 1.3"," 3.1","0.415","0.415","0.3"," 0.4","0.875","0.5","2.2"," 2.7"," 0.3","0.2","0.1","0.3","2.1"," 2.9","4.54%","3.4","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"10","Kobe Bryant","15946875","LAL","6'6","220","None","USA","1996","1","13","4.9","2006","SG","27","80","80","41.0","12.2","27.2","0.450","2.3","6.5","0.347","10.0","20.7","0.482","0.491","8.7","10.2","0.850","0.9","4.4"," 5.3"," 4.5","1.8","0.4","3.1","2.9","35.4","12.30%","3.4","45","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"11","Tim Duncan","15845156","SAS","6'11""","260","Wake Forest","US Virgin Isl...","1997","1","1","9.9","2006","PF","29","80","80","34.8"," 7.2","14.8","0.484","0.0","0.1","0.400"," 7.2","14.8","0.485","0.485","4.2"," 6.7","0.629","2.9","8.1","11.0"," 3.2","0.9","2.0","2.5","2.7","18.6","0%","3.4","63","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO"
"12","Anfernee Hardaway","15750000","NYK","6'7""","215","Memphis","USA","1993","1","3","4.9","2006","SF","34"," 4"," 0","18.0"," 1.0"," 3.5","0.286","0.0","0.3","0.000"," 1.0"," 3.3","0.308","0.286","0.5"," 0.5","1.000","0.0","2.5"," 2.5"," 2.0","0.5","0.0","1.5","1.8"," 2.5","8.82%","3.4","23","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"13","Keith Van Horn","15694250","DAL","6'10""","245","Utah","USA","1997","1","2","4.6","2006","SF","30","53"," 0","20.6"," 3.1"," 7.3","0.424","0.9","2.6","0.368"," 2.2"," 4.7","0.454","0.488","1.8"," 2.1","0.832","1.0","2.6"," 3.6"," 0.7","0.6","0.2","1.3","2.3"," 8.9","0%","3.4","60","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"14","Tracy McGrady","15694250","HOU","6'8""","210","None","USA","1997","1","9","1.8","2006","SF","26","47","47","37.1"," 8.7","21.5","0.406","1.6","5.0","0.312"," 7.2","16.5","0.434","0.442","5.4"," 7.2","0.747","1.0","5.6"," 6.5"," 4.8","1.3","0.9","2.6","1.9","24.4","0%","3.4","34","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"15","Grant Hill","15694250","ORL","6'8""","225","Duke","USA","1994","1","3","-3.6","2006","SF","33","21","17","29.2"," 5.7","11.6","0.490","0.1","0.4","0.250"," 5.6","11.2","0.498","0.494","3.7"," 4.9","0.765","0.7","3.1"," 3.8"," 2.3","1.1","0.3","1.7","2.4","15.1","0%","3.4","36","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"16","Jalen Rose","15694250","NYK","6'8""","215","Michigan","USA","1994","1","13","-6.9","2006","SF-SG","33","72","45","27.5"," 4.0"," 9.5","0.423","0.8","2.4","0.343"," 3.2"," 7.1","0.450","0.466","3.4"," 4.4","0.780","0.4","2.5"," 2.9"," 2.5","0.4","0.2","1.6","2.2","12.3","8.82%","3.4","23","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"17","Eddie Jones","14576250","MEM","6'6","200","Temple","USA","1994","1","10","7.5","2006","SG","34","75","75","32.5"," 3.9"," 9.6","0.404","1.8","5.0","0.356"," 2.1"," 4.6","0.457","0.497","2.2"," 2.9","0.781","0.5","3.3"," 3.7"," 2.4","1.7","0.4","1.2","2.7","11.8","0%","3.4","49","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"18","Tim Thomas","13975000","PHX","6'10""","240","Villanova","USA","1997","1","7","1.7","2006","PF-SF","28","29","10","23.0"," 3.9"," 9.0","0.431","1.6","3.8","0.414"," 2.3"," 5.2","0.444","0.519","1.0"," 1.4","0.667","0.8","3.8"," 4.5"," 0.7","0.6","0.2","1.1","2.7","10.3","4.54%","3.4","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"19","Antonio Davis","13925000","TOR","6'9""","245","Texas-El Paso","USA","1990","2","45","-9.9","2006","PF-C","37","44","39","21.4"," 1.9"," 4.3","0.432","0.0","0.0","0.000"," 1.9"," 4.3","0.434","0.432","1.2"," 1.8","0.642","2.0","2.7"," 4.7"," 0.5","0.5","0.2","1.2","2.8"," 4.9","13.60%","3.4","27","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"20","Paul Pierce","13843156","BOS","6'6","230","Kansas","USA","1998","1","10","-0.4","2006","SF","28","79","79","39.0"," 8.7","18.5","0.471","1.4","4.0","0.354"," 7.3","14.5","0.503","0.509","7.9","10.3","0.772","1.0","5.7"," 6.7"," 4.7","1.4","0.4","3.5","2.8","26.8","5.15%","3.4","33","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"21","Vince Carter","13843156","NJN","6'6","220","North Carolina","USA","1998","1","5","6","2006","SG","29","79","79","36.8"," 8.3","19.2","0.430","1.6","4.6","0.341"," 6.7","14.6","0.459","0.471","6.1"," 7.6","0.799","1.7","4.1"," 5.8"," 4.3","1.2","0.7","2.7","3.0","24.2","NA","3.4","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"22","Dirk Nowitzki","13843156","DAL","7'0""","245","None","Germany","1998","1","9","8.7","2006","PF","27","81","81","38.1"," 9.3","19.3","0.480","1.4","3.3","0.406"," 7.9","16.0","0.496","0.515","6.7"," 7.4","0.901","1.4","7.6"," 9.0"," 2.8","0.7","1.0","1.9","2.0","26.6","0%","3.4","60","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"23","Antawn Jamison","13843156","WAS","6'9""","235","North Carolina","USA","1998","1","4","3.5","2006","SF","29","82","80","40.1"," 8.0","18.2","0.442","1.8","4.5","0.394"," 6.3","13.7","0.458","0.491","2.6"," 3.6","0.731","2.0","7.3"," 9.3"," 1.9","1.1","0.1","1.7","2.3","20.5","8.95%","3.4","42","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"24","Baron Davis","13700000","GSW","6'3""","215","UCLA","USA","1999","1","3","0.8","2006","PG","26","54","48","36.5"," 6.2","15.9","0.389","1.9","6.0","0.315"," 4.3"," 9.9","0.434","0.448","3.6"," 5.4","0.675","0.8","3.5"," 4.4"," 8.9","1.6","0.3","2.9","3.1","17.9","12.30%","3.4","34","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"25","Steve Francis","13700000","NYK","6'3""","200","Maryland","USA","1999","1","2","-5","2006","PG-SG","28","70","60","34.2"," 4.8","10.9","0.435","0.4","1.2","0.301"," 4.4"," 9.7","0.452","0.452","4.5"," 5.7","0.787","1.1","3.1"," 4.1"," 4.9","1.1","0.2","3.1","2.9","14.4","8.82%","3.4","23","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"26","Shawn Marion","13700000","PHX","6'7""","228","Nevada-Las Vegas","USA","1999","1","9","6.1","2006","PF","27","81","81","40.3"," 8.8","16.9","0.525","1.2","3.6","0.331"," 7.7","13.3","0.577","0.560","3.0"," 3.7","0.809","3.1","8.8","11.8"," 1.8","2.0","1.7","1.5","2.8","21.8","4.54%","3.4","NA","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"27","Ray Allen","13223140","SEA","6'5""","205","Connecticut","USA","1996","1","5","-0.6","2006","SG","30","78","78","38.7"," 8.7","19.2","0.454","3.4","8.4","0.412"," 5.3","10.9","0.486","0.544","4.2"," 4.6","0.903","0.9","3.3"," 4.3"," 3.7","1.3","0.2","2.4","1.9","25.1","NA","3.4","NA","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
