"","player_name","salary","TEAM","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","ppg","Tax","inflation","wins","MVP","MIP","Sixth_man","DPOY","ROY","NBA_1","NBA_2","NBA_3","Rookie_1","Rookie_2","Def_1","Def_2"
"1","Kevin Garnett","23750000","BOS","6'11""","220","None","USA","1995","1","5","16.4","2008","PF","31","71","71","32.8"," 7.5","13.9","0.539","0.0","0.2","0.000","7.5","13.8","0.545","0.539","3.8"," 4.7","0.801","1.9"," 7.3"," 9.2"," 3.4","1.4","1.3","1.9","2.3","18.8","5.15%","2.8","66","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES"
"2","Michael Finley","21696750","SAS","6'7""","225","Wisconsin","USA","1995","1","21","4.6","2008","SG","34","82","61","26.9"," 3.8"," 9.3","0.414","1.6","4.4","0.370","2.2"," 4.9","0.453","0.501","0.8"," 1.0","0.800","0.3"," 2.8"," 3.1"," 1.4","0.4","0.1","0.7","1.1","10.1","0%","2.8","56","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"3","Shaquille O'Neal","20000000","PHX","7'1""","325","Louisiana State","USA","1992","1","1","1.3","2008","C","35","61","61","28.7"," 5.4"," 9.1","0.593","0.0","0.0","   NA","5.4"," 9.1","0.593","0.593","2.8"," 5.5","0.503","2.7"," 6.4"," 9.1"," 1.5","0.5","1.4","3.0","3.7","13.6","4.54%","2.8","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"4","Jason Kidd","19728000","DAL","6'4""","210","California","USA","1994","1","2","0.1","2008","PG","34","80","80","36.3"," 3.8"," 9.9","0.385","1.5","3.9","0.381","2.3"," 6.0","0.387","0.460","1.7"," 2.1","0.818","1.2"," 6.3"," 7.5","10.1","1.7","0.3","3.3","2.1","10.8","0%","2.8","51","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES"
"5","Jermaine O'Neal","19728000","IND","6'11""","260","None","USA","1996","1","17","-1.4","2008","C","29","42","34","28.7"," 5.4","12.2","0.439","0.0","0.1","0.000","5.4","12.1","0.444","0.439","2.9"," 3.9","0.742","2.0"," 4.8"," 6.7"," 2.2","0.5","2.1","2.5","3.1","13.6","3.30%","2.8","36","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"6","Chris Webber","19602173","GSW","6'10""","245","Michigan","USA","1993","1","1","-7.1","2008","PF","34"," 9"," 8","14.0"," 1.7"," 3.4","0.484","0.0","0.0","   NA","1.7"," 3.4","0.484","0.484","0.6"," 1.3","0.417","0.2"," 3.3"," 3.6"," 2.0","0.4","0.7","1.2","1.9"," 3.9","12.30%","2.8","48","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"7","Kobe Bryant","19490625","LAL","6'6","205","None","USA","1996","1","13","9.2","2008","SG","29","82","82","38.9"," 9.5","20.6","0.459","1.8","5.1","0.361","7.6","15.5","0.490","0.503","7.6"," 9.0","0.840","1.1"," 5.2"," 6.3"," 5.4","1.8","0.5","3.1","2.8","28.3","12.30%","2.8","57","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO"
"8","Tim Duncan","19014188","SAS","6'11""","260","Wake Forest","US Virgin Isl...","1997","1","1","8.3","2008","C","31","78","78","34.0"," 7.5","15.1","0.497","0.0","0.1","0.000","7.5","15.1","0.498","0.497","4.3"," 5.9","0.730","3.0"," 8.3","11.3"," 2.8","0.7","1.9","2.3","2.4","19.3","0%","2.8","56","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO"
"9","Tracy McGrady","19014187","HOU","6'8""","223","None","USA","1997","1","9","5.3","2008","SG","28","66","62","37.0"," 8.3","19.8","0.419","1.3","4.5","0.292","7.0","15.3","0.457","0.452","3.7"," 5.4","0.684","0.6"," 4.5"," 5.1"," 5.9","1.0","0.5","2.4","1.4","21.6","0%","2.8","55","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"10","Allen Iverson","19012500","DEN","6'0""","180","Georgetown","USA","1996","1","1","5","2008","SG","32","82","82","41.8"," 8.7","19.0","0.458","1.2","3.4","0.345","7.5","15.6","0.482","0.488","7.9"," 9.7","0.809","0.6"," 2.4"," 3.0"," 7.1","2.0","0.1","3.0","1.3","26.4","4.63%","2.8","50","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
