"","player_name","salary","TEAM","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","ppg","Tax","inflation","wins","MVP","MIP","Sixth_man","DPOY","ROY","NBA_1","NBA_2","NBA_3","Rookie_1","Rookie_2","Def_1","Def_2"
"1","Dikembe Mutombo","12820249","ATL","7'2""","261","Georgetown","Congo","1991","1","4","-2.5","2000","C","33","82","82","36.4"," 3.9"," 7.0","0.562","0.0","0.0","   NA"," 3.9"," 7.0","0.562","0.562","3.6"," 5.1","0.708","3.7","10.4","14.1"," 1.3","0.3","3.3","2.1","3.0","11.5","6%","2.2","28","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES"
"2","Isaiah Rider"," 5410000","ATL","6'5""","215","Nevada-Las Vegas","USA","1993","1","5","-2.1","2000","SG","28","60","47","34.7"," 7.5","17.9","0.419","0.9","3.0","0.311"," 6.6","14.9","0.441","0.445","3.4"," 4.3","0.785","1.1"," 3.3"," 4.3"," 3.7","0.7","0.1","2.8","2.2","19.3","6%","2.2","28","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"3","Alan Henderson"," 5318437","ATL","6'9""","235","Indiana","USA","1995","1","16","-6.9","2000","PF","27","82","82","33.8"," 5.2","11.3","0.461","0.0","0.1","0.100"," 5.2","11.2","0.465","0.462","2.7"," 4.1","0.671","3.2"," 3.7"," 7.0"," 0.9","1.0","0.7","1.7","2.8","13.2","6%","2.2","28","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"4","Lorenzen Wright"," 4400000","ATL","6'11""","240","Memphis","USA","1996","1","7","-8.2","2000","C","24","75"," 0","16.1"," 2.4"," 4.8","0.499","0.0","0.0","0.333"," 2.4"," 4.8","0.500","0.500","1.2"," 1.8","0.644","1.6"," 2.5"," 4.1"," 0.3","0.4","0.5","0.9","2.7"," 6.0","6%","2.2","28","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"5","Bimbo Coles"," 2300000","ATL","6'2""","182","Virginia Tech","USA","1990","2","40","-5.7","2000","PG","31","80","54","24.1"," 3.5"," 7.6","0.455","0.1","0.5","0.205"," 3.4"," 7.1","0.472","0.461","1.1"," 1.3","0.817","0.4"," 1.8"," 2.2"," 3.6","0.7","0.1","1.3","2.2"," 8.1","6%","2.2","28","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"6","Chris Crawford"," 2000000","ATL","6'9""","235","Marquette","USA","1997","2","50","-4","2000","PF","24","55","11","12.1"," 1.7"," 4.2","0.397","0.1","0.5","0.259"," 1.5"," 3.7","0.416","0.413","1.1"," 1.5","0.778","0.9"," 0.9"," 1.8"," 0.6","0.3","0.3","0.7","1.5"," 4.6","6%","2.2","28","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"7","LaPhonso Ellis"," 1925000","ATL","6'8""","240","Notre Dame","USA","1992","1","5","-7.1","2000","PF","29","58"," 8","22.6"," 3.6"," 8.0","0.450","0.1","0.4","0.143"," 3.6"," 7.6","0.465","0.454","1.1"," 1.6","0.695","1.7"," 3.3"," 5.0"," 1.0","0.6","0.4","0.9","2.3"," 8.4","6%","2.2","28","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"8","Jim Jackson"," 1925000","ATL","6'6","220","Ohio State","USA","1992","1","4","-5.7","2000","SF","29","79","76","35.0"," 6.4","15.6","0.411","1.5","3.8","0.386"," 4.9","11.8","0.418","0.458","2.4"," 2.7","0.877","1.3"," 3.7"," 5.0"," 2.9","0.7","0.1","2.3","2.1","16.7","6%","2.2","28","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"9","Jason Terry"," 1468920","ATL","6'2""","172","Arizona","USA","1999","1","10","-6.7","2000","PG","22","81","27","23.3"," 3.1"," 7.4","0.415","0.6","1.9","0.293"," 2.5"," 5.5","0.458","0.453","1.4"," 1.7","0.807","0.3"," 1.8"," 2.0"," 4.3","1.1","0.1","1.9","1.6"," 8.1","6%","2.2","28","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"10","Cal Bowdler"," 1025880","ATL","6'10""","245","Old Dominion","USA","1999","1","17","-10.2","2000","SF","22","46"," 0"," 9.2"," 1.1"," 2.5","0.426","0.0","0.0","0.000"," 1.1"," 2.5","0.430","0.426","0.5"," 0.8","0.632","0.5"," 1.4"," 1.8"," 0.3","0.3","0.2","0.5","1.0"," 2.7","6%","2.2","28","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"11","Roshown McLeod","  914760","ATL","6'8""","221","Duke","USA","1998","1","20","-7.4","2000","SF","24","44","20","19.5"," 3.0"," 7.5","0.395","0.0","0.3","0.154"," 2.9"," 7.3","0.404","0.398","1.2"," 1.6","0.771","0.9"," 2.2"," 3.1"," 1.2","0.4","0.1","1.3","1.9"," 7.2","6%","2.2","28","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"12","Dion Glover","  893400","ATL","6'5""","228","Georgia Tech","USA","1999","1","20","-12.6","2000","SG","21","30"," 1","14.9"," 2.2"," 5.7","0.386","0.4","1.5","0.267"," 1.8"," 4.2","0.429","0.421","1.7"," 2.3","0.729","0.5"," 0.8"," 1.3"," 0.9","0.5","0.1","0.9","0.9"," 6.5","6%","2.2","28","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"13","Antoine Walker"," 9000000","BOS","6'9""","245","Kentucky","USA","1996","1","6","0.1","2000","PF","23","82","82","36.6"," 7.9","18.4","0.430","0.9","3.5","0.256"," 7.0","14.9","0.471","0.455","3.8"," 5.4","0.699","2.4"," 5.5"," 8.0"," 3.7","1.4","0.4","3.2","3.2","20.5","5.15%","2.2","35","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"14","Kenny Anderson"," 6680000","BOS","6'1""","168","Georgia Tech","USA","1991","1","2","2.3","2000","PG","29","82","82","31.6"," 5.3","12.0","0.440","1.0","2.7","0.386"," 4.3"," 9.3","0.456","0.483","2.4"," 3.1","0.775","0.7"," 2.1"," 2.7"," 5.1","1.7","0.1","1.6","2.8","14.0","5.15%","2.2","35","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"15","Vitaly Potapenko"," 3810000","BOS","6'10""","280","Wright State","Ukraine","1996","1","12","1.1","2000","C","24","79","72","22.7"," 3.9"," 7.8","0.499","0.0","0.0","0.000"," 3.9"," 7.8","0.500","0.499","1.4"," 2.0","0.681","2.3"," 4.0"," 6.3"," 1.0","0.5","0.4","1.8","3.0"," 9.2","5.15%","2.2","35","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"16","Dana Barros"," 3500000","BOS","5'11""","163","Boston College","USA","1989","1","16","-4.4","2000","PG","32","72"," 0","15.8"," 2.7"," 6.0","0.451","0.8","2.0","0.410"," 1.9"," 4.0","0.471","0.518","0.9"," 1.1","0.868","0.2"," 1.2"," 1.4"," 1.8","0.4","0.1","0.9","1.1"," 7.2","5.15%","2.2","35","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"17","Eric Williams"," 3336000","BOS","6'8""","220","Providence","USA","1995","1","14","-2.1","2000","SF","27","68","17","20.3"," 2.4"," 5.7","0.427","0.4","1.1","0.347"," 2.1"," 4.6","0.446","0.460","2.0"," 2.5","0.793","0.8"," 1.5"," 2.3"," 1.4","0.6","0.2","1.0","2.4"," 7.2","5.15%","2.2","35","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"18","Pervis Ellison"," 2750000","BOS","6'9""","210","Louisville","USA","1989","1","1","-18.9","2000","C","32","30"," 5"," 9.0"," 0.6"," 1.4","0.442","0.0","0.0","   NA"," 0.6"," 1.4","0.442","0.442","0.5"," 0.7","0.714","1.0"," 1.3"," 2.2"," 0.4","0.3","0.3","0.4","2.2"," 1.8","5.15%","2.2","35","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"19","Tony Battie"," 2530920","BOS","6'11""","240","Texas Tech","USA","1997","1","5","0.5","2000","C","23","82"," 4","18.4"," 2.7"," 5.6","0.477","0.0","0.1","0.125"," 2.7"," 5.5","0.483","0.478","1.2"," 1.8","0.675","1.9"," 3.1"," 5.0"," 0.8","0.6","0.9","0.8","3.0"," 6.6","5.15%","2.2","35","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"20","Walter McCarty"," 2500000","BOS","6'10""","230","Kentucky","USA","1996","1","19","-5.1","2000","PF","25","61"," 5","14.4"," 1.3"," 3.8","0.339","0.6","1.8","0.309"," 0.7"," 2.0","0.367","0.413","0.6"," 0.9","0.722","0.5"," 1.3"," 1.8"," 1.1","0.4","0.4","1.1","1.4"," 3.8","5.15%","2.2","35","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"21","Calbert Cheaney"," 2000000","BOS","6'7""","215","Indiana","USA","1993","1","6","-3.9","2000","SG","28","67","19","19.5"," 1.8"," 4.1","0.440","0.3","0.8","0.333"," 1.5"," 3.3","0.466","0.473","0.1"," 0.3","0.429","0.3"," 1.7"," 2.1"," 1.2","0.7","0.2","0.7","2.4"," 4.0","5.15%","2.2","35","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"22","Danny Fortson"," 1678800","BOS","6'7""","260","Cincinnati","USA","1997","1","10","-0.1","2000","PF","23","55"," 5","15.6"," 2.5"," 4.8","0.528","0.0","0.0","   NA"," 2.5"," 4.8","0.528","0.528","2.5"," 3.4","0.735","2.6"," 4.1"," 6.7"," 0.5","0.4","0.1","1.2","3.3"," 7.6","5.15%","2.2","35","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
