"","player_name","salary","TEAM","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","ppg","Tax","inflation","wins","MVP","MIP","Sixth_man","DPOY","ROY","NBA_1","NBA_2","NBA_3","Rookie_1","Rookie_2","Def_1","Def_2"
"1","Tracy McGrady","23239562","NYK","6'8""","223","None","USA","1997","1","9","-8.3","2010","SG","30","30","24","22.4"," 3.0"," 7.8","0.387","0.5","2.1","0.250","2.5"," 5.7","0.439","0.421","1.6"," 2.1","0.746","0.7","2.4"," 3.1"," 3.3","0.5","0.5","1.5","1.3"," 8.2","8.82%","-0.4","29","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"2","Kobe Bryant","23034375","LAL","6'6","205","None","USA","1996","1","13","8.3","2010","SG","31","73","73","38.8"," 9.8","21.5","0.456","1.4","4.1","0.329","8.5","17.4","0.487","0.488","6.0"," 7.4","0.811","1.1","4.3"," 5.4"," 5.0","1.5","0.3","3.2","2.6","27.0","12.30%","-0.4","57","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO"
"3","Jermaine O'Neal","23016000","MIA","6'11""","255","None","USA","1996","1","17","5","2010","C","31","70","70","28.4"," 5.6","10.6","0.529","0.0","0.0","0.000","5.6","10.6","0.530","0.529","2.3"," 3.2","0.720","1.8","5.2"," 6.9"," 1.3","0.4","1.4","1.8","3.0","13.6","0%","-0.4","47","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"4","Tim Duncan","22183220","SAS","6'11""","260","Wake Forest","US Virgin Isl...","1997","1","1","8.2","2010","C","33","78","77","31.3"," 7.2","13.9","0.518","0.0","0.1","0.182","7.2","13.7","0.522","0.519","3.5"," 4.8","0.725","2.8","7.3","10.1"," 3.2","0.6","1.5","1.8","1.9","17.9","0%","-0.4","50","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES"
"5","Shaquille O'Neal","20000000","CLE","7'1""","325","Louisiana State","USA","1992","1","1","5.1","2010","C","37","53","53","23.4"," 4.9"," 8.7","0.566","0.0","0.0","0.000","4.9"," 8.7","0.567","0.566","2.1"," 4.3","0.496","1.8","4.9"," 6.7"," 1.5","0.3","1.2","2.0","3.2","12.0","5.33%","-0.4","61","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"6","Dirk Nowitzki","19795714","DAL","7'0""","245","None","Germany","1998","1","9","5.5","2010","PF","31","81","80","37.5"," 8.9","18.5","0.481","0.6","1.5","0.421","8.3","17.0","0.487","0.498","6.6"," 7.2","0.915","1.0","6.7"," 7.7"," 2.7","0.9","1.0","1.8","2.6","25.0","0%","-0.4","55","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"7","Paul Pierce","19795712","BOS","6'7""","235","Kansas","USA","1998","1","10","5.4","2010","SF","32","71","71","34.0"," 5.8","12.2","0.472","1.5","3.7","0.414","4.2"," 8.5","0.497","0.535","5.2"," 6.1","0.852","0.5","3.8"," 4.4"," 3.1","1.2","0.4","2.3","2.8","18.3","5.15%","-0.4","50","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"8","Rashard Lewis","18876000","ORL","6'10""","230","None","USA","1998","2","32","7.6","2010","PF","30","72","72","32.9"," 4.9","11.2","0.435","2.3","5.9","0.397","2.5"," 5.3","0.476","0.539","2.0"," 2.5","0.806","0.9","3.6"," 4.4"," 1.5","1.1","0.4","1.5","2.5","14.1","0%","-0.4","59","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"9","Ray Allen","18776860","BOS","6'5""","205","Connecticut","USA","1996","1","5","7.5","2010","SG","34","80","80","35.2"," 5.8","12.2","0.477","1.8","5.0","0.363","4.0"," 7.2","0.556","0.551","2.9"," 3.2","0.913","0.6","2.6"," 3.2"," 2.6","0.8","0.3","1.6","2.3","16.3","5.15%","-0.4","50","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"10","Michael Redd","17040000","MIL","6'6","215","Ohio State","USA","2000","2","43","-10.3","2010","SG","30","18","12","27.3"," 4.2","11.8","0.352","1.0","3.3","0.300","3.2"," 8.5","0.373","0.394","2.6"," 3.7","0.712","0.6","2.4"," 3.0"," 2.2","1.1","0.1","0.8","1.3","11.9","7.65%","-0.4","46","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"11","Pau Gasol","16452000","LAL","7'0""","250","None","Spain","2001","1","3","6.2","2010","C","29","65","65","37.0"," 7.0","13.0","0.536","0.0","0.1","0.000","7.0","12.9","0.539","0.536","4.4"," 5.6","0.790","3.7","7.6","11.3"," 3.4","0.6","1.7","2.2","2.3","18.3","12.30%","-0.4","57","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
