"","player_name","salary","TEAM","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","ppg","Tax","inflation","wins","MVP","MIP","Sixth_man","DPOY","ROY","NBA_1","NBA_2","NBA_3","Rookie_1","Rookie_2","Def_1","Def_2"
"1","Kevin Garnett","24751934","BOS","6'11""","253","None","USA","1995","1","5","13.6","2009","PF","32","57","57","31.1"," 6.9","13.0","0.531","0.0","0.1","0.250","6.9","12.8","0.534","0.532","1.9"," 2.3","0.841","1.4","7.1"," 8.5"," 2.5","1.1","1.2","1.6","2.2","15.8","5.15%","3.8","62","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","YES","NO"
"2","Jason Kidd","21372000","DAL","6'4""","210","California","USA","1994","1","2","5.9","2009","PG","35","81","81","35.6"," 3.2"," 7.6","0.416","1.6","4.0","0.406","1.6"," 3.6","0.427","0.522","1.1"," 1.3","0.819","1.0","5.1"," 6.2"," 8.7","2.0","0.5","2.3","2.1"," 9.0","0%","3.8","50","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"3","Jermaine O'Neal","21372000","MIA","6'11""","258","None","USA","1996","1","17","-2.9","2009","C","30","68","61","29.8"," 5.4","11.3","0.474","0.0","0.0","0.000","5.4","11.3","0.475","0.474","2.6"," 3.3","0.788","1.9","4.5"," 6.4"," 1.8","0.4","2.0","2.1","3.1","13.3","0%","3.8","43","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"4","Kobe Bryant","21262500","LAL","6'6","205","None","USA","1996","1","13","11.2","2009","SG","30","82","82","36.1"," 9.8","20.9","0.467","1.4","4.1","0.351","8.3","16.8","0.496","0.502","5.9"," 6.9","0.856","1.1","4.1"," 5.2"," 4.9","1.5","0.5","2.6","2.3","26.8","12.30%","3.8","65","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO"
"5","Shaquille O'Neal","21000000","PHX","7'1""","325","Louisiana State","USA","1992","1","1","3.8","2009","C","36","75","75","30.0"," 6.8","11.2","0.609","0.0","0.0","0.000","6.8","11.2","0.610","0.609","4.1"," 6.9","0.595","2.5","5.9"," 8.4"," 1.7","0.7","1.4","2.2","3.4","17.8","4.54%","3.8","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"6","Allen Iverson","20840625","DET","6'0""","180","Georgetown","USA","1996","1","1","-0.9","2009","PG-SG","33","57","53","36.7"," 6.1","14.6","0.417","0.5","1.7","0.283","5.6","12.9","0.435","0.434","4.8"," 6.1","0.781","0.5","2.5"," 3.0"," 5.0","1.5","0.1","2.6","1.5","17.5","4.25%","3.8","39","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"7","Stephon Marbury","20840625","BOS","6'2""","205","Georgia Tech","USA","1996","1","4","-3","2009","PG","31","23"," 4","18.0"," 1.7"," 4.8","0.342","0.3","1.1","0.240","1.4"," 3.7","0.372","0.369","0.3"," 0.6","0.462","0.1","1.1"," 1.2"," 3.3","0.4","0.1","1.6","1.5"," 3.8","5.15%","3.8","62","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"8","Tim Duncan","20598704","SAS","6'11""","260","Wake Forest","US Virgin Isl...","1997","1","1","5.7","2009","C","32","75","75","33.7"," 7.4","14.8","0.504","0.0","0.0","0.000","7.4","14.7","0.505","0.504","4.5"," 6.4","0.692","2.7","8.0","10.7"," 3.5","0.5","1.7","2.2","2.3","19.3","0%","3.8","54","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO"
"9","Tracy McGrady","20370437","HOU","6'8""","223","None","USA","1997","1","9","2.7","2009","SG","29","35","35","33.7"," 5.4","13.9","0.388","1.3","3.3","0.376","4.1","10.5","0.391","0.433","3.6"," 4.5","0.801","0.6","3.8"," 4.4"," 5.0","1.2","0.4","2.0","1.1","15.6","0%","3.8","53","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"10","Ray Allen","18388430","BOS","6'5""","205","Connecticut","USA","1996","1","5","11.2","2009","SG","33","79","79","36.4"," 6.3","13.2","0.480","2.5","6.2","0.409","3.8"," 7.0","0.542","0.575","3.0"," 3.2","0.952","0.8","2.7"," 3.5"," 2.8","0.9","0.2","1.7","2.0","18.2","5.15%","3.8","62","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"11","Dirk Nowitzki","18077904","DAL","7'0""","245","None","Germany","1998","1","9","3.8","2009","PF","30","81","81","37.7"," 9.6","20.0","0.479","0.8","2.1","0.359","8.8","17.9","0.493","0.498","6.0"," 6.7","0.890","1.1","7.3"," 8.4"," 2.4","0.8","0.8","1.9","2.2","25.9","0%","3.8","50","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"12","Paul Pierce","18077903","BOS","6'7""","235","Kansas","USA","1998","1","10","8.9","2009","SF","31","81","81","37.5"," 6.7","14.6","0.457","1.5","3.8","0.391","5.2","10.8","0.480","0.508","5.7"," 6.8","0.830","0.7","5.0"," 5.6"," 3.6","1.0","0.3","2.8","2.7","20.5","5.15%","3.8","62","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"13","Shawn Marion","17810000","TOR","6'7""","228","Nevada-Las Vegas","USA","1999","1","9","-0.7","2009","SF","30","69","68","35.8"," 5.5","11.4","0.485","0.1","0.8","0.189","5.4","10.7","0.506","0.491","1.7"," 2.1","0.796","2.6","5.9"," 8.5"," 2.0","1.3","1.0","1.5","1.9","12.9","13.60%","3.8","33","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"14","Rashard Lewis","16447871","ORL","6'10""","230","None","USA","1998","2","32","10.4","2009","PF","29","79","79","36.2"," 6.1","13.8","0.439","2.8","7.0","0.397","3.3"," 6.8","0.482","0.540","2.8"," 3.4","0.836","1.2","4.6"," 5.7"," 2.6","1.0","0.6","2.0","2.5","17.7","0%","3.8","59","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"15","Michael Redd","15780000","MIL","6'6","215","Ohio State","USA","2000","2","43","3.3","2009","SG","29","33","32","36.5"," 7.5","16.6","0.455","2.1","5.8","0.366","5.4","10.8","0.503","0.519","4.0"," 4.9","0.814","0.7","2.5"," 3.2"," 2.7","1.1","0.1","1.6","1.4","21.2","7.65%","3.8","34","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"16","Pau Gasol","15106000","LAL","7'0""","250","None","Spain","2001","1","3","9.7","2009","C","28","81","81","37.0"," 7.3","12.9","0.567","0.0","0.0","0.500","7.3","12.9","0.567","0.567","4.2"," 5.4","0.781","3.2","6.4"," 9.6"," 3.5","0.6","1.0","1.9","2.1","18.9","12.30%","3.8","65","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"17","Andrei Kirilenko","15106000","UTA","6'9""","225","None","Russia","1999","1","24","7.2","2009","PF","27","67","10","27.3"," 3.8"," 8.5","0.449","0.3","1.1","0.274","3.5"," 7.4","0.475","0.467","3.6"," 4.6","0.785","1.3","3.5"," 4.8"," 2.6","1.2","1.1","1.8","1.9","11.6","5%","3.8","48","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"18","Yao Ming","15070550","HOU","6'7","310","None","China","2002","1","1","9.4","2009","C","28","77","77","33.6"," 7.4","13.4","0.548","0.0","0.0","1.000","7.3","13.4","0.548","0.549","4.9"," 5.7","0.866","2.6","7.2"," 9.9"," 1.8","0.4","1.9","3.0","3.3","19.7","0%","3.8","53","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"19","Mike Bibby","14983603","ATL","6'2""","195","Arizona","USA","1998","1","2","1.1","2009","PG","30","79","79","34.7"," 5.5","12.7","0.435","2.1","5.4","0.390","3.4"," 7.3","0.468","0.518","1.7"," 2.2","0.789","0.5","3.0"," 3.5"," 5.0","1.2","0.1","1.6","1.8","14.9","6%","3.8","47","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"20","Vince Carter","14724125","NJN","6'6","220","North Carolina","USA","1998","1","5","-2","2009","SG","32","80","80","36.8"," 7.4","16.8","0.437","1.9","4.9","0.385","5.5","11.9","0.459","0.493","4.2"," 5.1","0.817","0.9","4.2"," 5.1"," 4.7","1.0","0.5","2.1","2.9","20.8","NA","3.8","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"21","Zach Randolph","14666667","LAC","6'9""","260","Michigan State","USA","2001","1","19","-3.7","2009","PF-C","27","50","45","35.1"," 8.3","17.5","0.475","0.6","1.9","0.330","7.7","15.5","0.494","0.494","3.6"," 4.9","0.734","3.1","6.9","10.1"," 2.1","0.9","0.3","2.3","2.7","20.8","12.30%","3.8","19","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"22","Gilbert Arenas","14653466","WAS","6'4""","215","Arizona","USA","2001","2","30","1.7","2009","PG","27"," 2"," 2","31.5"," 3.0","11.5","0.261","1.0","3.5","0.286","2.0"," 8.0","0.250","0.304","6.0"," 8.0","0.750","0.5","4.0"," 4.5","10.0","0.0","0.5","0.5","2.0","13.0","8.95%","3.8","19","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"23","Ben Wallace","14500000","CLE","6'9""","240","Virginia Union","USA","Undrafted","Undrafted","Undrafted","17.7","2009","PF","34","56","53","23.5"," 1.2"," 2.8","0.445","0.0","0.0","   NA","1.2"," 2.8","0.445","0.445","0.5"," 1.1","0.422","2.4","4.0"," 6.5"," 0.8","0.9","1.3","0.6","1.5"," 2.9","5.33%","3.8","66","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"24","Kenyon Martin","14431816","DEN","6'9""","240","Cincinnati","USA","2000","1","1","4.4","2009","PF","31","66","66","32.0"," 4.8"," 9.8","0.491","0.2","0.6","0.368","4.6"," 9.2","0.498","0.502","1.8"," 3.0","0.604","1.2","4.8"," 6.0"," 2.0","1.5","1.1","1.6","3.0","11.7","4.63%","3.8","54","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"25","LeBron James","14410581","CLE","6'8""","250","None","USA","2003","1","1","14.8","2009","SF","24","81","81","37.7"," 9.7","19.9","0.489","1.6","4.7","0.344","8.1","15.2","0.535","0.530","7.3"," 9.4","0.780","1.3","6.3"," 7.6"," 7.2","1.7","1.1","3.0","1.7","28.4","5.33%","3.8","66","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"26","Carmelo Anthony","14410581","DEN","6'8""","230","Syracuse","USA","2003","1","3","6.6","2009","SF","24","66","66","34.5"," 8.1","18.3","0.443","1.0","2.6","0.371","7.2","15.7","0.455","0.469","5.6"," 7.1","0.793","1.6","5.2"," 6.8"," 3.4","1.1","0.4","3.0","3.0","22.8","4.63%","3.8","54","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"27","Dwyane Wade","14410581","MIA","6'4""","216","Marquette","USA","2003","1","5","3.5","2009","SG","27","79","79","38.6","10.8","22.0","0.491","1.1","3.5","0.317","9.7","18.5","0.524","0.516","7.5"," 9.8","0.765","1.1","3.9"," 5.0"," 7.5","2.2","1.3","3.4","2.3","30.2","0%","3.8","43","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"28","Chris Bosh","14410581","TOR","6'10""","230","Georgia Tech","USA","2003","1","4","-1.4","2009","C","24","77","77","38.0"," 8.0","16.4","0.487","0.2","0.6","0.245","7.8","15.8","0.497","0.492","6.5"," 8.0","0.817","2.8","7.2","10.0"," 2.5","0.9","1.0","2.3","2.5","22.7","13.60%","3.8","33","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"29","Joe Johnson","14232567","ATL","6'7""","240","Arkansas","USA","2001","1","10","2.6","2009","SG","27","79","79","39.5"," 7.8","18.0","0.437","1.9","5.2","0.360","6.0","12.7","0.468","0.489","3.8"," 4.6","0.826","0.8","3.6"," 4.4"," 5.8","1.1","0.2","2.5","2.2","21.4","6%","3.8","47","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"30","Lamar Odom","14148596","LAL","6'10""","230","Rhode Island","USA","1999","1","4","15.4","2009","PF","29","78","32","29.7"," 4.4"," 9.0","0.492","0.4","1.3","0.320","4.0"," 7.7","0.522","0.516","2.1"," 3.3","0.623","2.3","5.9"," 8.2"," 2.6","1.0","1.3","1.8","3.0","11.3","12.30%","3.8","65","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"31","Rasheed Wallace","13930000","DET","6'11""","230","North Carolina","USA","1995","1","4","1.8","2009","C","34","66","63","32.2"," 4.6","10.9","0.419","1.7","4.8","0.354","2.9"," 6.1","0.471","0.498","1.2"," 1.5","0.772","0.8","6.6"," 7.4"," 1.4","0.9","1.3","0.9","3.0","12.0","4.25%","3.8","39","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
