"","player_name","salary","TEAM","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","ppg","Tax","inflation","wins","MVP","MIP","Sixth_man","DPOY","ROY","NBA_1","NBA_2","NBA_3","Rookie_1","Rookie_2","Def_1","Def_2"
"1","Kobe Bryant","25244493","LAL","6'6","205","None","USA","1996","1","13","3","2012","SG","33","58","58","38.5"," 9.9","23.0","0.430","1.5","4.9","0.303","8.4","18.1","0.464","0.462","6.6"," 7.8","0.845","1.1"," 4.3"," 5.4"," 4.6","1.2","0.3","3.5","1.8","27.9","12.30%","3.2","41","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO"
"2","Vince Carter","21300000","DAL","6'6","220","North Carolina","USA","1998","1","5","7","2012","SG","35","61","40","25.3"," 3.7"," 8.9","0.411","1.2","3.4","0.361","2.4"," 5.5","0.442","0.480","1.6"," 1.9","0.826","0.5"," 2.8"," 3.4"," 2.3","0.9","0.4","1.4","2.2","10.1","0%","3.2","36","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"3","Kevin Garnett","21247044","BOS","6'11""","253","None","USA","1995","1","5","7.3","2012","C","35","60","60","31.1"," 6.5","13.0","0.503","0.1","0.2","0.333","6.5","12.8","0.505","0.505","2.7"," 3.2","0.857","1.1"," 7.1"," 8.2"," 2.9","0.9","1.0","1.8","2.4","15.8","5.15%","3.2","39","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
"4","Tim Duncan","21164619","SAS","6'11""","255","Wake Forest","US Virgin Isl...","1997","1","1","9.6","2012","C","35","58","58","28.2"," 6.2","12.6","0.492","0.0","0.1","0.000","6.2","12.6","0.495","0.492","3.0"," 4.3","0.695","1.9"," 7.1"," 9.0"," 2.3","0.7","1.5","1.7","1.7","15.4","0%","3.2","50","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"5","Rashard Lewis","21136631","WAS","6'10""","230","None","USA","1998","2","32","-10.6","2012","SF","32","28","15","26.0"," 3.0"," 7.9","0.385","0.6","2.4","0.239","2.5"," 5.5","0.448","0.421","1.1"," 1.3","0.838","1.2"," 2.7"," 3.9"," 1.0","0.8","0.4","1.1","1.8"," 7.8","8.95%","3.2","20","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"6","Gilbert Arenas","19269307","MEM","6'4""","215","Arizona","USA","2001","2","30","7.3","2012","PG","30","17"," 0","12.4"," 1.5"," 3.8","0.406","0.8","2.3","0.333","0.8"," 1.5","0.520","0.508","0.4"," 0.6","0.700","0.1"," 0.9"," 1.1"," 1.1","0.6","0.1","0.7","2.1"," 4.2","0%","3.2","41","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"7","Dirk Nowitzki","19092873","DAL","7'0""","245","None","Germany","1998","1","9","6.2","2012","PF","33","62","62","33.5"," 7.6","16.7","0.457","1.3","3.4","0.368","6.4","13.3","0.481","0.495","5.1"," 5.7","0.896","0.7"," 6.0"," 6.7"," 2.2","0.7","0.5","1.9","2.1","21.6","0%","3.2","36","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"8","Pau Gasol","18714150","LAL","7'0""","250","None","Spain","2001","1","3","3.3","2012","PF","31","65","65","37.4"," 7.1","14.1","0.501","0.1","0.4","0.259","7.0","13.7","0.508","0.504","3.1"," 4.0","0.782","2.8"," 7.6","10.4"," 3.6","0.6","1.4","2.2","2.0","17.4","12.30%","3.2","41","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"9","Carmelo Anthony","18518574","NYK","6'8""","230","Syracuse","USA","2003","1","3","2.9","2012","SF","27","55","55","34.1"," 8.0","18.6","0.430","1.2","3.7","0.335","6.8","14.9","0.454","0.463","5.4"," 6.7","0.804","1.6"," 4.7"," 6.3"," 3.6","1.1","0.4","2.6","2.8","22.6","8.82%","3.2","36","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"10","Dwight Howard","18091770","ORL","6'11""","265","None","USA","2004","1","1","4.5","2012","C","26","54","54","38.3"," 7.7","13.4","0.573","0.0","0.1","0.000","7.7","13.3","0.579","0.573","5.2","10.6","0.491","3.7","10.8","14.5"," 1.9","1.5","2.1","3.2","2.9","20.6","0%","3.2","37","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","YES","NO"
"11","Joe Johnson","18038573","ATL","6'7""","240","Arkansas","USA","2001","1","10","5.8","2012","SG","30","60","60","35.5"," 7.1","15.5","0.454","2.1","5.4","0.388","5.0","10.2","0.489","0.521","2.6"," 3.1","0.849","0.9"," 2.8"," 3.7"," 3.9","0.8","0.2","1.9","1.3","18.8","6%","3.2","40","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"12","Richard Hamilton","17500000","CHI","6'7""","193","Connecticut","USA","1999","1","7","7.8","2012","SG","33","28","28","24.9"," 5.0","11.1","0.452","0.6","1.6","0.370","4.4"," 9.4","0.466","0.479","1.0"," 1.3","0.784","0.7"," 1.6"," 2.4"," 3.0","0.4","0.0","1.8","2.0","11.6","3.75%","3.2","50","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"13","Elton Brand","17059727","PHI","6'9""","254","Duke","USA","1999","1","1","6.1","2012","C","32","60","60","28.9"," 4.8"," 9.7","0.494","0.0","0.0","0.000","4.8"," 9.7","0.495","0.494","1.4"," 1.9","0.733","2.4"," 4.7"," 7.2"," 1.6","1.0","1.6","1.1","2.9","11.0","3.07%","3.2","35","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"14","Deron Williams","16359805","NJN","6'3""","209","Illinois","USA","2005","1","3","-4.8","2012","PG","27","55","55","36.3"," 7.1","17.5","0.407","2.1","6.2","0.336","5.0","11.3","0.446","0.467","4.7"," 5.5","0.843","0.4"," 2.9"," 3.3"," 8.7","1.2","0.4","4.0","2.2","21.0","NA","3.2","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"15","Chris Paul","16359805","LAC","6'0""","175","Wake Forest","USA","2005","1","4","7.6","2012","PG","26","60","60","36.4"," 7.1","14.8","0.478","1.3","3.6","0.371","5.8","11.3","0.511","0.522","4.3"," 5.0","0.861","0.7"," 2.9"," 3.6"," 9.1","2.5","0.1","2.1","2.3","19.8","12.30%","3.2","40","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES"
"16","LeBron James","16022500","MIA","6'8""","250","None","USA","2003","1","1","10.2","2012","SF","27","62","62","37.5","10.0","18.9","0.531","0.9","2.4","0.362","9.1","16.5","0.556","0.554","6.2"," 8.1","0.771","1.5"," 6.4"," 7.9"," 6.2","1.9","0.8","3.4","1.5","27.1","0%","3.2","46","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO"
"17","Chris Bosh","16022500","MIA","6'11""","235","Georgia Tech","USA","2003","1","4","9.8","2012","PF","27","57","57","35.2"," 6.9","14.2","0.487","0.2","0.6","0.286","6.7","13.5","0.496","0.493","4.0"," 4.9","0.821","1.6"," 6.3"," 7.9"," 1.8","0.9","0.8","2.1","2.2","18.0","0%","3.2","46","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"18","Dwyane Wade","15691000","MIA","6'4""","220","Marquette","USA","2003","1","5","10.3","2012","SG","30","49","49","33.2"," 8.5","17.1","0.497","0.3","1.1","0.268","8.2","15.9","0.513","0.506","4.8"," 6.1","0.791","1.5"," 3.3"," 4.8"," 4.6","1.7","1.3","2.6","2.2","22.1","0%","3.2","46","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"19","Kevin Durant","15506632","OKC","6'9""","235","Texas","USA","2007","1","2","7.2","2012","SF","23","66","66","38.6"," 9.7","19.7","0.496","2.0","5.2","0.387","7.7","14.4","0.535","0.547","6.5"," 7.6","0.860","0.6"," 7.4"," 8.0"," 3.5","1.3","1.2","3.8","2.0","28.0","5.25%","3.2","47","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"20","Paul Pierce","15333334","BOS","6'7""","235","Kansas","USA","1998","1","10","5.3","2012","SF","34","61","61","34.0"," 6.5","14.6","0.443","1.6","4.5","0.366","4.8","10.1","0.476","0.499","4.8"," 5.6","0.852","0.6"," 4.6"," 5.2"," 4.5","1.1","0.4","2.8","2.4","19.4","5.15%","3.2","39","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"21","Baron Davis","15252181","NYK","6'3""","212","UCLA","USA","1999","1","3","3.3","2012","PG","32","29","14","20.5"," 2.3"," 6.3","0.370","0.9","2.9","0.306","1.4"," 3.4","0.424","0.440","0.6"," 0.8","0.667","0.4"," 1.5"," 1.9"," 4.7","1.2","0.1","2.6","2.1"," 6.1","8.82%","3.2","36","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
