"","player_name","salary","TEAM","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","ppg","Tax","inflation","wins","MVP","MIP","Sixth_man","DPOY","ROY","NBA_1","NBA_2","NBA_3","Rookie_1","Rookie_2","Def_1","Def_2"
"1","Kevin Garnett","25200000","MIN","6'11""","220","None","USA","1995","1","5","6.2","2003","PF","26","82","82","40.5"," 9.1","18.1","0.502","0.2","0.9","0.282"," 8.8","17.2","0.513","0.508","4.6"," 6.1","0.751","3.0","10.5","13.4","6.0","1.4","1.6","2.8","2.4","23.0","9.85%","1.6","51","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO"
"2","Shaquille O'Neal","23571429","LAL","7'1""","335","Louisiana State","USA","1992","1","1","6.9","2003","C","30","67","66","37.8","10.4","18.1","0.574","0.0","0.0","   NA","10.4","18.1","0.574","0.574","6.7","10.8","0.622","3.9"," 7.2","11.1","3.1","0.6","2.4","2.9","3.4","27.5","12.30%","1.6","50","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"3","Juwan Howard","20625000","DEN","6'9""","260","Michigan","USA","1994","1","5","-9.7","2003","PF","29","77","77","35.5"," 7.4","16.4","0.450","0.0","0.1","0.500"," 7.3","16.3","0.449","0.450","3.7"," 4.6","0.803","2.4"," 5.2"," 7.6","3.0","1.0","0.4","2.5","3.1","18.4","4.63%","1.6","17","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"4","Scottie Pippen","19727524","POR","6'8""","228","Central Arkansas","USA","1987","1","5","8.3","2003","SF","37","64","58","29.9"," 4.1"," 9.3","0.444","0.6","2.1","0.286"," 3.5"," 7.3","0.489","0.476","1.9"," 2.3","0.818","0.9"," 3.5"," 4.3","4.5","1.6","0.4","2.6","2.3","10.8","9.90%","1.6","50","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"5","Karl Malone","19250000","UTA","6'9""","256","Louisiana Tech","USA","1985","1","13","3.3","2003","PF","39","81","81","36.2"," 7.3","15.9","0.462","0.0","0.2","0.214"," 7.3","15.7","0.464","0.463","5.9"," 7.7","0.763","1.4"," 6.4"," 7.8","4.7","1.7","0.4","2.6","2.5","20.6","5%","1.6","47","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"6","Rasheed Wallace","16200000","POR","6'11""","230","North Carolina","USA","1995","1","4","5.4","2003","PF","28","74","74","36.3"," 7.0","14.8","0.471","1.5","4.1","0.358"," 5.5","10.6","0.515","0.521","2.7"," 3.7","0.735","1.5"," 5.9"," 7.4","2.1","0.9","1.0","1.9","3.0","18.1","9.90%","1.6","50","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"7","Dikembe Mutombo","16105264","NJN","7'2""","265","Georgetown","Congo","1991","1","4","9.9","2003","C","36","24","16","21.4"," 2.0"," 5.5","0.374","0.0","0.0","   NA"," 2.0"," 5.5","0.374","0.374","1.7"," 2.3","0.727","2.3"," 4.1"," 6.4","0.8","0.2","1.5","1.4","2.3"," 5.8","NA","1.6","NA","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES"
"8","Allan Houston","14343750","NYK","6'6","200","Tennessee","USA","1993","1","11","-0.2","2003","SG","31","82","82","37.9"," 8.0","17.9","0.445","2.2","5.5","0.396"," 5.8","12.4","0.467","0.506","4.4"," 4.8","0.919","0.3"," 2.5"," 2.8","2.7","0.7","0.1","2.2","2.3","22.5","8.82%","1.6","37","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"9","Chris Webber","14343750","SAC","6'10""","245","Michigan","USA","1993","1","1","7.7","2003","PF","29","67","67","39.1"," 9.9","21.4","0.461","0.1","0.3","0.238"," 9.8","21.1","0.465","0.463","3.2"," 5.3","0.607","2.4"," 8.1","10.5","5.4","1.6","1.3","3.2","3.0","23.0","12.30%","1.6","59","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"10","Shawn Kemp","13651028","ORL","6'10""","280","Trinity Valley Community College","USA","1989","1","17","-2.2","2003","C","33","79","55","20.7"," 2.7"," 6.4","0.418","0.0","0.0","0.000"," 2.7"," 6.4","0.419","0.418","1.5"," 2.0","0.742","1.9"," 3.8"," 5.7","0.7","0.8","0.4","1.3","3.0"," 6.8","0%","1.6","42","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"11","Gary Payton","12636117","MIL","6'4""","180","Oregon State","USA","1990","1","2","-0.7","2003","PG","34","80","80","40.1"," 8.3","18.3","0.454","0.7","2.3","0.297"," 7.6","16.1","0.476","0.472","3.1"," 4.4","0.710","1.0"," 3.2"," 4.2","8.3","1.7","0.3","2.3","2.3","20.4","7.65%","1.6","42","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO"
"12","Shareef Abdur-Rahim","12375000","ATL","6'9""","240","California","USA","1996","1","3","-3.1","2003","PF","26","81","81","38.1"," 7.0","14.6","0.478","0.3","0.7","0.350"," 6.7","13.9","0.485","0.487","5.6"," 6.7","0.841","2.2"," 6.2"," 8.4","3.0","1.1","0.5","2.6","3.0","19.9","6%","1.6","35","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"13","Antoine Walker","12375000","BOS","6'9""","245","Kentucky","USA","1996","1","6","1","2003","PF","26","78","78","41.5"," 7.7","19.9","0.388","2.4","7.5","0.323"," 5.3","12.5","0.427","0.449","2.3"," 3.7","0.615","1.3"," 5.9"," 7.2","4.8","1.5","0.4","3.3","2.8","20.1","5.15%","1.6","44","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"14","Vin Baker","12375000","BOS","6'11""","250","Hartford","USA","1993","1","8","-3.5","2003","C","31","52"," 9","18.1"," 1.9"," 4.0","0.478","0.0","0.1","0.000"," 1.9"," 3.9","0.488","0.478","1.4"," 2.1","0.673","1.7"," 2.1"," 3.8","0.6","0.4","0.6","1.2","2.8"," 5.2","5.15%","1.6","44","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"15","Zydrunas Ilgauskas","12375000","CLE","7'3""","260","None","Lithuania","1996","1","20","-7.4","2003","C","27","81","81","30.0"," 6.1","13.9","0.441","0.0","0.1","0.000"," 6.1","13.8","0.443","0.441","4.9"," 6.3","0.781","3.0"," 4.6"," 7.5","1.6","0.7","1.9","2.6","3.4","17.2","5.33%","1.6","17","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"16","Kobe Bryant","12375000","LAL","6'7""","215","None","USA","1996","1","13","3.8","2003","SG","24","82","82","41.5","10.6","23.5","0.451","1.5","4.0","0.383"," 9.1","19.5","0.465","0.483","7.3"," 8.7","0.843","1.3"," 5.6"," 6.9","5.9","2.2","0.8","3.5","2.7","30.0","12.30%","1.6","50","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES"
