NBA SALARIES,,,
,,,
Ira Bowman ....................,"4,529",[released,11/99]
Kevin Ollie ...................,"2,853",[released,10/99]
Jason Sasser ..................,"2,706",[released,10/99]
[Dennis Rodman signed minimum c,ontract 2/0,0],
,,,
----,,,
,,,
Denver Nuggets             Total,"$43,205,814 ",[adjusted,from listing]
Antonio McDyess ...............,"9,900,000",,
Nick Van Exel .................,"8,354,614",,
Bryant Stith ..................,"5,290,000",,
Chris Gatling .................,"4,875,200",,
Raef LaFrentz .................,"2,777,160",,
Popeye Jones ..................,"2,531 250",,
George McCloud ................,"2,000,000",,
Corey Alexander ...............,"1,980,000",,
Tariq Abdul-Wahad .............,"1,594,920",,
Keon Clark ....................,"1,289,400",,
James Posey ...................,"974,520",,
Dwayne Schintzius .............,"550,000",[released,11/99]
Roy Rogers ....................,"485,000",,
Ryan Bowen ....................,"301,875",,
Chris Herren ..................,"301,875",,
,,,
----,,,
,,,
Detroit Pistons            Total,"$42,141,801 ",,
Grant Hill ....................,"6,939,000",,
Christain Laettner ............,"6,062,500",,
Bison Dele ....................,"5,770,000",[suspende,d/retired*]
Jerry Stackhouse ..............,"4,781,250",,
Loy Vaught ....................,"4,180,000",,
Jerome Williams ...............,"2,550,000",,
Lindsey Hunter ................,"2,350,000",,
Michael Curry .................,"2,000,000",,
Eric Montross .................,"2,000,000",,
Jud Buechler ..................,"1,100,000",,
Derek Harper ..................,"1,100,000",[suspende,d/retired*]
Don Reid ......................,"1,000,000",,
Joe Dumars ....................,"510,000",[complete,d contract*]
Terry Mills ...................,"510,000",[minimum,"$885,000]"
John Crotty ...................,"477,000",,
Mikki Moore ...................,"460,000",,
Jermaine Jackson ..............,"302,875",,
Marcus Brown ..................,"43,294",[released,11/99]
Pooh Richardson ...............,"5,882",[released,10/99]
,,,
----,,,
,,,
Golden State Warriors      Total,"$36,133,518 ",,
Donyell Marshall ..............,"5,250,000",,
Erick Dampier .................,"4,988,000",,
Mookie Blaylock ...............,"4,200,000",,
Chris Mills ...................,"4,200,000",,
Jason Caffey ..................,"3,937,500",,
Terry Cummings ................,"2,600,000",,
Antawn Jamison ................,"2,503,800",,
Billy Owens ...................,"2,090,000",,
Adonal Foyle ..................,"1,922,520",,
Larry Hughes ..................,"1,722,240",,
Vonteego Cummings .............,"704,400",,
Tim Legler ....................,"510,000",[minimum,"$885,000, released 12/99]"
Tony Farmer ...................,"510,000",,
Sam Mack ......................,"315,000",,
Tim Young .....................,"301,875",,
Bill Curley ...................,"117,867",[released,11/99]
Damon Jones ...................,"70,206",[released,11/99]
Drew Barry ....................,"62,765",[released,1/00]
Chris Carr ....................,"60,000",[released,12/99]
Jamel Thomas ..................,"31,963",[released,1/00]
Sam Jacobson ..................,"22,647",[signed f,or season 1/00 (min.)]
John Morton ...................,"6,735",[released,11/99]
Mark Davis ....................,"6,000",[released,11/99]
,,,
----,,,
,,,
Houston Rockets            Total,"$52,269,366 ",,
Hakeem Olajuwon ...............,"14,302,001",,
Charles Barkley ...............,"9,000,000",,
Walt Williams .................,"3,750,000",,
Stacey Augmon .................,"3,450,000",[released,10/99]
Steve Francis .................,"3,020,520",,
Don MacLean ...................,"2,800,000",[released,10/99]
Carlos Rogers .................,"2,100,000",,
Matt Maloney ..................,"2,081,250",[released,10/99]
Shandon Anderson ..............,"2,000,000",,
Matt Bullard ..................,"1,333,333",,
Kelvin Cato ...................,"1,299,000",,
Tony Massenburg ...............,"1,150,000",,
Bryce Drew ....................,"1,105,560",,
Brian Shaw ....................,"1,100,000",[released,10/99]
Eddie Johnson .................,"1,000,000",[released,10/99]
Ed Gray .......................,"941,040",[released,10/99]
Kenny Thomas ..................,"823,440",,
Thomas Hamilton ...............,"510,000",[released,1/00]
Cuttino Mobley ................,"385,000",,
Devin Gray ....................,"88,223",[signed f,or season 1/00 (min.)]
Anthony Miller ................,"30,000",[signed f,or season 1/00 (min.)]
[Moochie Norris signed minimum,contract 2/,00],
,,,
----,,,
,,,
Indiana Pacers             Total,"$54,158,605 ",,
Rik Smits .....................,"12,250,000",,
Reggie Miller .................,"9,031,850",,
Derrick McKey .................,"4,800,000",,
Dale Davis ....................,"4,490,000",,
Chris Mullin ..................,"4,079,100",,
Mark Jackson ..................,"4,000,000",,
Travis Best ...................,"3,250,000",,
Jalen Rose ....................,"2,437,500",,
Jonathan Bender ...............,"2,214,600",,
Sam Perkins ...................,"1,925,000",,
Austin Croshere ...............,"1,515,120",,
Zan Tabak .....................,"1,100,000",,
Jeff Foster ...................,"857,760",,
Al Harrington .................,"745,800",,
LaSalle Thompson ..............,"510,000",[complete,d contract*]
Mark Pope .....................,"460,000",[released,10/99]
Brent Scott ...................,"385,000",[complete,d contract*]
Mate Skelin ...................,"385,000",[complete,d contract*]
Shannon Smith .................,"301,875",[released,10/99]
Mitchell Butler ...............,"150,000",[released,10/99]
Adrian Caldwell ...............,"50,000",[released,10/99]
Terry Dehere ..................,"50,000",[released,10/99]
,,,
----,,,
,,,
Los Angeles Clippers       Total,"$22,489,343 ",,
Michael Olowokandi ............,"3,456,240",,
Tyrone Nesby ..................,"2,716,667",,
Lamar Odom ....................,"2,445,480",,
Eric Piatkowski ...............,"2,000,000",,
James Robinson ................,"1,866,667",[released,3/99]
Eric Murdock ..................,"1,925,000",,
Keith Closs ...................,"1,680,000",,
Derek Anderson ................,"1,439,400",,
Maurice Taylor ................,"1,367,400",,
Brian Skinner .................,"843,000",,
Charles Smith .................,"779,960",[released,10/99]
Anthony Avent .................,"510,000",[minimum,"$572,500]"
Pooh Richardson ...............,"500,000",[bought o,ut 9/99]
Troy Hudson ...................,"460,000",,
Charles Jones .................,"385,000",,
Marty Conlon ..................,"114,529",[released,10/99]
[Pete Chilcutt signed 2nd 10-da,y contract,(minimum) 2,/00
Jeff McInnis signed 10-day con,tract (mini,mum) 2/00],
,,,
----,,,
,,,
