PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Avery Johnson,SAS,35,11-May,180,Southern,USA,Undrafted,Undrafted,Undrafted,82,11.2,1.9,6,5,1.40%,4.70%,18.80%,50.00%,31.90%
B.J. Armstrong,CHI,32,2-Jun,185,Iowa,USA,1989,1,18,27,7.4,1.7,2.9,-12.3,0.40%,8.10%,18.50%,51.00%,26.00%
Baron Davis,CHH,21,3-Jun,210,UCLA,USA,1999,1,3,82,5.9,2,3.8,1.8,3.20%,7.70%,18.30%,48.60%,33.40%
Ben Davis,PHX,27,9-Jun,245,Arizona,USA,1996,2,43,5,0.8,1.8,0.4,-33,12.50%,31.60%,17.00%,33.30%,16.70%
Ben Wallace,ORL,25,9-Jun,240,Virginia Union,USA,Undrafted,Undrafted,Undrafted,81,4.8,8.2,0.8,0.6,10.20%,22.10%,9.40%,50.80%,4.70%
Benoit Benjamin,CLE,35,Jul-00,250,Creighton,USA,1985,1,3,3,0.7,0.3,0,40.6,0.00%,7.70%,16.70%,33.30%,0.00%
Bill Curley,GSW,28,9-Jun,245,Boston College,USA,1994,1,22,28,2.7,1.8,0.5,-14.7,5.30%,11.60%,13.50%,48.10%,7.30%
Bill Wennington,SAC,37,Jul-00,245,St. John's (NY),USA,1985,1,16,7,2,2.7,0.1,-1.8,8.20%,24.60%,16.70%,33.50%,2.90%
Billy Owens,GSW,31,9-Jun,225,Syracuse,USA,1991,1,3,62,6,4.9,1.6,-2.2,7.00%,15.10%,15.90%,46.20%,12.20%
Bimbo Coles,ATL,32,2-Jun,182,Virginia Tech,USA,1990,2,40,80,8.1,2.2,3.6,-5.7,1.50%,7.20%,17.20%,49.40%,23.90%
Bo Outlaw,ORL,29,8-Jun,210,Houston,USA,Undrafted,Undrafted,Undrafted,82,6,6.4,3,5.9,8.50%,13.10%,9.80%,59.70%,14.80%
Bob Sura,CLE,27,5-Jun,200,Florida State,USA,1995,1,17,73,13.8,3.9,3.9,-3.6,2.20%,10.50%,20.50%,54.50%,21.50%
Bobby Jackson,MIN,27,1-Jun,185,Minnesota,USA,1997,1,23,73,5.1,2.1,2.4,-3.6,4.80%,9.80%,18.80%,47.40%,26.20%
