PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
AJ Price,WAS,26,2-Jun,185,Connecticut,USA,2009,2,52,57,7.7,2,3.6,-1.9,1.50%,7.40%,17.60%,50.10%,27.30%
Aaron Brooks,HOU,28,Jun-00,161,Oregon,USA,2007,1,26,53,7.1,1.5,2.2,-9.6,1.30%,7.00%,17.70%,55.50%,19.00%
Aaron Gray,TOR,28,Jul-00,270,Pittsburgh,USA,2007,2,49,42,2.8,3.2,0.8,-7.9,9.40%,18.10%,13.00%,54.40%,10.30%
Al Harrington,ORL,33,9-Jun,245,None,USA,1998,1,25,10,5.1,2.7,1,-15.5,4.90%,19.10%,24.10%,43.40%,14.10%
Al Horford,ATL,27,10-Jun,250,Florida,Dominican Rep...,2007,1,3,74,17.4,10.2,3.2,3.5,7.70%,20.60%,21.90%,56.00%,14.90%
Al Jefferson,UTA,28,10-Jun,289,None,USA,2004,1,15,78,17.8,9.2,2.1,-3.2,6.30%,23.70%,25.60%,52.20%,11.90%
Al-Farouq Aminu,NOH,22,9-Jun,215,Wake Forest,USA,2010,1,8,76,7.3,7.7,1.4,-1.2,7.00%,23.00%,14.10%,51.90%,7.60%
Alan Anderson,TOR,30,6-Jun,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,65,10.7,2.3,1.6,-2.6,2.30%,8.40%,23.00%,50.90%,12.50%
Alec Burks,UTA,21,6-Jun,202,Colorado,USA,2011,1,12,64,7,2.3,1.4,3.9,3.30%,9.80%,19.40%,50.70%,12.70%
Alexey Shved,MIN,24,6-Jun,182,None,Russia,Undrafted,Undrafted,Undrafted,77,8.6,2.3,3.7,-1.7,2.10%,7.50%,20.10%,47.40%,24.80%
Alonzo Gee,CLE,26,6-Jun,219,Alabama,USA,Undrafted,Undrafted,Undrafted,82,10.3,3.9,1.6,-7,2.80%,10.50%,16.50%,50.50%,8.10%
Amar'e Stoudemire,NYK,30,11-Jun,245,None,USA,2002,1,9,29,14.2,5,0.4,3,9.20%,13.90%,25.30%,63.70%,3.70%
Amir Johnson,TOR,26,9-Jun,210,None,USA,2005,2,56,81,10,7.5,1.5,5.5,10.10%,17.20%,15.70%,59.10%,8.50%
Anderson Varejao,CLE,30,11-Jun,260,None,Brazil,2004,2,30,25,14.1,14.4,3.4,-4,14.10%,27.20%,17.70%,52.90%,15.70%
Andray Blatche,BKN,26,11-Jun,260,None,USA,2005,2,49,82,10.3,5.1,1,0,10.40%,18.50%,25.50%,54.70%,10.80%
Andre Drummond,DET,19,10-Jun,270,Connecticut,USA,2012,1,9,60,7.9,7.6,0.5,-2.7,13.30%,23.50%,16.50%,57.80%,4.00%
Andre Iguodala,DEN,29,6-Jun,207,Arizona,USA,2004,1,9,80,13,5.3,5.4,7,3.00%,11.80%,18.60%,52.00%,22.40%
Andre Miller,DEN,37,2-Jun,200,Utah,USA,1999,1,8,82,9.6,2.9,5.9,4.6,2.80%,8.00%,17.60%,54.80%,32.60%
Andrea Bargnani,TOR,27,Jul-00,256,None,Italy,2006,1,1,35,12.7,3.7,1.1,-5.5,2.60%,10.70%,22.90%,48.20%,6.40%
Andrei Kirilenko,MIN,32,9-Jun,235,None,Russia,1999,1,24,64,12.4,5.7,2.8,-0.7,5.00%,13.70%,16.90%,59.00%,14.40%
Andrew Bogut,GSW,28,Jul-00,260,Utah,Australia,2005,1,1,32,5.8,7.7,2.1,2.4,8.90%,21.20%,13.30%,46.30%,12.10%
Andrew Goudelock,LAL,24,3-Jun,200,College of Charleston,USA,2011,2,46,1,0,1,0,-83.5,11.10%,0.00%,14.30%,0.00%,0.00%
Andrew Nicholson,ORL,23,9-Jun,250,St. Bonaventure,Canada,2012,1,19,75,7.8,3.4,0.6,-5.9,5.60%,15.30%,21.50%,55.70%,6.20%
Andris Biedrins,GSW,27,Jul-00,242,None,Latvia,2004,1,11,53,0.5,2.9,0.3,-6.7,6.80%,21.90%,3.60%,44.90%,3.90%
Antawn Jamison,LAL,37,9-Jun,235,North Carolina,USA,1998,1,4,76,9.4,4.8,0.7,0.2,6.60%,14.60%,18.20%,56.10%,5.10%
Anthony Davis,NOH,20,10-Jun,220,Kentucky,USA,2012,1,1,64,13.5,8.2,1,-3.6,9.40%,21.30%,21.10%,55.90%,6.00%
Anthony Morrow,DAL,27,5-Jun,210,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,41,4,0.7,0.3,-7.6,2.90%,5.60%,18.40%,53.00%,5.80%
Anthony Randolph,DEN,23,11-Jun,225,Louisiana State,USA,2008,1,14,39,3.7,2.4,0.3,1.4,9.10%,17.40%,21.10%,53.40%,5.40%
Anthony Tolliver,ATL,28,8-Jun,240,Creighton,USA,Undrafted,Undrafted,Undrafted,62,4.1,2.5,0.5,-3.1,3.20%,12.80%,12.70%,53.10%,5.20%
Arnett Moultrie,PHI,22,10-Jun,245,Mississippi State,USA,2012,1,27,47,3.7,3.1,0.2,-6.9,13.20%,13.40%,13.30%,59.50%,3.10%
Aron Baynes,SAS,26,10-Jun,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,16,2.7,2,0.3,-1,8.40%,13.80%,15.50%,52.10%,5.30%
Arron Afflalo,ORL,27,5-Jun,215,UCLA,USA,2007,1,27,64,16.5,3.7,3.2,-7.5,1.30%,9.50%,22.30%,52.70%,14.60%
Austin Daye,MEM,25,11-Jun,200,Gonzaga,,2009,1,15,55,4.5,2.2,0.8,1.4,2.40%,16.10%,16.20%,55.40%,9.30%
Austin Rivers,NOH,20,4-Jun,200,Duke,USA,2012,1,10,61,6.2,1.8,2.1,-5.5,1.20%,7.00%,16.80%,43.10%,14.20%
Avery Bradley,BOS,22,2-Jun,180,Texas,USA,2010,1,19,50,9.2,2.2,2.1,-1.3,2.30%,5.50%,18.60%,46.10%,11.50%
Ben Gordon,CHA,30,3-Jun,200,Connecticut,USA,2004,1,3,75,11.2,1.7,1.9,-14.9,1.10%,7.60%,26.40%,51.50%,18.00%
Ben Hansbrough,IND,25,3-Jun,203,Notre Dame,USA,Undrafted,Undrafted,Undrafted,28,2,0.6,0.8,-8.6,0.80%,7.10%,15.50%,50.10%,20.20%
Beno Udrih,ORL,30,3-Jun,203,None,Slovenia,2004,1,28,66,8.2,2.1,4.6,-5,2.20%,7.20%,18.50%,51.60%,32.90%
Bernard James,DAL,28,10-Jun,240,Florida State,USA,2012,2,33,46,2.8,2.8,0.1,-1.6,10.70%,17.30%,12.80%,54.10%,2.00%
Bismack Biyombo,CHA,20,9-Jun,245,None,Democratic Re...,2011,1,7,80,4.8,7.3,0.4,-8.6,8.80%,18.60%,10.10%,47.20%,2.50%
