PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Aaron Gordon,ORL,23,9-Jun,220,Arizona,USA,2014,1,4,30,15.5,7.4,3.2,-1.6,5.50%,17.00%,21.30%,53.60%,15.20%
Aaron Holiday,IND,22,1-Jun,185,California-Los Angeles,USA,2018,1,23,20,6.1,1.9,1.5,10.9,0.80%,13.10%,21.20%,51.00%,16.00%
Abdel Nader,OKC,25,6-Jun,225,Iowa State,Egypt,2016,2,58,14,1.1,0.9,0.1,-27.5,2.40%,20.70%,18.30%,57.60%,4.80%
Al Horford,BOS,32,10-Jun,245,Florida,Dominican Rep...,2007,1,3,23,12.3,6.3,3.4,3.6,5.10%,15.00%,17.50%,57.40%,17.10%
Al-Farouq Aminu,POR,28,9-Jun,220,Wake Forest,USA,2010,1,8,33,9.1,7.9,0.7,5.4,4.30%,20.70%,12.40%,56.70%,3.10%
Alec Burks,CLE,27,6-Jun,214,Colorado,USA,2011,1,12,31,9.5,3.3,1.8,-6.7,1.60%,13.40%,20.90%,49.30%,13.20%
Alex Abrines,OKC,25,6-Jun,200,None,Spain,2013,2,32,29,5.6,1.6,0.7,1.7,0.80%,6.70%,11.90%,51.00%,4.80%
Alex Len,ATL,25,1-Jul,250,Maryland,Ukraine,2013,1,5,30,9.8,5.3,1,-5.3,9.10%,15.20%,20.60%,55.90%,7.50%
Alex Poythress,ATL,25,9-Jun,235,Kentucky,USA,Undrafted,Undrafted,Undrafted,14,4.6,3.6,0.8,-15.5,9.20%,14.40%,12.80%,56.50%,8.70%
Alfonzo McKinnie,GSW,26,8-Jun,215,None,USA,Undrafted,Undrafted,Undrafted,25,5.9,3.9,0.4,5.6,8.90%,14.70%,14.70%,57.80%,3.70%
Alize Johnson,IND,22,9-Jun,212,Missouri State,USA,2018,2,50,4,0.5,1,0,-20.7,0.00%,30.80%,11.80%,25.80%,0.00%
Allen Crabbe,BKN,26,6-Jun,212,California,USA,2013,2,31,28,9.5,3.5,1.1,-1.3,1.60%,11.30%,16.30%,50.10%,5.90%
Allonzo Trier,NYK,22,5-Jun,200,University of Arizona,USA,Undrafted,Undrafted,Undrafted,27,11.3,3.1,1.9,-8.3,2.30%,10.40%,20.30%,58.00%,12.90%
Amir Johnson,PHI,31,9-Jun,240,None,USA,2005,2,56,31,3.7,2.5,1.2,-8.5,6.80%,18.70%,16.40%,61.70%,17.50%
Andre Drummond,DET,25,11-Jun,279,Connecticut,USA,2012,1,9,31,17.7,15.5,1.2,-1,15.50%,29.60%,24.30%,51.70%,6.10%
Andre Iguodala,GSW,34,6-Jun,215,Arizona,USA,2004,1,9,29,4.8,3.3,2.9,4.3,2.90%,10.40%,9.70%,54.10%,16.90%
Andrew Harrison,NOP,24,6-Jun,213,Kentucky,USA,2015,2,44,17,3.2,1.2,1.4,-6.6,3.20%,7.40%,16.90%,44.30%,19.40%
Andrew Wiggins,MIN,23,8-Jun,194,Kansas,Canada,2014,1,1,29,16.7,4.1,2.2,0.2,2.30%,9.20%,23.00%,49.90%,9.80%
Anfernee Simons,POR,19,4-Jun,185,None,USA,2018,1,24,5,2.2,1,0.2,-14.8,0.00%,14.30%,24.10%,32.80%,4.30%
Ante Zizic,CLE,21,11-Jun,254,None,Croatia,2016,1,23,23,3.8,3,0.5,-6.6,10.30%,17.40%,18.80%,53.20%,7.60%
Anthony Davis,NOP,25,10-Jun,253,Kentucky,USA,2012,1,1,30,28,12.7,4.7,5.1,8.30%,23.30%,28.20%,58.70%,19.60%
Anthony Tolliver,MIN,33,8-Jun,250,Creighton,USA,Undrafted,Undrafted,Undrafted,21,4.3,2,0.7,-8.8,2.00%,11.30%,11.50%,59.90%,6.80%
Antonio Blakeney,CHI,22,4-Jun,192,Louisiana State,USA,Undrafted,Undrafted,Undrafted,27,8.8,1.9,0.6,-8.2,1.10%,9.30%,24.60%,49.90%,5.50%
Aron Baynes,BOS,32,10-Jun,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,25,5.5,4.2,1.2,10.4,10.50%,18.10%,15.70%,57.20%,11.30%
Austin Rivers,WAS,26,4-Jun,200,Duke,USA,2012,1,10,29,7.2,2.4,2,-1.9,1.60%,8.50%,15.20%,49.00%,11.70%
Avery Bradley,LAC,28,2-Jun,180,Texas,USA,2010,1,19,27,7.4,2.3,1.8,-3.4,1.70%,5.50%,13.70%,45.10%,8.70%
Bam Adebayo,MIA,21,10-Jun,255,Kentucky,USA,2017,1,14,32,7.6,7.1,2,2.9,9.40%,22.00%,15.30%,57.80%,14.70%
Ben McLemore,SAC,25,5-Jun,201,Kansas,USA,2013,1,7,10,2.2,0.7,0.3,-6.1,1.30%,8.50%,18.30%,34.80%,5.50%
Ben Simmons,PHI,22,10-Jun,230,Louisiana State,Australia,2016,1,1,33,16.2,9.2,7.9,2.7,6.10%,19.50%,20.70%,60.20%,36.70%
Bismack Biyombo,CHA,26,9-Jun,255,None,Democratic Re...,2011,1,7,10,1.8,1.8,0.2,-25,5.70%,16.50%,11.20%,56.40%,4.30%
Blake Griffin,DET,29,10-Jun,250,Oklahoma,USA,2009,1,1,30,25.3,8.9,5.1,0.3,3.20%,21.10%,29.20%,58.10%,24.90%
Boban Marjanovic,LAC,30,3-Jul,290,None,Serbia,Undrafted,Undrafted,Undrafted,25,7.5,4.6,0.5,3.7,15.30%,23.20%,23.70%,68.00%,8.30%
Bobby Portis,CHI,23,11-Jun,250,Arkansas,USA,2015,1,22,9,11.9,8,1.2,-6.8,6.30%,26.10%,25.30%,47.10%,7.90%
Bogdan Bogdanovic,SAC,26,6-Jun,205,None,Serbia,2014,1,27,21,15.1,3.3,3.9,3.7,1.70%,9.60%,22.50%,55.30%,20.30%
Bojan Bogdanovic,IND,29,8-Jun,216,None,Croatia,2011,2,31,34,16.4,3.8,1.5,4.6,1.40%,10.20%,19.20%,64.60%,7.10%
Brad Wanamaker,BOS,29,4-Jun,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,13,2.7,0.8,1.4,-2.3,0.00%,10.80%,16.80%,55.30%,28.10%
Bradley Beal,WAS,25,5-Jun,207,Florida,USA,2012,1,3,34,23.5,4.9,4.8,-3.1,2.60%,10.30%,26.20%,57.50%,20.60%
Brandon Goodwin,DEN,23,2-Jun,180,None,USA,Undrafted,Undrafted,Undrafted,2,2.5,0,1.5,41,0.00%,0.00%,25.00%,64.40%,60.00%
Brandon Ingram,LAL,21,9-Jun,190,Duke,USA,2016,1,2,22,15.5,4.1,2.2,3.9,2.30%,9.50%,22.30%,52.40%,10.00%
