PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Aaron McKie,LAL,34,5-Jun,209,Temple,USA,1994,1,17,10,2.2,1.8,1.3,-5.8,0.80%,13.70%,8.50%,64.70%,16.50%
Aaron Williams,LAC,35,9-Jun,235,Xavier,USA,Undrafted,Undrafted,Undrafted,38,2,2.2,0.2,-1.7,7.80%,16.30%,9.90%,60.60%,3.00%
Adam Morrison,CHA,22,8-Jun,205,Gonzaga,USA,2006,1,3,78,11.8,2.9,2.1,-5.6,2.30%,8.10%,21.60%,45.00%,12.10%
Adonal Foyle,GSW,32,10-Jun,270,Colgate,St. Vincent &...,1997,1,8,48,2.2,2.6,0.4,-4.1,10.40%,15.00%,10.40%,55.70%,5.40%
Adrian Griffin,CHI,32,5-Jun,230,Seton Hall,USA,Undrafted,Undrafted,Undrafted,54,2.5,2,1.1,6.6,7.50%,12.20%,13.10%,49.90%,15.40%
Al Harrington,GSW,27,9-Jun,245,None,USA,1998,1,25,78,16.5,6.4,1.9,0.1,5.80%,13.80%,22.70%,54.00%,9.70%
Al Jefferson,BOS,22,10-Jun,256,None,USA,2004,1,15,69,16,11,1.3,-2.8,11.00%,23.90%,22.50%,54.70%,7.10%
Alan Anderson,CHA,24,6-Jun,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,17,5.8,1.9,1.2,-4.6,4.50%,8.90%,19.10%,53.80%,14.40%
Alan Henderson,PHI,34,9-Jun,240,Indiana,USA,1995,1,16,38,3.1,2.8,0.3,-1,11.50%,15.20%,10.20%,67.90%,3.60%
Alexander Johnson,MEM,24,9-Jun,240,Florida State,USA,2006,2,45,59,4.4,3.1,0.3,-0.8,7.60%,19.30%,15.60%,58.80%,3.30%
Allan Ray,BOS,23,2-Jun,190,Villanova,USA,Undrafted,Undrafted,Undrafted,47,6.2,1.5,0.9,0.2,2.40%,8.30%,19.70%,51.20%,10.50%
Allen Iverson,DEN,32,Jun-00,165,Georgetown,USA,1996,1,1,65,26.3,3,7.2,-0.3,0.80%,6.10%,28.70%,54.00%,30.20%
Alonzo Mourning,MIA,37,10-Jun,261,Georgetown,USA,1992,1,2,77,8.6,4.5,0.2,-1.3,8.90%,13.70%,20.10%,59.00%,2.00%
Alvin Williams,LAC,32,5-Jun,195,Villanova,USA,1997,2,47,2,1,0.5,1.5,-38.1,7.10%,0.00%,25.90%,26.60%,42.90%
Amar'e Stoudemire,PHX,24,10-Jun,245,None,USA,2002,1,9,82,20.4,9.6,1,8.6,9.10%,20.40%,25.10%,63.70%,4.90%
Amir Johnson,DET,20,9-Jun,210,None,USA,2005,2,56,8,5.9,4.6,0.4,0.4,12.80%,15.50%,17.00%,60.00%,3.90%
Anderson Varejao,CLE,24,10-Jun,240,None,Brazil,2004,2,30,81,6.8,6.7,0.9,6.2,9.70%,19.20%,13.40%,52.70%,6.00%
Andray Blatche,WAS,20,11-Jun,248,None,USA,2005,2,49,56,3.7,3.4,0.7,-6,10.70%,17.40%,16.70%,47.10%,9.40%
Andre Barrett,CHI,25,10-May,173,Seton Hall,,Undrafted,Undrafted,Undrafted,6,1.3,0.8,1.2,-2.9,3.80%,16.00%,16.90%,50.00%,36.80%
Andre Brown,SEA,26,9-Jun,245,DePaul,USA,Undrafted,Undrafted,Undrafted,38,2.4,1.9,0.1,-3.9,10.00%,16.80%,17.00%,57.70%,1.40%
Andre Iguodala,PHI,23,6-Jun,207,Arizona,USA,2004,1,9,76,18.2,5.7,5.7,-3.4,2.70%,12.40%,22.30%,56.20%,24.20%
Andre Miller,PHI,31,2-Jun,200,Utah,USA,1999,1,8,80,13.4,4.4,7.8,-0.3,3.50%,8.80%,18.80%,52.00%,32.90%
Andrea Bargnani,TOR,21,Jul-00,250,None,Italy,2006,1,1,65,11.6,3.9,0.8,1.6,3.40%,13.00%,22.10%,54.60%,5.10%
Andreas Glyniadakis,SEA,25,1-Jul,280,None,USA,2003,2,58,13,1.3,0.6,0.1,-14.2,2.70%,8.50%,15.20%,47.50%,2.00%
Andrei Kirilenko,UTA,26,9-Jun,227,None,Russia,1999,1,24,70,8.3,4.7,2.9,1,4.70%,12.30%,14.50%,55.80%,14.50%
Andres Nocioni,CHI,27,7-Jun,225,None,Argentina,Undrafted,Undrafted,Undrafted,53,14.1,5.7,1.1,1.8,3.10%,18.60%,23.50%,57.80%,7.30%
Andrew Bogut,MIL,22,Jul-00,245,Utah,Australia,2005,1,1,66,12.3,8.8,3,-2.7,7.80%,20.00%,17.10%,56.60%,13.80%
Andrew Bynum,LAL,19,Jul-00,275,None,USA,2005,1,10,82,7.8,5.9,1.1,-2.6,8.30%,19.10%,16.20%,59.30%,8.50%
Andris Biedrins,GSW,21,11-Jun,245,None,Latvia,2004,1,11,82,9.5,9.3,1.1,3.2,10.60%,21.50%,13.80%,59.80%,5.30%
Antawn Jamison,WAS,31,9-Jun,235,North Carolina,USA,1998,1,4,70,19.8,8,1.9,1.5,5.00%,17.00%,22.30%,54.50%,8.40%
Anthony Carter,DEN,32,2-Jun,195,Hawaii,USA,Undrafted,Undrafted,Undrafted,2,3,1.5,5.5,6.4,0.00%,5.90%,15.40%,37.50%,42.30%
Anthony Johnson,ATL,32,3-Jun,195,College of Charleston,USA,1997,2,39,67,5.3,1.5,3,-4.5,1.80%,6.50%,15.50%,48.00%,24.90%
Anthony Parker,TOR,32,6-Jun,215,Bradley,USA,1997,1,21,73,12.4,3.9,2.1,6.6,2.70%,9.60%,15.40%,59.60%,9.60%
Anthony Roberson,GSW,24,2-Jun,188,Florida,USA,Undrafted,Undrafted,Undrafted,20,5.6,1.1,0.5,-11.1,0.80%,8.30%,21.90%,52.70%,7.10%
Antoine Walker,MIA,30,9-Jun,245,Kentucky,USA,1996,1,6,78,8.5,4.3,1.7,-1.7,5.40%,14.10%,21.80%,46.20%,12.20%
Antoine Wright,NJN,23,7-Jun,215,Texas A&M,USA,2005,1,15,63,4.5,2.8,0.9,-6.8,3.60%,12.30%,13.00%,50.00%,8.10%
Antonio Daniels,WAS,32,4-Jun,205,Bowling Green,USA,1997,1,4,80,7.1,1.9,3.6,-0.4,1.00%,8.00%,14.00%,57.20%,26.10%
Antonio McDyess,DET,32,9-Jun,245,Alabama,USA,1995,1,2,82,8.1,6,0.9,9.2,9.90%,20.00%,17.90%,55.20%,7.20%
Austin Croshere,DAL,32,10-Jun,235,Providence,USA,1997,1,12,61,3.7,3,0.7,1.6,4.60%,20.80%,16.80%,46.30%,10.40%
Baron Davis,GSW,28,3-Jun,215,UCLA,USA,1999,1,3,63,20.1,4.4,8.1,5.2,2.30%,10.10%,26.20%,53.00%,35.60%
