PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
AJ Price,MIN,27,2-Jun,195,Connecticut,USA,2009,2,52,28,1.6,0.4,0.5,0.5,0.80%,7.50%,21.10%,46.90%,27.10%
Aaron Brooks,DEN,29,Jun-00,161,Oregon,USA,2007,1,26,72,9,1.9,3.2,-2.4,2.70%,6.10%,20.00%,51.80%,23.80%
Aaron Gray,SAC,29,Jul-00,270,Pittsburgh,USA,2007,2,49,37,1.8,3,0.6,-11,11.30%,19.90%,12.10%,46.60%,9.20%
Adonis Thomas,PHI,21,7-Jun,240,Memphis,USA,Undrafted,Undrafted,Undrafted,6,2.3,0.5,0.5,14.3,0.00%,7.90%,17.20%,48.50%,11.50%
Al Harrington,WAS,34,9-Jun,245,None,USA,1998,1,25,34,6.6,2.4,0.8,5.5,3.20%,13.80%,22.20%,50.60%,8.90%
Al Horford,ATL,28,10-Jun,250,Florida,Dominican Rep...,2007,1,3,29,18.6,8.4,2.6,3,7.20%,18.90%,24.30%,58.80%,13.90%
Al Jefferson,CHA,29,10-Jun,289,None,USA,2004,1,15,73,21.8,10.8,2.1,0.5,6.30%,24.70%,29.10%,53.20%,12.20%
Al-Farouq Aminu,NOP,23,9-Jun,215,Wake Forest,USA,2010,1,8,80,7.2,6.2,1.4,-5.8,6.40%,18.80%,13.90%,51.60%,8.30%
Alan Anderson,BKN,31,6-Jun,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,78,7.2,2.2,1,-1.7,2.40%,7.80%,15.40%,52.50%,7.40%
Alec Burks,UTA,22,6-Jun,211,Colorado,USA,2011,1,12,78,14,3.3,2.7,-6.7,2.70%,9.50%,23.10%,54.70%,16.80%
Alex Len,PHX,21,1-Jul,255,Maryland,Ukraine,2013,1,5,42,2,2.4,0.1,-8.3,10.60%,17.10%,13.30%,46.90%,1.70%
Alexey Shved,MIN,25,6-Jun,187,None,Russia,Undrafted,Undrafted,Undrafted,63,4,1.3,1.1,-3.6,2.80%,9.00%,20.30%,45.20%,16.20%
Alexis Ajinca,NOP,26,2-Jul,248,None,France,2008,1,20,56,5.9,4.9,0.7,-3.9,10.60%,20.10%,16.20%,58.90%,6.70%
Allen Crabbe,POR,22,6-Jun,210,California,USA,2013,2,31,15,2.2,0.6,0.4,1.9,1.00%,7.70%,15.40%,47.50%,8.80%
Alonzo Gee,CLE,27,6-Jun,225,Alabama,USA,Undrafted,Undrafted,Undrafted,65,4,2.3,0.7,-10.5,3.30%,11.00%,13.00%,49.10%,7.10%
Amar'e Stoudemire,NYK,31,11-Jun,245,None,USA,2002,1,9,65,11.9,4.9,0.5,-5.8,8.00%,15.50%,23.40%,59.60%,4.40%
Amir Johnson,TOR,27,9-Jun,210,None,USA,2005,2,56,77,10.4,6.6,1.5,4.3,8.00%,15.30%,16.10%,59.20%,8.50%
Anderson Varejao,CLE,31,11-Jun,267,None,Brazil,2004,2,30,65,8.4,9.7,2.2,1.8,10.00%,25.30%,14.40%,52.70%,12.20%
