PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Aaron Brooks,HOU,24,Jun-00,161,Oregon,USA,2007,1,26,80,11.2,2,3,4.1,1.80%,6.30%,22.50%,52.10%,20.10%
Aaron Gray,CHI,24,Jul-00,270,Pittsburgh,USA,2007,2,49,56,3.5,3.9,0.8,-2.8,11.60%,19.20%,13.80%,50.80%,9.80%
Acie Law,ATL,24,3-Jun,202,Texas A&M,USA,2007,1,11,55,2.9,1.1,1.6,0,1.10%,8.70%,15.50%,49.00%,25.70%
Adam Morrison,LAL,24,8-Jun,205,Gonzaga,USA,2006,1,3,52,4,1.5,0.8,-8.1,2.70%,9.30%,17.20%,44.80%,10.10%
Adonal Foyle,ORL,34,10-Jun,270,Colgate,St. Vincent &...,1997,1,8,10,1.7,2.6,0.1,-6.3,12.70%,23.60%,11.80%,62.30%,2.80%
Al Harrington,NYK,29,9-Jun,250,None,USA,1998,1,25,73,20.1,6.2,1.4,-1.2,3.70%,14.50%,25.30%,54.70%,6.80%
Al Horford,ATL,23,10-Jun,245,Florida,Dominican Rep...,2007,1,3,67,11.5,9.3,2.4,0.8,6.90%,22.30%,16.50%,56.50%,11.90%
Al Jefferson,MIN,24,10-Jun,265,None,USA,2004,1,15,50,23.1,11,1.6,-2.6,9.30%,21.90%,28.40%,53.20%,8.20%
Al Thornton,LAC,25,8-Jun,220,Florida State,USA,2007,1,14,71,16.8,5.2,1.5,-10.4,4.70%,9.80%,22.50%,50.20%,6.80%
Alando Tucker,PHX,25,6-Jun,205,Wisconsin,USA,2007,1,29,30,4.6,1,0.4,4.7,6.30%,4.30%,20.90%,50.90%,6.40%
Alex Acker,LAC,26,5-Jun,185,Pepperdine,USA,2005,2,60,25,2.9,1,0.5,2,3.90%,8.20%,19.60%,44.80%,9.10%
Alexis Ajinca,CHA,21,Jul-00,220,None,France,2008,1,20,31,2.3,1,0.1,3.1,5.70%,13.20%,24.40%,43.00%,3.20%
Allen Iverson,DET,34,Jun-00,180,Georgetown,USA,1996,1,1,57,17.5,3,5,-0.9,1.50%,7.20%,25.70%,50.40%,23.80%
Amar'e Stoudemire,PHX,26,10-Jun,249,None,USA,2002,1,9,53,21.4,8.1,2,3.4,6.80%,15.80%,24.50%,61.70%,8.70%
