PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Aaron McKie,LAL,33,5-Jun,209,Temple,USA,1994,1,17,14,0.5,1.4,0.8,-9.3,2.60%,14.30%,5.70%,27.20%,14.70%
Aaron Miles,GSW,23,1-Jun,190,Kansas,USA,Undrafted,Undrafted,Undrafted,19,0.8,0.7,1.3,-1.6,0.00%,13.60%,10.80%,40.50%,30.80%
Aaron Williams,NOK,34,9-Jun,235,Xavier,USA,Undrafted,Undrafted,Undrafted,48,4.6,3.8,0.4,-1.6,8.50%,16.00%,13.40%,55.10%,3.60%
Adonal Foyle,GSW,31,10-Jun,270,Colgate,St. Vincent &...,1997,1,8,77,4.5,5.5,0.4,-0.6,7.60%,14.80%,9.90%,52.40%,2.80%
Adrian Griffin,DAL,31,5-Jun,230,Seton Hall,USA,Undrafted,Undrafted,Undrafted,52,4.6,4.4,1.7,8.1,6.70%,13.30%,9.80%,52.10%,10.70%
Al Harrington,ATL,26,9-Jun,245,None,USA,1998,1,25,76,18.6,6.9,3.1,-6.3,5.00%,15.70%,25.60%,51.30%,15.50%
Al Jefferson,BOS,21,10-Jun,265,None,USA,2004,1,15,59,7.9,5.1,0.5,-4.7,9.90%,19.80%,21.20%,53.00%,5.50%
Alan Anderson,CHA,23,6-Jun,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,36,5.8,1.9,0.9,1,3.90%,8.90%,17.70%,52.00%,9.30%
Alan Henderson,CLE,33,9-Jun,240,Indiana,USA,1995,1,16,51,2.5,2.7,0.2,-4.9,11.30%,14.80%,11.20%,56.40%,3.20%
Alex Acker,DET,23,5-Jun,185,Pepperdine,USA,2005,2,60,5,1.8,1,0.8,-45.5,2.50%,12.10%,21.30%,28.10%,19.00%
Alex Scales,SAS,27,4-Jun,195,Oregon,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Allen Iverson,PHI,31,Jun-00,165,Georgetown,USA,1996,1,1,72,33,3.2,7.4,0.3,1.50%,6.20%,35.00%,54.30%,33.10%
Alonzo Mourning,MIA,36,10-Jun,261,Georgetown,USA,1992,1,2,65,7.8,5.5,0.2,9.9,10.10%,17.00%,17.00%,61.50%,1.40%
Alvin Williams,TOR,31,5-Jun,195,Villanova,USA,1997,2,47,1,1,3,0,-27.7,0.00%,27.30%,17.40%,12.90%,0.00%
Amar'e Stoudemire,PHX,23,10-Jun,245,None,USA,2002,1,9,3,8.7,5.3,0.7,-0.9,10.70%,19.20%,27.40%,42.00%,6.30%
Amir Johnson,DET,19,9-Jun,210,None,USA,2005,2,56,3,6.7,1.3,1,-25.3,7.70%,2.40%,16.80%,85.00%,12.50%
Anderson Varejao,CLE,23,10-Jun,240,None,Brazil,2004,2,30,48,4.6,4.9,0.4,4.6,10.10%,21.40%,13.00%,54.10%,4.00%
Andray Blatche,WAS,19,11-Jun,235,None,USA,2005,2,49,29,2.2,1.3,0.3,-3.7,6.90%,15.10%,20.50%,45.00%,10.30%
Andre Barrett,TOR,24,10-May,173,Seton Hall,,Undrafted,Undrafted,Undrafted,19,4.6,1.3,2.7,-4,2.80%,6.00%,18.40%,39.80%,28.00%
Andre Iguodala,PHI,22,6-Jun,207,Arizona,USA,2004,1,9,82,12.3,5.9,3.1,0.5,4.00%,12.00%,14.50%,59.80%,12.60%
Andre Miller,DEN,30,2-Jun,205,Utah,USA,1999,1,8,82,13.7,4.3,8.2,2.6,3.40%,8.80%,20.10%,53.20%,35.50%
Andre Owens,UTA,25,4-Jun,200,Houston,USA,Undrafted,Undrafted,Undrafted,23,3,0.9,0.3,-8.1,4.80%,5.60%,19.60%,42.10%,7.90%
Andrei Kirilenko,UTA,25,9-Jun,225,None,Russia,1999,1,24,69,15.3,8,4.3,1,6.60%,16.10%,20.40%,55.60%,20.20%
Andres Nocioni,CHI,26,7-Jun,225,None,Argentina,Undrafted,Undrafted,Undrafted,82,13,6.1,1.4,-1.5,3.90%,18.60%,20.70%,56.70%,9.10%
Andrew Bogut,MIL,21,Jul-00,245,Utah,Australia,2005,1,1,82,9.4,7,2.3,2,8.40%,17.60%,15.50%,55.50%,13.30%
Andrew Bynum,LAL,18,Jul-00,275,None,USA,2005,1,10,46,1.6,1.7,0.2,-5,9.60%,13.80%,14.40%,39.40%,4.40%
Andris Biedrins,GSW,20,11-Jun,245,None,Latvia,2004,1,11,68,3.8,4.2,0.4,2.3,12.10%,16.60%,10.90%,59.50%,3.80%
Anfernee Hardaway,NYK,34,7-Jun,215,Memphis,USA,1993,1,3,4,2.5,2.5,2,4.9,0.00%,15.20%,13.50%,33.60%,17.40%
Antawn Jamison,WAS,30,9-Jun,235,North Carolina,USA,1998,1,4,82,20.5,9.3,1.9,3.5,5.00%,19.30%,23.30%,51.80%,8.30%
Anthony Carter,MIN,31,2-Jun,195,Hawaii,USA,Undrafted,Undrafted,Undrafted,45,3.3,1.4,2.2,-3.3,1.60%,9.10%,15.60%,46.50%,27.70%
