PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
A.C. Green,MIA,37,9-Jun,225,Oregon State,USA,1985,1,23,82,4.5,3.8,0.5,3.7,7.60%,15.10%,13.60%,49.20%,5.00%
A.J. Guyton,CHI,23,1-Jun,180,Indiana,USA,2000,2,32,33,6,1.1,1.9,-10.9,1.60%,4.60%,16.60%,49.50%,19.80%
Aaron McKie,PHI,28,5-Jun,209,Temple,USA,1994,1,17,76,11.6,4.1,5,7.2,1.50%,11.50%,18.50%,54.90%,26.40%
Aaron Williams,NJN,29,9-Jun,225,Xavier,USA,Undrafted,Undrafted,Undrafted,82,10.2,7.2,1.1,-7.9,8.90%,17.60%,17.70%,53.30%,6.80%
Adam Keefe,GSW,31,9-Jun,230,Stanford,USA,1992,1,10,67,2.5,3.1,0.5,-10.5,9.50%,15.00%,11.30%,45.00%,6.60%
Adonal Foyle,GSW,26,10-Jun,250,Colgate,St. Vincent &...,1997,1,8,58,5.9,7,0.8,-10.4,8.90%,17.10%,13.70%,42.20%,5.10%
Adrian Griffin,BOS,26,5-Jun,215,Seton Hall,USA,Undrafted,Undrafted,Undrafted,44,2.1,2,0.6,-2.7,6.60%,17.90%,14.30%,43.20%,12.50%
Al Harrington,IND,21,9-Jun,254,None,USA,1998,1,25,78,7.5,4.9,1.7,-0.3,6.60%,13.50%,18.30%,47.90%,11.60%
Alan Henderson,ATL,28,9-Jun,235,Indiana,USA,1995,1,16,73,10.5,5.6,0.7,-7.8,9.70%,13.10%,22.00%,48.70%,5.00%
Allan Houston,NYK,30,6-Jun,200,Tennessee,USA,1993,1,11,78,18.7,3.6,2.2,2.5,0.80%,9.50%,24.80%,54.30%,11.90%
Allen Iverson,PHI,26,Jun-00,165,Georgetown,USA,1996,1,1,71,31.1,3.8,4.6,6.2,1.70%,7.30%,34.80%,51.80%,22.60%
Alonzo Mourning,MIA,31,10-Jun,261,Georgetown,USA,1992,1,2,13,13.6,7.8,0.9,5.3,12.20%,20.60%,29.10%,53.60%,7.90%
Alvin Williams,TOR,26,5-Jun,185,Villanova,USA,1997,2,47,82,9.8,2.6,5,3.4,2.00%,6.80%,17.10%,48.30%,26.70%
Andre Miller,CLE,25,2-Jun,200,Utah,USA,1999,1,8,82,15.8,4.4,8,-0.6,3.40%,9.30%,22.70%,54.10%,38.90%
Andrew DeClercq,ORL,28,10-Jun,255,Florida,USA,1995,2,34,67,3.9,3.5,0.5,6.8,9.90%,15.90%,13.30%,57.00%,4.90%
Andy Panko,ATL,23,9-Jun,245,Lebanon Valley,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Anfernee Hardaway,PHX,29,7-Jun,215,Memphis,USA,1993,1,3,4,9.8,4.5,3.8,-4,4.10%,11.80%,17.10%,47.70%,22.40%
Antawn Jamison,GSW,25,9-Jun,223,North Carolina,USA,1998,1,4,82,24.9,8.7,2,-8.2,7.20%,13.40%,27.50%,49.90%,9.40%
Anthony Carter,MIA,26,1-Jun,190,Hawaii,USA,Undrafted,Undrafted,Undrafted,72,6.4,2.5,3.7,1.6,3.00%,8.40%,18.40%,43.90%,30.50%
Anthony Goldwire,DEN,29,2-Jun,182,Houston,USA,1994,2,52,20,4.1,0.6,1.7,-3.7,0.40%,5.90%,21.40%,46.90%,27.60%
Anthony Johnson,CLE,26,3-Jun,190,College of Charleston,USA,1997,2,39,53,2.5,0.8,1.5,-9.5,1.90%,7.10%,16.90%,39.00%,26.60%
Anthony Mason,MIA,34,8-Jun,255,Tennessee State,USA,1988,3,53,80,16.1,9.6,3.1,1.4,5.50%,19.70%,19.80%,55.50%,14.40%
Anthony Miller,PHI,29,9-Jun,255,Michigan State,USA,1994,2,39,4,0.5,0.5,0,-36.8,0.00%,28.60%,12.00%,50.00%,0.00%
Anthony Peeler,MIN,31,4-Jun,208,Missouri,USA,1992,1,15,75,10.5,2.6,2.6,2.5,2.10%,6.90%,18.30%,51.30%,13.80%
Antoine Walker,BOS,24,9-Jun,245,Kentucky,USA,1996,1,6,81,23.4,8.9,5.5,-1.7,4.50%,17.90%,28.80%,50.50%,26.10%
Antonio Daniels,SAS,26,4-Jun,205,Bowling Green,USA,1997,1,4,79,9.4,2.1,3.8,3.8,1.40%,6.50%,16.90%,56.70%,24.60%
Antonio Davis,TOR,32,9-Jun,230,Texas-El Paso,USA,1990,2,45,78,13.7,10.1,1.4,4.8,9.70%,19.00%,19.40%,50.80%,6.20%
Antonio Harvey,POR,30,11-Jun,250,Pfeiffer,USA,Undrafted,Undrafted,Undrafted,12,2.6,1.2,0.3,-15.8,6.70%,11.50%,20.20%,50.60%,10.30%
Antonio McDyess,DEN,26,9-Jun,245,Alabama,USA,1995,1,2,70,20.8,12.1,2.1,0.4,9.30%,22.40%,26.60%,53.80%,10.60%
Art Long,SAC,28,9-Jun,240,Cincinnati,USA,Undrafted,Undrafted,Undrafted,9,0,0.9,0.1,-25.2,9.10%,21.40%,13.50%,0.00%,8.30%
Arvydas Sabonis,POR,36,3-Jul,292,None,Lithuania,1986,1,24,61,10.1,5.4,1.5,9.7,4.30%,21.40%,23.70%,52.70%,12.10%
Austin Croshere,IND,26,9-Jun,242,Providence,USA,1997,1,12,81,10.1,4.8,1.1,0.8,6.80%,14.10%,22.50%,51.20%,8.70%
Avery Johnson,SAS,36,11-May,180,Southern,USA,Undrafted,Undrafted,Undrafted,55,5.6,1.5,4.3,6.8,1.80%,4.80%,13.90%,47.50%,30.20%
Baron Davis,CHH,22,3-Jun,212,UCLA,USA,1999,1,3,82,13.8,5,7.3,4.6,4.00%,8.80%,18.80%,51.20%,31.90%
Ben Wallace,DET,26,9-Jun,240,Virginia Union,USA,Undrafted,Undrafted,Undrafted,80,6.4,13.2,1.5,0.5,10.30%,25.70%,10.30%,47.10%,6.70%
Bill Curley,GSW,29,-,,Boston College,USA,1994,1,22,20,3.2,1.9,0.2,-9.6,10.60%,9.00%,15.40%,56.90%,2.80%
Billy Owens,DET,32,-,,Syracuse,USA,1991,1,3,45,4.4,4.6,1.2,-1.5,9.20%,13.90%,14.60%,40.00%,10.80%
Bimbo Coles,CLE,33,2-Jun,182,Virginia Tech,USA,1990,2,40,47,4.9,1,2.9,-10.2,1.20%,5.20%,18.20%,44.00%,30.90%
