PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
A.J. Guyton,CHI,24,1-Jun,180,Indiana,USA,2000,2,32,45,5.4,1,1.8,-3.2,1.90%,5.70%,21.70%,47.70%,24.80%
Aaron McKie,PHI,29,5-Jun,209,Temple,USA,1994,1,17,48,12.2,4,3.7,3.6,1.80%,11.20%,19.50%,54.00%,22.00%
Aaron Williams,NJN,30,9-Jun,240,Xavier,USA,Undrafted,Undrafted,Undrafted,82,7.2,4.1,0.9,4.4,7.70%,14.20%,17.60%,56.80%,8.40%
Adonal Foyle,GSW,27,10-Jun,265,Colgate,St. Vincent &...,1997,1,8,79,4.8,4.9,0.5,-7.2,9.10%,15.30%,14.10%,44.50%,4.40%
Adrian Griffin,DAL,27,5-Jun,215,Seton Hall,USA,Undrafted,Undrafted,Undrafted,58,7.2,3.9,1.8,6,5.10%,11.60%,13.40%,54.50%,10.80%
Al Harrington,IND,22,9-Jun,250,None,USA,1998,1,25,44,13.1,6.3,1.2,-1.3,7.40%,13.40%,21.40%,52.60%,7.30%
Alan Henderson,ATL,29,9-Jun,240,Indiana,USA,1995,1,16,26,5.5,3.7,0.4,3.4,7.60%,15.10%,16.60%,52.70%,4.30%
Allan Houston,NYK,31,6-Jun,200,Tennessee,USA,1993,1,11,77,20.4,3.3,2.5,-5.8,1.30%,7.60%,25.10%,54.00%,12.30%
Allen Iverson,PHI,27,Jun-00,165,Georgetown,USA,1996,1,1,60,31.4,4.5,5.5,5.7,1.70%,8.40%,36.50%,48.90%,26.60%
Alonzo Mourning,MIA,32,10-Jun,261,Georgetown,USA,1992,1,2,75,15.7,8.4,1.2,2.1,8.00%,18.50%,23.80%,55.80%,6.70%
Alton Ford,PHX,21,9-Jun,275,Houston,USA,2001,2,50,53,3.1,2,0.1,-9.4,7.10%,16.80%,16.60%,57.30%,2.70%
Alvin Jones,PHI,23,11-Jun,265,Georgia Tech,USA,2001,2,56,23,1.1,1.6,0.1,-5,11.20%,20.70%,13.40%,45.10%,3.60%
Alvin Williams,TOR,27,5-Jun,185,Villanova,USA,1997,2,47,82,11.8,3.4,5.7,-0.3,1.90%,7.70%,18.10%,47.00%,26.20%
Amal McCaskill,SAS,28,11-Jun,245,Marquette,USA,1996,2,49,27,1.9,1.3,0.1,-19.4,9.90%,11.80%,20.30%,43.00%,5.10%
Andre Miller,CLE,26,2-Jun,200,Utah,USA,1999,1,8,81,16.5,4.7,10.9,-1.8,3.70%,9.20%,22.40%,53.80%,48.40%
Andrei Kirilenko,UTA,21,9-Jun,210,None,Russia,1999,1,24,82,10.7,4.9,1.1,8.3,7.30%,12.70%,18.70%,55.30%,7.30%
Andrew DeClercq,ORL,29,10-Jun,255,Florida,USA,1995,2,34,61,2.7,2.7,0.4,-0.2,11.10%,14.60%,13.80%,47.40%,5.50%
Anfernee Hardaway,PHX,30,7-Jun,215,Memphis,USA,1993,1,3,80,12,4.4,4.1,-1.2,3.90%,10.40%,21.30%,47.20%,21.10%
Ansu Sesay,SEA,25,9-Jun,225,Mississippi,USA,1998,2,30,9,6.4,2.2,0.9,-10.2,5.50%,10.40%,18.00%,54.90%,9.10%
Antawn Jamison,GSW,26,9-Jun,223,North Carolina,USA,1998,1,4,82,19.7,6.8,2,-6,6.30%,11.00%,23.40%,51.60%,9.30%
Anthony Carter,MIA,27,2-Jun,195,Hawaii,USA,Undrafted,Undrafted,Undrafted,46,4.3,2.5,4.7,-9.5,1.90%,9.60%,15.50%,35.90%,34.70%
Anthony Johnson,NJN,27,3-Jun,190,College of Charleston,USA,1997,2,39,34,2.8,0.9,1.4,2.8,2.90%,5.50%,15.20%,46.50%,22.30%
Anthony Mason,MIL,35,8-Jun,255,Tennessee State,USA,1988,3,53,82,9.6,7.9,4.2,0.3,4.30%,16.40%,12.50%,54.40%,16.20%
Anthony Peeler,MIN,32,4-Jun,208,Missouri,USA,1992,1,15,82,9,2.5,2.2,0.3,1.80%,8.30%,16.90%,51.90%,13.50%
Antoine Walker,BOS,25,9-Jun,245,Kentucky,USA,1996,1,6,81,22.1,8.8,5,3.3,4.30%,16.50%,27.40%,49.00%,22.40%
Antonio Daniels,SAS,27,4-Jun,205,Bowling Green,USA,1997,1,4,82,9.2,2.1,2.8,5.9,1.10%,6.80%,16.10%,53.40%,17.60%
Antonio Davis,TOR,33,9-Jun,230,Texas-El Paso,USA,1990,2,45,77,14.5,9.6,2,0.3,8.40%,16.70%,19.40%,49.70%,8.70%
Antonio Harvey,SEA,31,-,,Pfeiffer,USA,Undrafted,Undrafted,Undrafted,5,1.8,1.8,1,-14,9.80%,7.40%,14.50%,34.90%,14.30%
Antonio McDyess,DEN,27,9-Jun,245,Alabama,USA,1995,1,2,10,11.3,5.5,1.8,-13.6,8.40%,19.10%,20.70%,63.10%,13.60%
Antonis Fotsis,MEM,21,10-Jun,219,None,,2001,2,47,28,3.9,2.2,0.4,-5.7,8.00%,11.00%,18.40%,47.90%,5.70%
Art Long,SEA,29,9-Jun,253,Cincinnati,USA,Undrafted,Undrafted,Undrafted,63,4.5,4,0.7,0,11.40%,15.40%,16.00%,50.60%,6.30%
Austin Croshere,IND,27,10-Jun,242,Providence,USA,1997,1,12,76,6.8,3.9,1,1.4,5.80%,16.90%,19.30%,51.80%,10.40%
Avery Johnson,DAL,37,11-May,180,Southern,USA,Undrafted,Undrafted,Undrafted,68,7.9,1,4.2,-5.2,1.00%,4.10%,19.50%,53.10%,35.60%
Baron Davis,CHH,23,3-Jun,223,UCLA,USA,1999,1,3,82,18.1,4.3,8.5,2.5,2.80%,7.80%,23.30%,49.80%,36.40%
Ben Wallace,DET,27,9-Jun,240,Virginia Union,USA,Undrafted,Undrafted,Undrafted,80,7.6,13,1.4,2.6,11.50%,25.70%,10.40%,52.20%,6.20%
Bimbo Coles,CLE,34,2-Jun,182,Virginia Tech,USA,1990,2,40,47,3.2,1.2,2.3,-14.7,1.80%,6.60%,12.70%,45.90%,26.90%
Bo Outlaw,PHX,31,8-Jun,210,Houston,USA,Undrafted,Undrafted,Undrafted,83,4.5,4.4,1.5,2,7.80%,11.10%,10.10%,54.70%,9.70%
Bob Sura,GSW,29,5-Jun,200,Florida State,USA,1995,1,17,78,10,3.3,3.5,-4.9,4.70%,9.40%,20.50%,53.00%,26.30%
Bobby Jackson,SAC,29,1-Jun,185,Minnesota,USA,1997,1,23,81,11.1,3.1,2,8.6,4.40%,9.30%,22.60%,53.70%,15.70%
Bobby Simmons,WAS,22,6-Jun,235,DePaul,USA,2001,2,41,30,3.7,1.7,0.6,0.3,7.50%,8.50%,15.90%,51.80%,8.50%
Bonzi Wells,POR,25,5-Jun,213,Ball State,USA,1998,1,11,74,17,6,2.8,4.4,5.40%,14.50%,25.90%,53.80%,15.20%
Brad Miller,IND,26,Jul-00,261,Purdue,USA,Undrafted,Undrafted,Undrafted,76,13.6,8.2,2,-3.5,11.10%,17.00%,20.10%,57.20%,12.40%
Brandon Armstrong,NJN,22,5-Jun,188,Pepperdine,USA,2001,1,23,35,1.8,0.5,0.2,-9.5,4.50%,3.00%,21.50%,35.80%,7.90%
Brendan Haywood,WAS,22,Jul-00,266,North Carolina,USA,2001,1,20,62,5.1,5.2,0.5,-1.8,11.10%,13.70%,12.30%,54.00%,3.80%
Brent Barry,SEA,30,6-Jun,203,Oregon State,USA,1995,1,15,81,14.4,5.4,5.3,3.8,2.00%,13.00%,15.60%,65.20%,20.90%
Brent Price,SAC,33,1-Jun,185,Oklahoma,USA,1992,2,32,20,1.6,0.4,0.5,-18.5,3.70%,3.50%,17.80%,47.40%,16.40%
Brevin Knight,MEM,26,10-May,170,Stanford,USA,1997,1,16,53,7,2.1,5.7,-6.1,1.00%,8.70%,19.00%,48.20%,44.70%
Brian Cardinal,DET,25,8-Jun,245,Purdue,USA,2000,2,44,8,2.1,0.8,0.3,17.3,5.00%,8.50%,14.70%,61.20%,6.90%
Brian Grant,MIA,30,9-Jun,254,Xavier,USA,1994,1,8,72,9.3,8,1.9,-1.2,8.10%,18.90%,16.50%,50.80%,10.30%
Brian Scalabrine,NJN,24,9-Jun,240,Southern California,USA,2001,2,34,28,2.1,1.8,0.8,1.7,4.10%,14.70%,14.80%,40.80%,11.30%
PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Brian Shaw,LAL,36,6-Jun,200,California-Santa Barbara,USA,1988,1,24,58,2.9,1.9,1.5,8.4,2.80%,14.30%,15.00%,45.80%,20.70%
Brian Skinner,CLE,26,9-Jun,265,Baylor,USA,1998,1,22,65,3.4,4.3,0.3,-1.5,8.90%,16.70%,9.70%,56.90%,2.40%
Bruce Bowen,SAS,31,7-Jun,200,Cal State-Fullerton,USA,Undrafted,Undrafted,Undrafted,59,7,2.7,1.5,8.9,2.70%,7.00%,13.80%,46.80%,7.90%
Bruno Sundov,IND,22,2-Jul,246,None,Croatia,1998,2,35,22,1.5,1,0.1,2.5,7.40%,16.50%,21.30%,39.10%,5.80%
Bryant Stith,CLE,31,5-Jun,210,Virginia,USA,1992,1,13,50,4.2,1.7,0.8,-9.3,3.00%,10.10%,16.20%,49.30%,11.20%
Bryce Drew,CHH,27,3-Jun,184,Valparaiso,USA,1998,1,16,61,3.4,1.2,1.7,2.3,1.90%,7.50%,13.00%,53.90%,20.90%
Bryon Russell,UTA,31,7-Jun,225,Long Beach State,USA,1993,2,45,66,9.6,4.5,2.1,4.8,4.20%,12.00%,16.90%,49.30%,11.10%
Cal Bowdler,ATL,25,10-Jun,253,Old Dominion,USA,1999,1,17,52,3.1,2.1,0.2,0.3,6.70%,12.60%,15.60%,41.60%,3.00%
Calbert Cheaney,DEN,30,7-Jun,217,Indiana,USA,1993,1,6,68,7.3,3.5,1.6,-10.2,3.40%,11.60%,15.40%,49.90%,11.20%
Calvin Booth,SEA,26,11-Jun,231,Penn State,USA,1999,2,35,15,6.2,3.6,1.1,-7.1,7.10%,12.20%,17.60%,50.20%,9.20%
Carlos Arroyo,DEN,22,2-Jun,202,Florida International,Puerto Rico,Undrafted,Undrafted,Undrafted,37,3,1.1,1.9,-4.1,3.00%,7.80%,16.40%,46.70%,32.30%
Carlos Rogers,IND,31,11-Jun,232,Tennessee State,USA,1994,1,11,22,2.7,1.7,0.1,-6,8.60%,14.00%,15.30%,57.40%,3.00%
Cedric Henderson,GSW,27,7-Jun,225,Memphis,USA,1997,2,44,12,3,0.3,0.3,12.3,1.20%,2.80%,23.30%,52.80%,10.00%
Charles Oakley,CHI,38,9-Jun,245,Virginia Union,USA,1985,1,9,57,3.8,6,2,-12.4,5.20%,21.20%,12.10%,39.20%,13.40%
Charles Smith,SAS,26,4-Jun,194,New Mexico,USA,1997,1,26,60,7.4,2.2,1.3,-1.2,3.00%,8.70%,20.00%,48.30%,12.10%
Charlie Bell,DAL,23,3-Jun,200,Michigan State,,Undrafted,Undrafted,Undrafted,7,1.1,0.7,0.3,-21.2,5.30%,7.10%,17.00%,33.70%,7.40%
Charlie Ward,NYK,31,2-Jun,185,Florida State,USA,1994,1,26,63,5.2,2,3.2,-0.2,1.40%,10.40%,17.60%,49.60%,33.90%
Chauncey Billups,MIN,25,3-Jun,202,Colorado,USA,1997,1,3,82,12.5,2.8,5.5,3.6,1.50%,8.30%,20.10%,55.50%,29.60%
