PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Aaron Brooks,MIN,33,Jun-00,161,Oregon,USA,2007,1,26,32,2.3,0.5,0.6,-18.7,3.60%,5.70%,18.90%,50.80%,16.10%
Aaron Gordon,ORL,22,9-Jun,220,Arizona,USA,2014,1,4,58,17.6,7.9,2.3,-1.8,4.40%,19.10%,23.70%,53.00%,11.10%
Aaron Harrison,DAL,23,6-Jun,210,Kentucky,USA,Undrafted,Undrafted,Undrafted,9,6.7,2.7,1.2,-14.1,1.50%,9.10%,14.70%,39.20%,7.20%
Aaron Jackson,HOU,32,3-Jun,183,None,USA,Undrafted,Undrafted,Undrafted,1,8,3,1,-18.1,5.60%,3.10%,14.90%,40.50%,5.30%
Abdel Nader,BOS,24,6-Jun,230,Iowa State,Egypt,2016,2,58,48,3,1.5,0.5,-10.2,2.40%,11.10%,16.10%,43.90%,7.80%
Adreian Payne,ORL,27,10-Jun,237,Michigan State,USA,2014,1,15,5,4.2,1.8,0,-12.3,4.40%,22.60%,15.30%,83.10%,0.00%
Al Horford,BOS,32,10-Jun,245,Florida,Dominican Rep...,2007,1,3,72,12.9,7.4,4.7,7.5,4.70%,17.80%,18.20%,57.50%,22.50%
Al Jefferson,IND,33,10-Jun,280,None,USA,2004,1,15,36,7,4,0.8,-1.5,6.10%,22.70%,21.60%,56.30%,9.80%
Al-Farouq Aminu,POR,27,9-Jun,220,Wake Forest,USA,2010,1,8,69,9.3,7.6,1.2,5,4.50%,19.80%,14.30%,52.20%,5.60%
Alan Williams,PHX,25,8-Jun,265,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,5,4,4.4,1.6,0.1,3.90%,26.00%,18.10%,45.50%,19.50%
Alec Burks,UTA,26,6-Jun,214,Colorado,USA,2011,1,12,64,7.7,3,1,-1.1,1.90%,16.80%,21.80%,52.70%,10.40%
Alec Peters,PHX,23,9-Jun,235,Valparaiso,USA,2017,2,54,20,4.1,1.9,0.6,8.1,3.20%,12.00%,15.10%,52.30%,7.30%
Alex Abrines,OKC,24,6-Jun,190,None,Spain,2013,2,32,75,4.7,1.5,0.4,1.3,2.10%,7.90%,12.40%,56.70%,3.60%
Alex Caruso,LAL,24,5-Jun,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,37,3.6,1.8,2,-0.2,2.60%,8.60%,12.60%,51.90%,18.50%
Alex Len,PHX,25,1-Jul,250,Maryland,Ukraine,2013,1,5,69,8.5,7.5,1.2,-8.2,11.60%,22.80%,16.30%,61.20%,9.30%
Alex Poythress,IND,24,9-Jun,235,Kentucky,USA,Undrafted,Undrafted,Undrafted,25,1,0.7,0.1,-13.3,6.10%,10.20%,11.10%,50.00%,2.60%
Alfonzo McKinnie,TOR,25,8-Jun,215,None,USA,Undrafted,Undrafted,Undrafted,14,1.5,0.5,0.1,-12.2,2.20%,9.80%,15.70%,64.30%,2.70%
Allen Crabbe,BKN,26,6-Jun,215,California,USA,2013,2,31,75,13.2,4.3,1.6,-1.7,1.20%,13.00%,18.20%,55.80%,8.20%
Amir Johnson,PHI,31,9-Jun,240,None,USA,2005,2,56,74,4.6,4.5,1.6,1.4,10.20%,16.90%,12.20%,57.50%,13.70%
Andre Drummond,DET,24,11-Jun,279,Connecticut,USA,2012,1,9,78,15,16,3,-0.7,14.50%,32.90%,20.60%,55.50%,14.00%
Andre Iguodala,GSW,34,6-Jun,215,Arizona,USA,2004,1,9,64,6,3.8,3.3,7.9,3.30%,10.90%,11.10%,53.60%,16.90%
Andre Ingram,LAL,32,3-Jun,190,American,USA,Undrafted,Undrafted,Undrafted,2,12,3,3.5,15.4,1.60%,7.20%,13.60%,65.50%,14.90%
Andre Roberson,OKC,26,7-Jun,210,Colorado,USA,2013,1,26,39,5,4.7,1.2,8.2,6.80%,10.90%,8.40%,54.30%,5.90%
Andrew Bogut,LAL,33,Jul-00,260,Utah,Australia,2005,1,1,24,1.5,3.3,0.6,-4.4,10.40%,22.30%,8.40%,69.60%,9.90%
Andrew Harrison,MEM,23,6-Jun,213,Kentucky,USA,2015,2,44,56,9.5,2.3,3.2,-7.3,1.70%,8.50%,19.30%,53.40%,22.20%
Andrew White III,ATL,25,7-Jun,210,Syracuse,USA,Undrafted,Undrafted,Undrafted,15,4.6,2.3,0.4,-18.7,1.60%,13.30%,15.80%,46.10%,5.00%
Andrew Wiggins,MIN,23,8-Jun,202,Kansas,Canada,2014,1,1,82,17.7,4.4,2,3.5,2.80%,9.40%,22.70%,50.50%,8.00%
Ante Zizic,CLE,21,11-Jun,250,None,Croatia,2016,1,23,32,3.7,1.9,0.2,-9.2,11.20%,17.90%,17.00%,74.60%,3.90%
Anthony Brown,MIN,25,7-Jun,224,Stanford,USA,2015,2,34,1,3,0,1,30,0.00%,0.00%,10.00%,150.00%,33.30%
Anthony Davis,NOP,25,10-Jun,253,Kentucky,USA,2012,1,1,75,28.1,11.1,2.3,5.3,7.00%,21.30%,29.00%,61.20%,10.40%
Anthony Tolliver,DET,33,8-Jun,240,Creighton,USA,Undrafted,Undrafted,Undrafted,79,8.9,3.1,1.1,1,2.70%,10.90%,14.30%,66.30%,7.60%
Antonio Blakeney,CHI,21,4-Jun,197,Louisiana State,USA,Undrafted,Undrafted,Undrafted,19,7.9,1.7,1.1,-1.7,1.10%,8.90%,22.40%,47.10%,9.60%
Antonius Cleveland,ATL,24,6-Jun,195,Southeast Missouri State,USA,Undrafted,Undrafted,Undrafted,17,1.4,0.8,0.1,-16.5,2.20%,8.50%,10.40%,48.60%,2.50%
Aron Baynes,BOS,31,10-Jun,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,81,6,5.4,1.1,6,8.60%,19.60%,16.30%,50.20%,9.50%
Arron Afflalo,ORL,32,5-Jun,210,UCLA,USA,2007,1,27,53,3.4,1.2,0.6,-7.1,0.60%,8.20%,12.50%,51.60%,6.60%
Austin Rivers,LAC,25,4-Jun,200,Duke,USA,2012,1,10,61,15.1,2.4,4,-1.5,1.30%,5.80%,20.40%,52.60%,17.90%
Avery Bradley,LAC,27,2-Jun,180,Texas,USA,2010,1,19,46,14.3,2.5,2,-4.1,1.40%,6.80%,22.80%,49.60%,10.50%
Bam Adebayo,MIA,20,10-Jun,255,Kentucky,USA,2017,1,14,69,6.9,5.5,1.5,-1.2,8.60%,19.40%,15.50%,57.00%,11.50%
Ben McLemore,MEM,25,5-Jun,195,Kansas,USA,2013,1,7,56,7.5,2.5,0.9,-13.8,3.00%,10.10%,18.00%,52.60%,7.80%
Ben Moore,IND,23,8-Jun,220,Southern Methodist,USA,Undrafted,Undrafted,Undrafted,2,0,0.5,0.5,-79.8,0.00%,16.70%,0.00%,0.00%,11.10%
Ben Simmons,PHI,21,10-Jun,230,Louisiana State,Australia,2016,1,1,81,15.8,8.1,8.2,6.6,5.30%,17.10%,21.70%,55.70%,36.20%
Bismack Biyombo,ORL,25,9-Jun,255,None,Democratic Re...,2011,1,7,82,5.7,5.7,0.8,-14.1,9.10%,20.90%,14.40%,55.60%,7.00%
Blake Griffin,DET,29,10-Jun,251,Oklahoma,USA,2009,1,1,58,21.4,7.4,5.8,1.7,3.60%,17.50%,28.30%,54.40%,28.60%
Boban Marjanovic,LAC,29,3-Jul,290,None,Serbia,Undrafted,Undrafted,Undrafted,39,6,3.7,0.6,7.4,15.10%,27.40%,27.50%,61.60%,10.00%
Bobby Brown,HOU,33,2-Jun,175,Cal State-Fullerton,USA,Undrafted,Undrafted,Undrafted,20,2.5,0.4,0.6,-23,0.00%,6.10%,25.10%,42.50%,19.00%
Bobby Portis,CHI,23,11-Jun,248,Arkansas,USA,2015,1,22,73,13.2,6.8,1.7,-2.8,8.90%,20.70%,24.70%,54.80%,12.60%
Bogdan Bogdanovic,SAC,25,6-Jun,205,None,Serbia,2014,1,27,78,11.8,2.9,3.3,-8.4,1.40%,9.40%,19.10%,55.60%,18.30%
Bojan Bogdanovic,IND,29,8-Jun,230,None,Croatia,2011,2,31,80,14.3,3.4,1.5,1.5,1.20%,9.70%,18.40%,60.50%,7.10%
Bradley Beal,WAS,25,5-Jun,207,Florida,USA,2012,1,3,82,22.6,4.4,4.5,2.7,2.10%,10.10%,26.70%,56.40%,20.60%
Brandan Wright,HOU,30,10-Jun,235,North Carolina,USA,2007,1,8,28,5,3.4,0.5,4.3,8.60%,16.10%,13.70%,59.60%,5.60%
PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Brandon Ingram,LAL,20,9-Jun,190,Duke,USA,2016,1,2,59,16.1,5.3,3.9,-2.6,2.70%,12.10%,21.70%,53.60%,17.70%
Brandon Jennings,MIL,28,1-Jun,170,None,USA,2009,1,10,14,5.2,2.2,3.1,-12.9,2.20%,13.10%,18.90%,47.80%,33.10%
Brandon Paul,SAS,27,4-Jun,200,None,,Undrafted,Undrafted,Undrafted,64,2.3,1.1,0.6,-0.3,1.10%,10.90%,12.90%,50.40%,9.60%
Briante Weber,MEM,25,2-Jun,165,Virginia Commonwealth,USA,Undrafted,Undrafted,Undrafted,18,2.8,1.9,1.2,-21.6,3.00%,13.00%,10.90%,52.70%,13.90%
Brice Johnson,MEM,24,10-Jun,230,North Carolina,USA,2016,1,25,18,2.4,1.7,0.1,-2.3,8.00%,22.70%,19.10%,48.60%,3.00%
Brook Lopez,LAL,30,Jul-00,268,Stanford,USA,2008,1,10,74,13,4,1.7,-2.2,4.10%,12.00%,22.80%,55.70%,11.30%
Bruno Caboclo,SAC,22,9-Jun,205,None,Brazil,2014,1,20,12,2.2,1.8,0.3,2.9,6.20%,14.60%,15.20%,38.60%,5.60%
Bryn Forbes,SAS,24,3-Jun,190,Michigan State,USA,Undrafted,Undrafted,Undrafted,80,6.9,1.4,1,3.1,0.80%,6.50%,15.70%,52.50%,7.70%
Buddy Hield,SAC,25,4-Jun,214,Oklahoma,Bahamas,2016,1,6,80,13.5,3.8,1.9,-4.3,2.70%,12.90%,23.40%,55.70%,12.70%
C.J. Williams,LAC,28,5-Jun,230,North Carolina State,USA,Undrafted,Undrafted,Undrafted,38,5.5,1.5,1.1,-1.5,1.70%,5.80%,13.20%,51.20%,8.60%
CJ McCollum,POR,26,3-Jun,190,Lehigh,USA,2013,1,10,81,21.4,4,3.4,1.5,1.70%,8.90%,25.70%,53.60%,15.60%
CJ Miles,TOR,31,6-Jun,225,None,USA,2005,2,34,70,10,2.2,0.8,8.8,1.30%,9.70%,21.20%,54.50%,6.10%
Caleb Swanigan,POR,21,8-Jun,250,Purdue,USA,2017,1,26,27,2.3,2,0.5,-4,7.50%,20.70%,18.40%,44.90%,12.40%
Cameron Payne,CHI,23,3-Jun,185,Murray State,USA,2015,1,14,25,8.8,2.8,4.5,-7.8,2.70%,8.90%,18.20%,49.80%,29.40%
Caris LeVert,BKN,23,7-Jun,203,Michigan,USA,2016,1,20,71,12.1,3.7,4.2,-6.6,2.60%,10.40%,21.40%,52.50%,26.50%
