PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Aaron Brooks,CHI,31,Jun-00,161,Oregon,USA,2007,1,26,69,7.1,1.5,2.6,-0.2,1.80%,6.80%,22.30%,49.40%,26.50%
Aaron Gordon,ORL,20,9-Jun,220,Arizona,USA,2014,1,4,78,9.2,6.5,1.6,-1.7,8.00%,18.90%,16.70%,54.10%,10.30%
Aaron Harrison,CHA,21,6-Jun,210,Kentucky,USA,Undrafted,Undrafted,Undrafted,21,0.9,0.7,0.1,-2.4,4.50%,11.20%,13.10%,37.10%,3.30%
Adreian Payne,MIN,25,10-Jun,237,Michigan State,USA,2014,1,15,52,2.5,2.1,0.6,-11.9,4.40%,19.80%,17.30%,42.20%,9.30%
Al Horford,ATL,30,10-Jun,245,Florida,Dominican Rep...,2007,1,3,82,15.2,7.3,3.2,4,5.60%,15.80%,20.00%,56.50%,16.50%
Al Jefferson,CHA,31,10-Jun,289,None,USA,2004,1,15,47,12,6.4,1.5,2.1,5.00%,21.60%,23.80%,50.70%,11.40%
Al-Farouq Aminu,POR,25,9-Jun,215,Wake Forest,USA,2010,1,8,82,10.2,6.1,1.7,1.1,4.10%,16.80%,16.40%,53.30%,8.70%
Alan Anderson,WAS,33,6-Jun,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,13,5,2.1,1.1,7.2,0.50%,13.10%,15.00%,49.50%,11.20%
Alan Williams,PHX,23,8-Jun,260,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,10,2.9,3.8,0.5,-0.7,16.50%,34.80%,19.00%,48.10%,9.60%
Alec Burks,UTA,24,6-Jun,214,Colorado,USA,2011,1,12,31,13.3,3.5,2,0.8,1.90%,12.10%,24.50%,52.00%,14.00%
Alex Len,PHX,23,1-Jul,260,Maryland,Ukraine,2013,1,5,78,9,7.6,1.2,-7.6,9.10%,22.30%,20.00%,48.20%,8.70%
Alex Stepheson,MEM,28,10-Jun,270,USC,USA,Undrafted,Undrafted,Undrafted,8,2.8,3.5,0.3,-0.1,17.60%,10.80%,16.60%,34.10%,5.30%
Alexis Ajinca,NOP,28,2-Jul,248,None,France,2008,1,20,59,6,4.6,0.5,-2.8,8.50%,22.70%,19.90%,51.40%,5.90%
Allen Crabbe,POR,24,6-Jun,210,California,USA,2013,2,31,81,10.3,2.7,1.2,1.1,1.20%,8.60%,15.70%,57.20%,7.20%
Alonzo Gee,NOP,29,6-Jun,225,Alabama,USA,Undrafted,Undrafted,Undrafted,73,4.5,3.4,1,-4.8,3.50%,11.10%,9.00%,57.20%,6.30%
Amar'e Stoudemire,MIA,33,10-Jun,245,None,USA,2002,1,9,52,5.8,4.3,0.5,0.5,9.20%,20.60%,17.40%,59.90%,5.40%
Amir Johnson,BOS,29,9-Jun,240,None,USA,2005,2,56,79,7.3,6.4,1.7,3.9,9.20%,17.30%,13.40%,60.20%,11.00%
Anderson Varejao,GSW,33,11-Jun,273,None,Brazil,2004,2,30,53,2.6,2.7,0.7,2.6,6.80%,20.40%,14.20%,47.30%,10.20%
Andre Drummond,DET,22,11-Jun,279,Connecticut,USA,2012,1,9,81,16.2,14.8,0.8,2.2,13.50%,30.90%,23.70%,49.90%,4.20%
Andre Iguodala,GSW,32,6-Jun,215,Arizona,USA,2004,1,9,65,7,4,3.4,13.2,3.10%,11.00%,11.70%,56.50%,16.50%
Andre Miller,SAS,40,3-Jun,200,Utah,USA,1999,1,8,39,3.7,1.3,2.2,2.6,3.10%,8.70%,15.60%,60.00%,27.60%
Andre Roberson,OKC,24,7-Jun,210,Colorado,USA,2013,1,26,70,4.8,3.6,0.7,8.4,5.30%,10.20%,9.10%,56.60%,3.90%
Andrea Bargnani,BKN,30,Jul-00,245,None,Italy,2006,1,1,46,6.6,2.1,0.4,-14.2,4.20%,11.70%,22.50%,50.00%,5.10%
Andrew Bogut,GSW,31,Jul-00,260,Utah,Australia,2005,1,1,70,5.4,7,2.3,13.9,8.60%,22.90%,11.40%,62.30%,14.50%
Andrew Goudelock,HOU,27,3-Jun,200,College of Charleston,USA,2011,2,46,8,2.8,0.3,0.5,7.3,2.10%,1.30%,23.20%,50.60%,11.80%
Andrew Nicholson,ORL,26,9-Jun,250,St. Bonaventure,Canada,2012,1,19,56,6.9,3.6,0.4,3.3,4.10%,19.10%,20.40%,56.70%,5.00%
Andrew Wiggins,MIN,21,8-Jun,199,Kansas,Canada,2014,1,1,81,20.7,3.6,2,-1,3.90%,6.60%,26.60%,54.30%,9.80%
Anthony Bennett,TOR,23,8-Jun,245,Nevada-Las Vegas,Canada,2013,1,1,19,1.5,1.2,0,-20,5.90%,26.20%,16.40%,44.60%,0.00%
Anthony Brown,LAL,23,7-Jun,210,Stanford,USA,2015,2,34,29,4,2.4,0.7,-2,1.40%,10.10%,10.80%,42.70%,4.80%
Anthony Davis,NOP,23,10-Jun,253,Kentucky,USA,2012,1,1,61,24.3,10.3,1.9,-3.9,5.90%,23.40%,28.90%,55.90%,10.00%
Anthony Morrow,OKC,30,5-Jun,210,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,68,5.6,0.9,0.4,5.5,1.10%,5.40%,16.60%,54.30%,3.70%
Anthony Tolliver,DET,31,8-Jun,240,Creighton,USA,Undrafted,Undrafted,Undrafted,72,5.3,3.2,0.7,0.4,2.60%,14.30%,12.20%,54.30%,5.80%
Archie Goodwin,PHX,21,5-Jun,200,Kentucky,USA,2013,1,29,57,8.9,2.5,2.1,-8.9,2.30%,10.40%,22.60%,49.80%,17.40%
Aron Baynes,DET,29,10-Jun,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,81,6.3,4.7,0.6,-2.6,10.60%,20.20%,18.20%,56.30%,7.00%
Arron Afflalo,NYK,30,5-Jun,210,UCLA,USA,2007,1,27,71,12.8,3.7,2,-3.3,1.00%,9.80%,17.70%,53.10%,9.70%
Austin Rivers,LAC,23,4-Jun,200,Duke,USA,2012,1,10,67,8.9,1.9,1.5,-5.1,1.50%,7.00%,18.50%,52.30%,11.60%
Avery Bradley,BOS,25,2-Jun,180,Texas,USA,2010,1,19,76,15.2,2.9,2.1,4.4,1.80%,6.50%,19.60%,53.80%,9.50%
Axel Toupane,DEN,23,7-Jun,210,None,France,Undrafted,Undrafted,Undrafted,21,3.6,1.5,0.7,-3.3,2.80%,7.60%,12.10%,49.00%,6.80%
Ben McLemore,SAC,23,5-Jun,195,Kansas,USA,2013,1,7,68,7.8,2.2,1.2,1.1,2.30%,7.60%,17.00%,53.10%,7.60%
Beno Udrih,MEM,33,3-Jun,205,None,Slovenia,2004,1,28,44,4.7,1.6,2.6,-2.2,1.20%,9.10%,16.50%,49.60%,25.60%
Bismack Biyombo,TOR,23,9-Jun,245,None,Democratic Re...,2011,1,7,82,5.5,8,0.4,2.5,10.00%,24.90%,11.30%,58.60%,2.50%
Blake Griffin,LAC,27,10-Jun,251,Oklahoma,USA,2009,1,1,35,21.4,8.4,4.9,7.5,4.40%,19.60%,28.80%,54.40%,25.80%
Boban Marjanovic,SAS,27,3-Jul,290,None,Serbia,Undrafted,Undrafted,Undrafted,54,5.5,3.6,0.4,4.1,15.40%,24.60%,21.80%,66.20%,7.20%
Bobby Portis,CHI,21,11-Jun,230,Arkansas,USA,2015,1,22,62,7,5.4,0.8,-7.8,10.10%,18.60%,20.00%,46.90%,7.60%
Bojan Bogdanovic,BKN,27,8-Jun,216,None,Croatia,2011,2,31,79,11.2,3.2,1.3,-9.1,1.70%,10.50%,18.90%,55.00%,7.30%
Boris Diaw,SAS,34,8-Jun,250,None,France,2003,1,21,76,6.4,3.1,2.3,10,4.50%,12.40%,16.20%,58.20%,18.20%
Bradley Beal,WAS,23,5-Jun,207,Florida,USA,2012,1,3,55,17.4,3.4,2.9,-0.3,2.40%,8.80%,24.30%,54.70%,15.30%
Brandan Wright,MEM,28,10-Jun,210,North Carolina,USA,2007,1,8,12,6.9,3.6,0.5,-12,6.60%,13.40%,14.90%,66.30%,5.00%
Branden Dawson,LAC,23,6-Jun,225,Michigan State,USA,2015,2,56,6,0.8,0.7,0,-29.5,9.10%,6.30%,7.80%,46.00%,0.00%
Brandon Bass,LAL,31,8-Jun,250,Louisiana State,USA,2005,2,33,66,7.2,4.3,1.1,-0.7,7.40%,13.60%,13.50%,61.90%,8.80%
PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Brandon Jennings,ORL,26,1-Jun,169,None,USA,2009,1,10,48,6.9,2,3.5,0.4,1.70%,9.20%,19.10%,49.10%,29.80%
Brandon Knight,PHX,24,3-Jun,189,Kentucky,USA,2011,1,8,52,19.6,3.9,5.1,-5.2,1.80%,9.00%,25.80%,52.20%,23.40%
Brandon Rush,GSW,30,6-Jun,220,Kansas,USA,2008,1,13,72,4.2,2.5,0.8,-0.9,2.10%,14.00%,12.40%,56.00%,7.20%
Brian Roberts,POR,30,1-Jun,173,Dayton,USA,Undrafted,Undrafted,Undrafted,51,4,0.8,1.1,-6.8,1.20%,7.50%,18.70%,55.20%,20.50%
Briante Weber,MIA,23,2-Jun,165,Virginia Commonwealth,USA,Undrafted,Undrafted,Undrafted,7,4.4,3.6,3,-20.4,3.70%,11.50%,11.70%,38.00%,17.50%
Brook Lopez,BKN,28,Jul-00,275,Stanford,USA,2008,1,10,73,20.6,7.8,2,-1.7,8.60%,15.30%,27.10%,56.20%,10.60%
Bruno Caboclo,TOR,20,9-Jun,205,None,Brazil,2014,1,20,6,0.5,0.3,0.2,-13.1,2.00%,2.10%,15.20%,12.50%,3.30%
Bryce Cotton,MEM,23,1-Jun,165,Providence,USA,Undrafted,Undrafted,Undrafted,8,1,0,0.4,-26.9,0.00%,0.00%,16.90%,40.00%,13.60%
Bryce Dejean-Jones,NOP,23,6-Jun,203,Iowa State,USA,Undrafted,Undrafted,Undrafted,14,5.6,3.4,1.1,-6.9,2.50%,15.70%,13.80%,50.50%,7.60%
C.J. Watson,ORL,32,2-Jun,175,Tennessee,USA,Undrafted,Undrafted,Undrafted,33,4.3,2,2.7,-3.3,1.50%,8.40%,11.60%,46.10%,18.00%
CJ McCollum,POR,24,4-Jun,200,Lehigh,USA,2013,1,10,80,20.8,3.2,4.3,2.5,1.60%,7.50%,26.40%,54.40%,21.10%
CJ Miles,IND,29,6-Jun,231,None,USA,2005,2,34,64,11.8,2.7,1,0.1,1.70%,9.90%,21.90%,54.70%,6.90%
CJ Wilcox,LAC,25,5-Jun,195,Washington,USA,2014,1,28,23,3,0.5,0.4,6.3,0.60%,5.70%,18.90%,49.10%,9.00%
Cameron Bairstow,DET,25,9-Jun,250,New Mexico,Australia,2014,2,49,18,1.9,1.6,0.3,-3.6,3.40%,20.30%,19.40%,39.10%,9.10%
Cameron Payne,OKC,21,3-Jun,185,Murray State,USA,2015,1,14,57,5,1.5,1.9,-1.9,1.20%,10.80%,19.70%,49.00%,24.10%
Carl Landry,PHI,32,9-Jun,248,Purdue,USA,2007,2,31,36,9.8,4.1,0.9,-9.3,8.10%,17.80%,23.40%,60.50%,10.20%
Carmelo Anthony,NYK,32,8-Jun,240,Syracuse,USA,2003,1,3,72,21.8,7.7,4.2,-0.7,3.90%,17.30%,29.10%,53.00%,20.90%
Caron Butler,SAC,36,7-Jun,228,Connecticut,USA,2002,1,10,17,3.7,1.3,0.6,-11.9,2.50%,9.80%,15.70%,49.00%,9.90%
Chandler Parsons,DAL,27,10-Jun,230,Florida,USA,2011,2,38,61,13.7,4.7,2.8,0.1,1.70%,14.10%,20.20%,58.90%,15.80%
Channing Frye,CLE,33,11-Jun,255,Arizona,USA,2005,1,8,70,6.1,3.3,1,4.6,3.00%,17.20%,15.20%,58.60%,8.60%
