PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
A.J. Guyton,GSW,25,1-Jun,180,Indiana,USA,2000,2,32,2,0,0,1,-12.5,0.00%,0.00%,26.30%,0.00%,40.00%
Aaron McKie,PHI,30,5-Jun,209,Temple,USA,1994,1,17,80,9,4.4,3.5,4.7,2.60%,12.80%,15.40%,49.70%,18.50%
Aaron Williams,NJN,31,9-Jun,240,Xavier,USA,Undrafted,Undrafted,Undrafted,81,6.2,4.1,1.1,2.2,8.70%,11.90%,16.10%,50.40%,9.20%
Adam Harrington,DEN,22,5-Jun,200,Auburn,USA,Undrafted,Undrafted,Undrafted,19,1.6,0.4,0.6,-11.8,0.80%,7.10%,16.30%,38.70%,17.60%
Adonal Foyle,GSW,28,10-Jun,265,Colgate,St. Vincent &...,1997,1,8,82,5.4,6,0.5,1.8,9.80%,16.10%,11.00%,56.30%,3.20%
Adrian Griffin,DAL,28,5-Jun,230,Seton Hall,USA,Undrafted,Undrafted,Undrafted,74,4.4,3.6,1.4,7.1,6.30%,12.90%,12.80%,46.30%,11.10%
Al Harrington,IND,23,9-Jun,250,None,USA,1998,1,25,82,12.2,6.2,1.5,3.5,6.60%,14.40%,21.40%,49.30%,8.90%
Alan Henderson,ATL,30,9-Jun,240,Indiana,USA,1995,1,16,82,4.8,4.9,0.5,-7.5,10.50%,15.70%,13.00%,50.80%,4.60%
Allan Houston,NYK,32,6-Jun,200,Tennessee,USA,1993,1,11,82,22.5,2.8,2.7,-0.2,0.80%,7.00%,26.10%,56.30%,12.90%
Allen Iverson,PHI,28,Jun-00,165,Georgetown,USA,1996,1,1,82,27.6,4.2,5.5,2.9,2.00%,8.50%,32.30%,50.00%,24.80%
Alton Ford,PHX,22,9-Jun,280,Houston,USA,2001,2,50,11,0.6,0.5,0.1,-9.5,0.00%,19.40%,17.10%,33.90%,7.10%
Alvin Williams,TOR,28,5-Jun,185,Villanova,USA,1997,2,47,78,13.2,3.1,5.3,-5,2.00%,7.70%,19.20%,50.80%,26.60%
Amal McCaskill,ATL,29,11-Jun,245,Marquette,USA,1996,2,49,11,1,2,0.5,-14.3,9.00%,20.50%,12.70%,29.30%,11.90%
Amar'e Stoudemire,PHX,20,10-Jun,245,None,USA,2002,1,9,82,13.5,8.8,1,0.8,9.60%,18.20%,21.00%,53.00%,5.00%
Andre Miller,LAC,27,2-Jun,200,Utah,USA,1999,1,8,80,13.6,4,6.7,-4.6,2.90%,7.90%,19.80%,49.50%,30.90%
Andrei Kirilenko,UTA,22,9-Jun,225,None,Russia,1999,1,24,80,12,5.3,1.7,2.5,7.30%,12.80%,18.80%,59.80%,11.00%
Andrew DeClercq,ORL,30,10-Jun,255,Florida,USA,1995,2,34,77,4.7,4.4,0.7,4.7,10.60%,15.50%,13.40%,56.20%,6.10%
Anfernee Hardaway,PHX,31,7-Jun,215,Memphis,USA,1993,1,3,58,10.6,4.4,4.1,0.9,3.80%,10.80%,18.90%,49.90%,21.00%
Ansu Sesay,SEA,26,9-Jun,225,Mississippi,USA,1998,2,30,45,2.1,1.6,0.5,-10.3,7.00%,8.30%,13.90%,40.40%,9.70%
Antawn Jamison,GSW,27,9-Jun,223,North Carolina,USA,1998,1,4,82,22.2,7,1.9,-1.9,5.70%,11.30%,24.10%,54.20%,8.50%
Anthony Carter,MIA,28,2-Jun,195,Hawaii,USA,Undrafted,Undrafted,Undrafted,49,4.1,1.7,4.1,-7.7,1.30%,8.10%,16.70%,39.00%,36.60%
Anthony Goldwire,WAS,31,2-Jun,182,Houston,USA,1994,2,52,15,1.7,0.4,0.3,-27.3,0.00%,6.70%,16.80%,44.50%,10.00%
Anthony Johnson,NJN,28,3-Jun,190,College of Charleston,USA,1997,2,39,66,4.1,1.2,1.3,0.4,1.60%,7.80%,16.40%,51.20%,18.30%
Anthony Mason,MIL,36,8-Jun,255,Tennessee State,USA,1988,3,53,65,7.2,6.4,3.2,-3.6,4.50%,16.20%,11.50%,52.40%,15.00%
