PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Aaron McKie,PHI,31,5-Jun,209,Temple,USA,1994,1,17,75,9.2,3.4,2.6,-1.3,2.20%,10.20%,15.80%,55.00%,16.90%
Aaron Williams,NJN,32,9-Jun,240,Xavier,USA,Undrafted,Undrafted,Undrafted,72,6.3,4.1,1.1,-1.2,7.80%,15.10%,17.00%,54.90%,10.90%
Adonal Foyle,GSW,29,10-Jun,265,Colgate,St. Vincent &...,1997,1,8,44,3.1,3.8,0.4,-7.2,9.40%,19.70%,13.00%,47.10%,5.00%
Adrian Griffin,HOU,29,5-Jun,230,Seton Hall,USA,Undrafted,Undrafted,Undrafted,19,0.6,1,0.5,-16.8,0.90%,14.30%,8.50%,27.80%,13.20%
Al Harrington,IND,24,9-Jun,250,None,USA,1998,1,25,79,13.3,6.4,1.7,1.5,7.00%,15.50%,22.40%,51.40%,10.70%
Alan Henderson,ATL,31,9-Jun,240,Indiana,USA,1995,1,16,6,4,3.5,0.3,-23,18.30%,14.10%,18.00%,50.80%,5.60%
Alex Garcia,SAS,24,3-Jun,195,None,USA,Undrafted,Undrafted,Undrafted,2,1.5,0,0,8.6,0.00%,0.00%,26.50%,19.00%,0.00%
Allan Houston,NYK,33,6-Jun,200,Tennessee,USA,1993,1,11,50,18.5,2.4,2,-0.6,1.20%,5.60%,24.30%,53.90%,10.10%
Allen Iverson,PHI,29,Jun-00,165,Georgetown,USA,1996,1,1,48,26.4,3.7,6.8,-2.4,1.70%,6.90%,33.80%,47.80%,32.50%
Alonzo Mourning,NJN,34,10-Jun,261,Georgetown,USA,1992,1,2,12,8,2.3,0.7,-5.1,3.80%,8.40%,20.00%,55.80%,7.30%
Alton Ford,HOU,23,9-Jun,280,Houston,USA,2001,2,50,9,1.7,1.2,0.3,4.8,7.30%,21.10%,17.80%,55.00%,15.80%
Alvin Williams,TOR,29,5-Jun,185,Villanova,USA,1997,2,47,56,8.8,2.7,4,-6.1,1.10%,7.80%,16.70%,46.30%,23.70%
Amal McCaskill,PHI,30,11-Jun,235,Marquette,USA,1996,2,49,59,1.9,2.3,0.3,-3.8,8.00%,13.50%,11.10%,43.80%,5.50%
