PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
AJ Price,IND,25,2-Jun,185,Connecticut,USA,2009,2,52,44,3.9,1.4,2,1.8,2.10%,9.20%,16.90%,45.40%,26.40%
Aaron Gray,TOR,27,Jul-00,270,Pittsburgh,USA,2007,2,49,49,3.9,5.7,0.6,-10,10.50%,26.50%,13.30%,52.60%,5.50%
Al Harrington,DEN,32,9-Jun,250,None,USA,1998,1,25,64,14.2,6.1,1.4,5.2,4.20%,18.10%,24.00%,53.50%,8.30%
Al Horford,ATL,26,10-Jun,250,Florida,Dominican Rep...,2007,1,3,11,12.4,7,2.2,8.1,7.70%,15.60%,17.30%,58.50%,11.30%
Al Jefferson,UTA,27,10-Jun,289,None,USA,2004,1,15,61,19.2,9.6,2.2,4.2,6.70%,22.30%,25.70%,52.00%,11.30%
Al-Farouq Aminu,NOH,21,9-Jun,215,Wake Forest,USA,2010,1,8,66,6,4.7,1,0,7.00%,14.80%,15.80%,48.10%,7.40%
Alan Anderson,TOR,29,6-Jun,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,17,9.6,2,1.5,-2.6,1.80%,5.70%,18.50%,51.90%,10.00%
Alec Burks,UTA,20,6-Jun,202,Colorado,USA,2011,1,12,59,7.2,2.2,0.9,-1.9,5.90%,8.10%,21.00%,50.60%,10.00%
Alonzo Gee,CLE,25,6-Jun,219,Alabama,USA,Undrafted,Undrafted,Undrafted,63,10.6,5.1,1.8,-5.7,5.30%,12.30%,18.30%,51.60%,10.90%
Amar'e Stoudemire,NYK,29,11-Jun,260,None,USA,2002,1,9,47,17.5,7.8,1.1,-1.3,6.90%,17.60%,24.70%,54.10%,6.30%
Amir Johnson,TOR,25,9-Jun,210,None,USA,2005,2,56,64,7.1,6.4,1.2,1.1,10.20%,16.60%,14.00%,60.00%,8.50%
Anderson Varejao,CLE,29,11-Jun,260,None,Brazil,2004,2,30,25,10.8,11.5,1.7,-1,13.50%,24.10%,16.20%,54.20%,8.60%
Andray Blatche,WAS,25,11-Jun,260,None,USA,2005,2,49,26,8.5,5.8,1.1,-11.8,6.20%,19.60%,21.30%,41.50%,7.60%
Andre Emmett,NJN,29,5-Jun,230,Texas Tech,,2004,2,35,6,2.2,1,0.2,-8,6.10%,7.80%,13.40%,61.80%,3.60%
Andre Iguodala,PHI,28,6-Jun,207,Arizona,USA,2004,1,9,62,12.4,6.1,5.5,5.1,2.50%,14.40%,17.60%,53.70%,24.10%
