PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
AJ Price,IND,23,2-Jun,181,Connecticut,USA,2009,2,52,56,7.3,1.6,1.9,3.9,1.30%,8.50%,21.70%,53.00%,19.80%
Aaron Brooks,HOU,25,Jun-00,161,Oregon,USA,2007,1,26,82,19.6,2.6,5.3,0.3,1.80%,5.70%,25.30%,54.90%,25.30%
Aaron Gray,NOH,25,Jul-00,270,Pittsburgh,USA,2007,2,49,32,3.3,3.3,0.7,-1.6,14.90%,20.50%,16.00%,55.10%,10.90%
Acie Law,CHI,25,3-Jun,202,Texas A&M,USA,2007,1,11,26,4.3,0.7,1,5.3,1.40%,6.10%,21.30%,58.50%,17.00%
Adam Morrison,LAL,25,8-Jun,205,Gonzaga,USA,2006,1,3,31,2.4,1,0.6,-8.7,3.90%,9.40%,17.60%,41.80%,12.10%
Al Harrington,NYK,30,9-Jun,250,None,USA,1998,1,25,72,17.7,5.6,1.5,-4.9,4.00%,15.30%,26.10%,54.60%,8.80%
Al Horford,ATL,24,10-Jun,245,Florida,Dominican Rep...,2007,1,3,81,14.2,9.9,2.3,8.6,8.80%,20.70%,17.70%,59.40%,10.20%
Al Jefferson,MIN,25,10-Jun,265,None,USA,2004,1,15,76,17.1,9.3,1.8,-9.8,7.20%,22.40%,24.00%,52.40%,9.90%
Al Thornton,WAS,26,8-Jun,220,Florida State,USA,2007,1,14,75,10.7,3.9,1.2,-7.2,5.70%,9.20%,18.80%,52.30%,7.20%
Alando Tucker,MIN,26,6-Jun,205,Wisconsin,USA,2007,1,29,15,3.4,0.7,0.3,-26.7,5.80%,3.90%,22.90%,52.90%,7.70%
Alexis Ajinca,CHA,22,Jul-00,220,None,France,2008,1,20,6,1.7,0.7,0,8.2,3.30%,10.30%,17.10%,47.90%,0.00%
Allen Iverson,PHI,35,Jun-00,165,Georgetown,USA,1996,1,1,28,13.8,2.8,4,-2.9,1.90%,7.50%,22.40%,51.50%,20.90%
Alonzo Gee,WAS,23,6-Jun,220,Alabama,USA,Undrafted,Undrafted,Undrafted,11,7.4,3,0.6,-0.9,7.90%,11.50%,20.30%,56.40%,7.10%
Amar'e Stoudemire,PHX,27,10-Jun,249,None,USA,2002,1,9,82,23.1,8.9,1,6.1,8.80%,16.60%,26.90%,61.50%,4.70%
Amir Johnson,TOR,23,9-Jun,210,None,USA,2005,2,56,82,6.2,4.8,0.6,2.7,11.10%,16.00%,14.00%,63.90%,5.00%
Anderson Varejao,CLE,27,11-Jun,260,None,Brazil,2004,2,30,76,8.6,7.6,1.1,12.6,9.70%,18.20%,12.90%,59.80%,6.20%
Andray Blatche,WAS,23,11-Jun,248,None,USA,2005,2,49,81,14.1,6.3,2.1,-6.3,7.10%,16.70%,25.20%,51.90%,13.80%
Andre Iguodala,PHI,26,6-Jun,207,Arizona,USA,2004,1,9,82,17.1,6.5,5.8,-4.2,2.70%,15.10%,21.40%,53.50%,23.80%
Andre Miller,POR,34,2-Jun,200,Utah,USA,1999,1,8,82,14,3.2,5.4,6.3,3.60%,8.10%,23.30%,53.00%,29.60%
Andrea Bargnani,TOR,24,Jul-00,250,None,Italy,2006,1,1,80,17.2,6.2,1.2,-3.2,4.00%,14.50%,22.00%,55.20%,5.30%
Andrei Kirilenko,UTA,29,9-Jun,225,None,Russia,1999,1,24,58,11.9,4.6,2.7,6.7,4.90%,11.20%,17.40%,58.80%,14.30%
Andres Nocioni,SAC,30,7-Jun,225,None,Argentina,Undrafted,Undrafted,Undrafted,75,8.5,3,1,-4.9,2.10%,13.10%,20.20%,50.40%,7.70%
Andrew Bogut,MIL,25,Jul-00,260,Utah,Australia,2005,1,1,69,15.9,10.2,1.8,5.9,9.20%,23.50%,23.10%,54.00%,10.10%
Andrew Bynum,LAL,22,Jul-00,285,None,USA,2005,1,10,65,15,8.3,1,7.4,9.20%,18.40%,20.50%,60.80%,5.50%
Andris Biedrins,GSW,24,11-Jun,240,None,Latvia,2004,1,11,33,5,7.8,1.7,-8,8.10%,25.50%,10.00%,56.10%,10.50%
Antawn Jamison,CLE,34,9-Jun,235,North Carolina,USA,1998,1,4,66,18.7,8.4,1.3,1,5.80%,18.00%,23.40%,52.90%,5.80%
Anthony Carter,DEN,35,2-Jun,195,Hawaii,USA,Undrafted,Undrafted,Undrafted,54,3.3,1.6,3,-1.5,2.10%,8.60%,12.40%,48.20%,26.40%
Anthony Johnson,ORL,35,3-Jun,195,College of Charleston,USA,1997,2,39,31,4.2,1.5,2,3,2.10%,9.80%,15.90%,54.30%,24.90%
Anthony Morrow,GSW,24,5-Jun,210,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,69,13,3.8,1.5,-1.3,3.00%,10.00%,17.30%,59.70%,7.50%
Anthony Parker,CLE,35,6-Jun,215,Bradley,USA,1997,1,21,81,7.3,2.9,1.9,8.4,1.50%,8.80%,11.60%,57.60%,9.50%
Anthony Randolph,GSW,20,10-Jun,210,Louisiana State,USA,2008,1,14,33,11.6,6.5,1.3,-4,9.60%,19.30%,23.30%,52.10%,8.90%
Anthony Tolliver,GSW,25,9-Jun,243,Creighton,USA,Undrafted,Undrafted,Undrafted,46,11.7,7,1.9,0.2,5.70%,16.50%,16.50%,53.10%,8.40%
Antoine Wright,TOR,26,7-Jun,215,Texas A&M,USA,2005,1,15,67,6.5,2.8,1.1,-0.1,2.90%,11.20%,15.60%,50.20%,7.50%
Antonio Anderson,OKC,25,6-Jun,215,Memphis,USA,Undrafted,Undrafted,Undrafted,1,2,1,0,-3.1,5.90%,0.00%,10.00%,33.30%,0.00%
Antonio McDyess,SAS,35,9-Jun,245,Alabama,USA,1995,1,2,77,5.8,5.9,1.1,6.4,9.70%,19.10%,14.70%,49.20%,7.60%
Arron Afflalo,DEN,24,5-Jun,215,UCLA,USA,2007,1,27,82,8.8,3.1,1.7,4.5,2.70%,8.70%,13.80%,57.60%,9.30%
Austin Daye,DET,22,11-Jun,200,Gonzaga,,2009,1,15,69,5.1,2.5,0.5,-6,3.60%,17.80%,17.50%,54.60%,6.30%
Baron Davis,LAC,31,3-Jun,215,UCLA,USA,1999,1,3,75,15.3,3.5,8,-3.5,2.10%,8.60%,23.60%,50.10%,38.50%
Ben Gordon,DET,27,3-Jun,200,Connecticut,USA,2004,1,3,62,13.8,1.9,2.7,-6,1.50%,6.20%,24.00%,53.40%,16.70%
Ben Wallace,DET,35,9-Jun,240,Virginia Union,USA,Undrafted,Undrafted,Undrafted,69,5.5,8.7,1.5,-1.4,12.40%,20.30%,9.80%,52.60%,8.10%
Beno Udrih,SAC,27,3-Jun,205,None,Slovenia,2004,1,28,79,12.9,2.8,4.7,-3.9,1.50%,7.60%,18.10%,56.60%,23.90%
