PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Aaron McKie,PHI,32,5-Jun,209,Temple,USA,1994,1,17,68,2.2,2.5,1.5,1.1,1.70%,13.50%,6.80%,51.00%,13.50%
Aaron Williams,TOR,33,9-Jun,235,Xavier,USA,Undrafted,Undrafted,Undrafted,42,1.7,1.4,0.2,-20.2,5.50%,15.20%,12.60%,51.80%,4.90%
Adonal Foyle,GSW,30,10-Jun,270,Colgate,St. Vincent &...,1997,1,8,78,4.5,5.5,0.7,-0.4,9.30%,15.20%,10.30%,51.40%,4.80%
Adrian Griffin,CHI,30,5-Jun,230,Seton Hall,USA,Undrafted,Undrafted,Undrafted,69,2.2,2.1,0.8,3.2,7.20%,13.80%,13.50%,41.90%,13.40%
Al Harrington,ATL,25,9-Jun,250,None,USA,1998,1,25,66,17.5,7,3.2,-10.2,5.70%,13.90%,23.50%,50.80%,14.80%
Al Jefferson,BOS,20,10-Jun,265,None,USA,2004,1,15,71,6.7,4.4,0.3,-1.4,12.00%,17.80%,20.40%,55.40%,4.20%
Alan Henderson,DAL,32,9-Jun,240,Indiana,USA,1995,1,16,78,3.5,4.5,0.3,-6.7,13.30%,14.90%,10.90%,53.90%,2.90%
Aleksandar Radojevic,UTA,28,3-Jul,250,Barton Community College,USA,1999,1,12,12,1.6,2.3,0.5,-5.2,7.50%,17.10%,13.60%,40.60%,7.00%
Alex Garcia,NOH,25,3-Jun,195,None,USA,Undrafted,Undrafted,Undrafted,8,5.5,1.9,2.3,-12.5,4.80%,6.90%,19.50%,40.90%,22.80%
Allan Houston,NYK,34,6-Jun,205,Tennessee,USA,1993,1,11,20,11.9,1.2,2.1,2,0.80%,3.90%,20.60%,52.90%,12.70%
Allen Iverson,PHI,30,Jun-00,165,Georgetown,USA,1996,1,1,75,30.7,4,7.9,0.3,1.60%,7.90%,34.30%,53.20%,36.10%
Alonzo Mourning,MIA,35,10-Jun,261,Georgetown,USA,1992,1,2,37,7.6,5.4,0.5,-2.7,8.20%,20.00%,21.80%,51.50%,5.20%
Amar'e Stoudemire,PHX,22,10-Jun,245,None,USA,2002,1,9,80,26,8.9,1.6,10.6,7.90%,15.70%,28.10%,61.70%,7.50%
Anderson Varejao,CLE,22,10-Jun,230,None,Brazil,2004,2,30,54,4.9,4.8,0.5,5.9,12.00%,18.00%,13.90%,53.40%,5.00%
Andre Barrett,ORL,23,10-May,173,Seton Hall,,Undrafted,Undrafted,Undrafted,38,3.1,1.1,1.8,1.9,2.30%,6.00%,14.40%,44.60%,22.70%
Andre Emmett,MEM,22,5-Jun,230,Texas Tech,,2004,2,35,8,0.9,0.3,0,-11.9,0.00%,7.40%,15.80%,42.70%,0.00%
Andre Iguodala,PHI,21,6-Jun,207,Arizona,USA,2004,1,9,82,9,5.7,3,-0.2,3.30%,14.10%,12.60%,58.00%,13.90%
Andre Miller,DEN,29,2-Jun,200,Utah,USA,1999,1,8,82,13.6,4.1,6.9,3.3,3.70%,8.40%,19.30%,54.10%,31.50%
Andrei Kirilenko,UTA,24,9-Jun,205,None,Russia,1999,1,24,41,15.6,6.2,3.2,3.7,7.40%,13.20%,21.40%,59.90%,17.80%
Andres Nocioni,CHI,25,7-Jun,225,None,Argentina,Undrafted,Undrafted,Undrafted,81,8.4,4.8,1.5,-3.9,3.60%,16.60%,19.30%,48.40%,11.10%
Andrew DeClercq,ORL,32,10-Jun,255,Florida,USA,1995,2,34,8,1.1,1.3,0,-11.4,12.10%,7.00%,9.30%,43.60%,0.00%
Andris Biedrins,GSW,19,11-Jun,240,None,Latvia,2004,1,11,30,3.6,3.9,0.4,7.7,11.60%,17.30%,12.20%,57.00%,4.70%
Anfernee Hardaway,NYK,33,7-Jun,215,Memphis,USA,1993,1,3,37,7.3,2.4,2,-4.5,2.20%,8.60%,16.40%,48.00%,14.10%
Ansu Sesay,GSW,28,9-Jun,225,Mississippi,USA,1998,2,30,16,3.1,2.4,0.8,-6.1,12.30%,14.70%,19.60%,46.60%,17.90%
Antawn Jamison,WAS,29,9-Jun,230,North Carolina,USA,1998,1,4,68,19.6,7.6,2.3,1.8,5.80%,13.80%,23.30%,50.60%,10.10%
Anthony Carter,MIN,30,2-Jun,195,Hawaii,USA,Undrafted,Undrafted,Undrafted,66,2.7,1,2.4,0.8,1.80%,7.90%,16.30%,45.40%,35.50%
Anthony Goldwire,MIL,33,2-Jun,182,Houston,USA,1994,2,52,33,5.2,1.8,2.4,-6.6,2.00%,9.60%,14.30%,57.50%,25.20%
Anthony Johnson,IND,30,3-Jun,190,College of Charleston,USA,1997,2,39,63,8.4,2.8,4.8,1.1,2.00%,8.60%,16.30%,52.60%,30.90%
Anthony Miller,ATL,33,9-Jun,255,Michigan State,USA,1994,2,39,2,2,0.5,0.5,10.4,0.00%,11.10%,12.90%,66.70%,25.00%
Anthony Peeler,WAS,35,4-Jun,208,Missouri,USA,1992,1,15,40,3.8,1.6,1.4,-9.9,2.40%,10.30%,15.20%,48.40%,18.00%
Antoine Walker,BOS,28,9-Jun,245,Kentucky,USA,1996,1,6,77,19.1,9,3.4,-9.3,6.10%,18.80%,26.70%,47.80%,16.30%
Antonio Burks,MEM,25,Jun-00,195,Memphis,USA,2004,2,36,24,3,0.5,1.2,-5.6,0.50%,5.70%,17.60%,53.40%,25.20%
Antonio Daniels,SEA,30,4-Jun,205,Bowling Green,USA,1997,1,4,75,11.2,2.3,4.1,4.8,1.00%,7.70%,18.50%,55.70%,26.10%
Antonio Davis,CHI,36,9-Jun,245,Texas-El Paso,USA,1990,2,45,72,7,5.9,1.1,0.8,8.10%,14.80%,14.20%,51.60%,7.10%
Antonio McDyess,DET,30,9-Jun,245,Alabama,USA,1995,1,2,77,9.6,6.3,0.9,0.8,10.20%,18.10%,19.70%,54.20%,7.30%
Austin Croshere,IND,30,10-Jun,242,Providence,USA,1997,1,12,73,8.9,5.1,1.3,-4.6,6.00%,16.20%,17.90%,53.10%,9.90%
Awvee Storey,NJN,28,6-Jun,225,Arizona State,USA,Undrafted,Undrafted,Undrafted,9,0.9,0.6,0.1,-19.5,12.10%,3.20%,16.70%,36.80%,7.10%
Baron Davis,GSW,26,3-Jun,223,UCLA,USA,1999,1,3,46,19.2,3.8,7.9,2.1,1.90%,9.00%,27.30%,51.50%,39.10%
Ben Gordon,CHI,22,3-Jun,200,Connecticut,USA,2004,1,3,82,15.1,2.6,2,4.4,2.70%,7.40%,29.20%,52.60%,16.50%
Ben Handlogten,UTA,31,10-Jun,240,Western Michigan,USA,Undrafted,Undrafted,Undrafted,21,4.5,3.1,0.6,-8,9.10%,17.90%,16.70%,52.50%,7.50%
Ben Wallace,DET,30,9-Jun,240,Virginia Union,USA,Undrafted,Undrafted,Undrafted,74,9.7,12.2,1.7,7,11.10%,22.70%,14.90%,45.90%,7.50%
Beno Udrih,SAS,22,3-Jun,200,None,Slovenia,2004,1,28,80,5.9,1,1.9,4.6,1.40%,5.80%,19.60%,54.90%,23.30%
Bernard Robinson,CHA,24,6-Jun,210,Michigan,USA,2004,2,45,31,3,1.5,1,-14.5,3.90%,10.20%,14.10%,50.30%,16.90%
