PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
AJ Price,IND,24,2-Jun,181,Connecticut,USA,2009,2,52,50,6.5,1.4,2.2,2.1,1.90%,7.30%,22.10%,45.40%,23.30%
Aaron Brooks,PHX,26,Jun-00,161,Oregon,USA,2007,1,26,59,10.7,1.3,3.9,-6.6,1.50%,4.60%,24.90%,48.90%,28.90%
Aaron Gray,NOH,26,Jul-00,270,Pittsburgh,USA,2007,2,49,41,3.1,4.2,0.4,4,12.10%,23.60%,12.80%,56.60%,4.40%
Acie Law,GSW,26,3-Jun,202,Texas A&M,USA,2007,1,11,51,4.2,1.2,1.6,-8.3,1.70%,7.20%,15.50%,50.20%,18.20%
Al Harrington,DEN,31,9-Jun,250,None,USA,1998,1,25,73,10.5,4.5,1.4,4.8,4.70%,15.70%,21.70%,52.70%,9.60%
Al Horford,ATL,25,10-Jun,245,Florida,Dominican Rep...,2007,1,3,77,15.3,9.3,3.5,0.9,7.30%,21.00%,19.60%,58.70%,16.90%
Al Jefferson,UTA,26,10-Jun,280,None,USA,2004,1,15,82,18.6,9.7,1.8,-3,8.50%,20.20%,23.80%,52.80%,9.00%
Al Thornton,GSW,27,8-Jun,235,Florida State,USA,2007,1,14,71,7.4,3,0.9,-4.9,4.20%,12.20%,17.80%,53.10%,7.20%
Al-Farouq Aminu,LAC,20,9-Jun,215,Wake Forest,USA,2010,1,8,81,5.6,3.3,0.7,-6,5.20%,13.50%,16.70%,49.90%,6.70%
Alexis Ajinca,TOR,23,2-Jul,248,None,France,2008,1,20,34,4.2,2.3,0.3,1.3,5.20%,17.90%,20.60%,50.70%,4.90%
Alonzo Gee,CLE,24,6-Jun,220,Alabama,USA,Undrafted,Undrafted,Undrafted,56,5.9,3.3,0.7,-11.2,5.40%,11.10%,14.10%,54.40%,5.60%
Amar'e Stoudemire,NYK,28,10-Jun,240,None,USA,2002,1,9,78,25.3,8.2,2.6,1.7,7.20%,15.70%,30.60%,56.50%,12.80%
Amir Johnson,TOR,24,9-Jun,210,None,USA,2005,2,56,72,9.6,6.4,1.1,-2.5,10.40%,15.80%,15.10%,60.80%,6.40%
Anderson Varejao,CLE,28,11-Jun,260,None,Brazil,2004,2,30,31,9.1,9.7,1.5,-8.8,9.70%,21.50%,13.30%,56.00%,7.40%
Andray Blatche,WAS,24,11-Jun,260,None,USA,2005,2,49,64,16.8,8.2,2.3,-5.8,8.40%,16.90%,25.30%,49.70%,11.50%
Andre Iguodala,PHI,27,6-Jun,207,Arizona,USA,2004,1,9,67,14.1,5.8,6.3,3.4,2.60%,13.60%,19.10%,53.00%,26.10%
Andre Miller,POR,35,2-Jun,200,Utah,USA,1999,1,8,81,12.7,3.7,7,4.4,4.00%,8.70%,20.20%,52.90%,34.80%
Andrea Bargnani,TOR,25,Jul-00,250,None,Italy,2006,1,1,66,21.4,5.2,1.8,-6.4,3.30%,12.40%,27.80%,53.30%,8.60%
Andrei Kirilenko,UTA,30,9-Jun,235,None,Russia,1999,1,24,64,11.7,5.1,3,-0.2,5.40%,11.90%,17.60%,56.70%,14.50%
Andres Nocioni,PHI,31,7-Jun,225,None,Argentina,Undrafted,Undrafted,Undrafted,54,6.1,3.1,0.8,-7.4,2.10%,16.90%,16.80%,53.80%,7.60%
Andrew Bogut,MIL,26,Jul-00,260,Utah,Australia,2005,1,1,65,12.8,11.1,2,1,8.90%,23.70%,19.70%,49.60%,10.30%
Andrew Bynum,LAL,23,Jul-00,285,None,USA,2005,1,10,54,11.3,9.4,1.4,7.4,11.90%,22.50%,17.70%,60.60%,7.90%
Andris Biedrins,GSW,25,Jul-00,240,None,Latvia,2004,1,11,59,5,7.2,1,-8.2,10.30%,21.90%,10.40%,52.60%,6.00%
Andy Rautins,NYK,24,4-Jun,190,Syracuse,USA,2010,2,38,5,1.6,0.2,0.6,-25.6,0.00%,4.00%,25.90%,50.80%,25.00%
Antawn Jamison,CLE,35,9-Jun,235,North Carolina,USA,1998,1,4,56,18,6.7,1.7,-10.1,4.40%,16.40%,25.10%,51.60%,9.20%
Anthony Carter,NYK,36,2-Jun,195,Hawaii,USA,Undrafted,Undrafted,Undrafted,33,3.3,1.5,2.1,1.2,1.50%,9.60%,13.90%,50.20%,23.40%
Anthony Morrow,NJN,25,5-Jun,210,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,58,13.2,3,1.2,-4,2.00%,7.60%,17.40%,57.30%,6.30%
Anthony Parker,CLE,36,6-Jun,210,Bradley,USA,1997,1,21,72,8.3,3,3,-7.3,1.60%,9.10%,14.30%,50.50%,16.40%
Anthony Randolph,MIN,21,11-Jun,225,Louisiana State,USA,2008,1,14,40,7.6,4,0.8,-10.5,6.90%,19.80%,25.50%,50.50%,10.30%
Anthony Tolliver,MIN,26,9-Jun,243,Creighton,USA,Undrafted,Undrafted,Undrafted,65,6.7,4.5,1.3,-2.3,6.40%,15.30%,12.90%,58.50%,9.00%
Antoine Wright,SAC,27,7-Jun,215,Texas A&M,USA,2005,1,15,7,0.3,0.4,0,-35.3,5.30%,3.20%,11.70%,12.50%,0.00%
Antonio Daniels,PHI,36,4-Jun,205,Bowling Green,USA,1997,1,4,4,1.5,1.3,0.5,20.9,0.00%,13.90%,9.20%,51.00%,8.00%
Antonio McDyess,SAS,36,9-Jun,245,Alabama,USA,1995,1,2,73,5.3,5.4,1.2,5.3,9.50%,20.00%,14.60%,51.60%,9.30%
Armon Johnson,POR,22,3-Jun,195,Nevada,,2010,2,34,38,2.9,0.9,1.2,-2.1,3.70%,9.30%,22.50%,49.70%,30.00%
Arron Afflalo,DEN,25,5-Jun,215,UCLA,USA,2007,1,27,69,12.6,3.6,2.4,3.6,2.10%,8.90%,14.60%,62.00%,10.90%
Austin Daye,DET,23,11-Jun,200,Gonzaga,,2009,1,15,72,7.5,3.8,1.1,-4.2,4.50%,16.00%,18.00%,51.80%,8.50%
Avery Bradley,BOS,20,2-Jun,180,Texas,USA,2010,1,19,31,1.7,0.5,0.4,-16.6,2.50%,7.80%,23.40%,36.00%,13.50%
Baron Davis,CLE,32,3-Jun,215,UCLA,USA,1999,1,3,58,13.1,2.7,6.7,-0.3,2.10%,7.70%,23.90%,50.60%,38.80%
Ben Gordon,DET,28,3-Jun,200,Connecticut,USA,2004,1,3,82,11.2,2.4,2.1,-2.5,2.00%,8.20%,20.60%,54.80%,12.90%
Ben Uzoh,NJN,23,3-Jun,205,Tulsa,USA,Undrafted,Undrafted,Undrafted,42,3.8,1.5,1.6,-7.6,6.70%,7.40%,19.70%,46.80%,27.80%
Ben Wallace,DET,36,9-Jun,240,Virginia Union,USA,Undrafted,Undrafted,Undrafted,54,2.9,6.5,1.3,-7.7,10.60%,20.40%,8.20%,44.20%,8.60%
Beno Udrih,SAC,28,3-Jun,205,None,Slovenia,2004,1,28,79,13.7,3.4,4.9,-5.2,1.40%,8.60%,16.40%,58.70%,21.90%
Blake Griffin,LAC,22,10-Jun,251,Oklahoma,USA,2009,1,1,82,22.5,12.1,3.8,-1.9,9.00%,23.80%,26.90%,54.90%,18.40%
Bobby Simmons,SAS,31,6-Jun,235,DePaul,USA,2001,2,41,2,0,0,1,20,0.00%,0.00%,8.60%,0.00%,18.20%
Boris Diaw,CHA,29,8-Jun,235,None,France,2003,1,21,82,11.3,5,4.1,-4.1,4.00%,11.80%,16.60%,55.80%,20.30%
Brad Miller,HOU,35,Jul-00,261,Purdue,USA,Undrafted,Undrafted,Undrafted,60,6.4,3.7,2.4,2.5,4.30%,17.80%,16.60%,56.60%,22.00%
Brandan Wright,NJN,23,10-Jun,210,North Carolina,USA,2007,1,8,37,3.8,2.4,0.3,-7.9,7.80%,15.60%,16.20%,54.00%,5.30%
Brandon Bass,ORL,26,8-Jun,250,Louisiana State,USA,2005,2,33,76,11.2,5.6,0.8,4.6,7.30%,14.90%,19.60%,57.10%,5.10%
Brandon Jennings,MIL,21,1-Jun,169,None,USA,2009,1,10,63,16.2,3.7,4.8,-1.5,1.90%,9.50%,24.60%,49.30%,26.10%
Brandon Roy,POR,26,6-Jun,211,Washington,USA,2006,1,6,47,12.2,2.6,2.7,2.5,2.20%,8.10%,22.40%,49.10%,16.80%
PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Brandon Rush,IND,25,6-Jun,210,Kansas,USA,2008,1,13,67,9.1,3.2,0.9,-6,1.90%,10.50%,15.90%,54.00%,5.80%
Brendan Haywood,DAL,31,Jul-00,263,North Carolina,USA,2001,1,20,72,4.4,5.2,0.3,-0.7,10.20%,19.70%,11.90%,53.20%,2.20%
Brian Cardinal,DAL,34,8-Jun,240,Purdue,USA,2000,2,44,56,2.6,1.1,0.7,-2.8,1.70%,8.50%,9.20%,67.20%,9.70%
Brian Cook,LAC,30,9-Jun,250,Illinois,USA,2003,1,24,40,4.8,2.4,0.4,-2.2,4.10%,18.60%,20.00%,53.40%,5.70%
Brian Scalabrine,CHI,33,9-Jun,235,Southern California,USA,2001,2,34,18,1.1,0.4,0.3,-2.7,1.10%,6.80%,11.30%,52.60%,9.80%
Brian Skinner,MIL,35,9-Jun,255,Baylor,USA,1998,1,22,2,0,0,0,-89,0.00%,0.00%,0.00%,0.00%,0.00%
Brook Lopez,NJN,23,Jul-00,265,Stanford,USA,2008,1,10,82,20.4,6,1.6,-5.5,7.00%,10.80%,26.90%,54.90%,8.70%
Byron Mullens,OKC,22,Jul-00,275,Ohio State,USA,2009,1,24,13,1.9,1.8,0,-12.8,6.10%,22.80%,20.20%,36.60%,0.00%
C.J. Watson,CHI,27,2-Jun,175,Tennessee,USA,Undrafted,Undrafted,Undrafted,82,4.9,1.1,2.3,6.7,1.50%,7.30%,21.00%,46.60%,30.30%
CJ Miles,UTA,24,6-Jun,232,None,USA,2005,2,34,78,12.8,3.3,1.7,2.1,2.80%,10.90%,24.30%,50.70%,11.80%
Carl Landry,NOH,27,9-Jun,248,Purdue,USA,2007,2,31,76,11.9,4.6,0.8,-4.2,8.20%,9.80%,20.30%,55.50%,5.20%
Carlos Arroyo,BOS,31,2-Jun,200,Florida International,Puerto Rico,Undrafted,Undrafted,Undrafted,64,4.8,1.6,2,4.1,1.90%,6.90%,13.60%,52.80%,16.00%
Carlos Boozer,CHI,29,9-Jun,266,Duke,USA,2002,2,34,59,17.5,9.6,2.5,7.6,7.50%,24.20%,26.60%,54.20%,13.70%
Carlos Delfino,MIL,28,6-Jun,230,None,Argentina,2003,1,25,49,11.5,4.1,2.3,-2.7,1.50%,12.20%,17.50%,51.70%,12.30%
Carmelo Anthony,NYK,27,8-Jun,230,Syracuse,USA,2003,1,3,77,25.6,7.3,2.9,4,4.50%,16.00%,31.70%,55.70%,14.90%
Caron Butler,DAL,31,7-Jun,228,Connecticut,USA,2002,1,10,29,15,4.1,1.6,8.7,2.90%,10.90%,25.00%,52.30%,9.10%
Cartier Martin,WAS,26,7-Jun,220,Kansas State,USA,Undrafted,Undrafted,Undrafted,52,4,1.4,0.3,1.7,3.70%,10.20%,16.90%,52.40%,5.00%
Channing Frye,PHX,28,11-Jun,245,Arizona,USA,2005,1,8,77,12.7,6.7,1.2,2.5,2.70%,17.70%,16.60%,55.70%,5.60%
Charlie Bell,GSW,32,3-Jun,200,Michigan State,,Undrafted,Undrafted,Undrafted,19,1.7,0.9,0.7,2.1,3.40%,7.00%,12.90%,35.70%,11.30%
Charlie Villanueva,DET,26,11-Jun,232,Connecticut,USA,2005,1,7,76,11.1,3.9,0.6,-4,3.10%,16.50%,22.80%,55.30%,5.00%
Chase Budinger,HOU,23,7-Jun,218,Arizona,USA,2009,2,44,78,9.8,3.6,1.6,4.4,2.90%,13.10%,19.40%,53.40%,11.30%
Chauncey Billups,NYK,34,3-Jun,210,Colorado,USA,1997,1,3,72,16.8,2.6,5.4,3,1.10%,7.10%,22.00%,61.70%,26.60%
Chris Andersen,DEN,32,10-Jun,228,Blinn,USA,Undrafted,Undrafted,Undrafted,45,5.6,4.9,0.4,6.4,10.20%,19.20%,12.80%,63.60%,4.30%
Chris Bosh,MIA,27,11-Jun,235,Georgia Tech,USA,2003,1,4,77,18.7,8.3,1.9,11.2,5.70%,17.80%,23.10%,56.90%,8.60%
Chris Douglas-Roberts,MIL,24,7-Jun,210,Memphis,USA,2008,2,40,44,7.3,2,1.1,-1.1,0.80%,9.70%,18.00%,51.70%,9.80%
Chris Duhon,ORL,28,1-Jun,190,Duke,USA,2004,2,38,51,2.5,1,2.3,-0.4,1.20%,5.70%,11.70%,44.60%,25.10%
Chris Johnson,POR,25,11-Jun,210,Louisiana State,USA,Undrafted,Undrafted,Undrafted,14,2.4,2.3,0.2,-19,7.90%,15.40%,12.40%,55.40%,3.70%
Chris Kaman,LAC,29,Jul-00,265,Central Michigan,USA,2003,1,6,32,12.4,7,1.4,-2.8,6.10%,20.00%,24.00%,49.50%,10.00%
Chris Paul,NOH,26,Jun-00,175,Wake Forest,USA,2005,1,4,80,15.9,4.1,9.8,4.3,1.40%,11.20%,20.50%,57.80%,44.10%
Chris Quinn,SAS,27,2-Jun,175,Notre Dame,USA,Undrafted,Undrafted,Undrafted,41,2,0.6,1,-7.6,1.10%,7.60%,16.20%,42.80%,23.60%
Chris Wilcox,DET,28,10-Jun,235,Maryland,USA,2002,1,8,57,7.4,4.8,0.8,0.2,10.10%,20.90%,18.20%,58.70%,6.80%
Christian Eyenga,CLE,22,5-Jun,210,None,Congo,2009,1,30,44,6.9,2.8,0.8,-10.5,2.80%,10.50%,16.90%,47.60%,6.10%
Chuck Hayes,HOU,28,6-Jun,238,Kentucky,USA,Undrafted,Undrafted,Undrafted,74,7.9,8.1,2.7,5.5,10.80%,18.60%,12.90%,55.40%,14.00%
Cole Aldrich,OKC,22,11-Jun,245,Kansas,USA,2010,1,11,18,1,1.9,0.2,2.4,9.60%,14.30%,7.80%,53.70%,4.10%
Corey Brewer,DAL,25,9-Jun,188,Florida,USA,2007,1,7,69,8,2.5,1.3,-3.6,3.60%,7.90%,18.20%,48.20%,9.00%
Corey Maggette,MIL,31,6-Jun,225,Duke,USA,1999,1,13,67,12,3.6,1.3,-2.4,3.20%,14.80%,27.10%,57.30%,11.10%
Courtney Lee,HOU,25,5-Jun,200,Western Kentucky,USA,2008,1,22,81,8.3,2.6,1.2,0.9,2.90%,9.20%,17.50%,53.40%,9.20%
Craig Brackins,PHI,23,10-Jun,230,Iowa State,,2010,1,21,3,2.7,1.3,0.3,-20.4,5.00%,8.30%,21.90%,25.00%,5.00%
Craig Smith,LAC,27,7-Jun,265,Boston College,USA,2006,2,36,48,5.4,2.4,0.6,-3.9,7.30%,13.60%,18.80%,59.20%,9.50%
D.J. Augustin,CHA,23,Jun-00,180,Texas,USA,2008,1,9,82,14.4,2.7,6.1,-5,1.50%,7.30%,20.50%,54.10%,30.60%
DJ Mbenga,NOH,30,Jul-00,255,None,,Undrafted,Undrafted,Undrafted,41,1.4,2.1,0.1,-4.3,10.80%,15.00%,10.60%,51.80%,3.20%
DJ White,CHA,24,9-Jun,251,Indiana,USA,2008,1,29,47,5.7,3.4,0.4,-2.6,6.80%,17.30%,17.80%,54.20%,5.10%
DaJuan Summers,DET,23,8-Jun,240,Georgetown,USA,2009,2,35,22,3.4,0.5,0.1,-3.5,1.10%,5.30%,21.00%,47.60%,1.70%
Daequan Cook,OKC,24,5-Jun,210,Ohio State,USA,2007,1,21,43,5.6,1.7,0.5,7,1.40%,10.80%,15.40%,63.00%,5.50%
Dahntay Jones,IND,30,6-Jun,210,Duke,USA,2003,1,20,45,6.3,1.4,0.7,-2.9,0.70%,10.40%,20.90%,55.80%,10.30%
Damien Wilkins,ATL,31,6-Jun,225,Georgia,USA,Undrafted,Undrafted,Undrafted,52,3.5,1.7,0.8,-8,3.70%,10.40%,12.30%,55.70%,9.90%
Damion James,NJN,23,7-Jun,220,Texas,USA,2010,1,24,25,4.4,3.4,0.8,-3.8,4.30%,18.40%,15.10%,47.70%,8.20%
Dan Gadzuric,NJN,33,11-Jun,240,UCLA,Netherlands,2002,2,33,42,2.8,3.2,0.3,-7.1,13.90%,15.00%,15.30%,41.90%,4.60%
Daniel Gibson,CLE,25,2-Jun,200,Texas,USA,2006,2,42,67,11.6,2.6,3,-5.5,1.30%,8.50%,19.20%,53.30%,18.50%
Danilo Gallinari,DEN,22,10-Jun,225,None,Italy,2008,1,6,62,15.6,4.9,1.7,1.8,2.90%,11.90%,18.70%,59.70%,7.40%
PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Danny Granger,IND,28,8-Jun,228,New Mexico,USA,2005,1,17,79,20.5,5.4,2.6,-0.1,3.20%,11.90%,26.20%,55.40%,12.80%
Danny Green,SAS,24,6-Jun,210,North Carolina,USA,2009,2,46,8,5.1,1.9,0.3,7.8,3.10%,14.10%,19.00%,58.60%,3.90%
Dante Cunningham,CHA,24,8-Jun,230,Villanova,USA,2009,2,33,78,6.2,3.6,0.6,-4.4,6.20%,12.60%,15.50%,48.30%,4.40%
Darius Songaila,PHI,33,9-Jun,248,Wake Forest,Lithuania,2002,2,49,10,1.6,1,0.2,-13.1,2.60%,13.60%,12.50%,47.70%,4.40%
Darko Milicic,MIN,26,Jul-00,275,None,Serbia,2003,1,2,69,8.8,5.2,1.5,-6.3,7.70%,13.20%,19.60%,48.20%,9.90%
Darnell Jackson,SAC,25,9-Jun,253,Kansas,,2008,2,52,59,3.2,1.6,0.2,-7,9.00%,9.10%,16.70%,52.10%,4.80%
Darrell Arthur,MEM,23,9-Jun,235,Kansas,USA,2008,1,27,80,9.1,4.3,0.7,1.7,7.10%,14.50%,20.90%,53.40%,5.60%
Darren Collison,IND,23,Jun-00,160,UCLA,USA,2009,1,21,79,13.2,2.8,5.1,-2.6,1.70%,7.60%,21.10%,53.40%,28.00%
David Andersen,NOH,31,11-Jun,247,None,USA,2002,2,36,40,3.4,2.1,0.3,0.8,5.60%,19.00%,17.70%,51.30%,5.40%
David Lee,GSW,28,9-Jun,240,Florida,USA,2005,1,30,73,16.5,9.8,3.2,-1.7,8.40%,19.40%,20.90%,54.90%,13.60%
David West,NOH,30,9-Jun,240,Xavier,USA,2003,1,18,70,18.9,7.6,2.3,3.1,6.90%,17.00%,25.60%,55.80%,12.60%
DeAndre Jordan,LAC,22,11-Jun,265,Texas A&M,USA,2008,2,35,80,7.1,7.2,0.5,-1.6,10.80%,18.30%,11.60%,64.80%,3.10%
DeJuan Blair,SAS,22,7-Jun,270,Pittsburgh,USA,2009,2,37,81,8.3,7,1,3.7,12.90%,20.80%,19.20%,52.40%,6.70%
DeMar DeRozan,TOR,21,7-Jun,220,Southern California,USA,2009,1,9,82,17.2,3.8,1.8,-7.2,2.70%,9.20%,22.90%,53.00%,8.50%
DeMarcus Cousins,SAC,20,11-Jun,270,Kentucky,USA,2010,1,5,81,14.1,8.6,2.5,-5.2,9.10%,22.30%,26.80%,48.40%,14.90%
DeMarre Carroll,HOU,24,8-Jun,212,Missouri,USA,2009,1,27,12,0.8,0.7,0.3,4.6,3.70%,13.30%,10.40%,38.80%,10.30%
DeSagana Diop,CHA,29,Jul-00,280,None,Senegal,2001,1,8,16,1.3,2.5,0.4,-9,6.90%,15.10%,9.90%,34.70%,6.30%
DeShawn Stevenson,DAL,30,5-Jun,218,None,USA,2000,1,23,72,5.3,1.5,1.1,1.5,1.90%,7.60%,15.50%,54.90%,10.10%
Delonte West,BOS,27,3-Jun,180,Saint Joseph's,,2004,1,24,24,5.6,1.5,2.7,-10.2,1.50%,7.40%,16.50%,53.30%,26.80%
Derek Fisher,LAL,36,1-Jun,210,Arkansas-Little Rock,USA,1996,1,24,82,6.8,1.9,2.7,9.8,0.60%,6.00%,12.40%,48.60%,13.40%
Deron Williams,NJN,27,3-Jun,209,Illinois,USA,2005,1,3,65,20.1,4,10.3,-2.1,1.70%,9.40%,25.30%,56.60%,44.80%
Derrick Brown,NYK,23,8-Jun,220,Xavier,USA,2009,2,40,49,3.8,2,0.7,-3.5,7.70%,10.60%,14.70%,58.80%,9.30%
Derrick Caracter,LAL,23,9-Jun,275,Texas-El Paso,USA,2010,2,58,41,2,1,0.2,-13.3,9.00%,10.50%,18.20%,53.20%,5.40%
Derrick Favors,UTA,19,10-Jun,246,Georgia Tech,USA,2010,1,3,78,6.8,5.3,0.5,-6.7,11.40%,16.10%,16.70%,54.20%,4.40%
Derrick Rose,CHI,22,3-Jun,190,Memphis,USA,2008,1,1,81,25,4.1,7.7,8.7,2.80%,8.20%,31.30%,55.00%,37.20%
Devin Ebanks,LAL,21,9-Jun,215,West Virginia,USA,2010,2,43,20,3.1,1.4,0.1,-18.3,11.50%,9.20%,22.60%,50.70%,3.30%
Devin Harris,UTA,28,3-Jun,190,Wisconsin,USA,2004,1,5,71,15.2,2.4,7.1,-5.1,0.80%,7.20%,24.30%,54.50%,37.30%
Dexter Pittman,MIA,23,11-Jun,308,Texas,USA,2010,2,32,2,1,1.5,0,44.7,12.50%,16.70%,20.00%,33.30%,0.00%
Dirk Nowitzki,DAL,33,Jul-00,245,None,Germany,1998,1,9,73,23,7,2.6,10.3,2.30%,18.40%,27.20%,61.20%,13.60%
Dominic McGuire,CHA,25,9-Jun,220,Fresno State,USA,2007,2,47,52,3.3,3.8,0.8,-3.5,8.60%,18.30%,13.20%,43.70%,9.20%
