PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
AJ Hammons,DAL,24,Jul-00,260,Purdue,USA,2016,2,46,22,2.2,1.6,0.2,-0.6,4.50%,17.20%,16.40%,47.20%,3.80%
Aaron Brooks,IND,32,Jun-00,161,Oregon,USA,2007,1,26,65,5,1.1,1.9,-1.8,1.90%,5.60%,18.40%,50.70%,21.60%
Aaron Gordon,ORL,21,9-Jun,220,Arizona,USA,2014,1,4,80,12.7,5.1,1.9,-3.3,4.80%,12.40%,19.50%,53.00%,9.70%
Aaron Harrison,CHA,22,6-Jun,210,Kentucky,USA,Undrafted,Undrafted,Undrafted,5,0.2,0.6,0.6,-19.8,0.00%,17.60%,12.80%,10.20%,37.50%
Adreian Payne,MIN,26,10-Jun,237,Michigan State,USA,2014,1,15,18,3.5,1.8,0.4,4.3,6.00%,17.90%,21.80%,50.50%,8.90%
Al Horford,BOS,31,10-Jun,245,Florida,Dominican Rep...,2007,1,3,68,14,6.8,5,4.9,4.40%,16.20%,19.50%,55.30%,23.90%
Al Jefferson,IND,32,10-Jun,289,None,USA,2004,1,15,66,8.1,4.2,0.9,-5.5,7.70%,22.50%,25.10%,52.60%,11.40%
Al-Farouq Aminu,POR,26,9-Jun,220,Wake Forest,USA,2010,1,8,61,8.7,7.4,1.6,0.4,4.40%,20.40%,15.40%,50.60%,8.20%
Alan Anderson,LAC,34,6-Jun,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,30,2.9,0.8,0.4,-11.4,1.00%,6.70%,13.40%,49.40%,5.20%
Alan Williams,PHX,24,8-Jun,260,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,47,7.4,6.2,0.5,0.6,12.10%,25.50%,20.00%,54.70%,4.90%
Alec Burks,UTA,25,6-Jun,214,Colorado,USA,2011,1,12,42,6.7,2.9,0.7,-0.5,2.60%,15.80%,20.90%,50.10%,7.40%
Alex Abrines,OKC,23,6-Jun,190,None,Spain,2013,2,32,68,6,1.3,0.6,0.3,1.60%,6.60%,15.10%,56.00%,5.50%
Alex Len,PHX,24,1-Jul,260,Maryland,Ukraine,2013,1,5,77,8,6.6,0.6,-11.4,9.10%,22.20%,17.20%,55.30%,4.30%
Alex Poythress,PHI,23,7-Jun,238,Kentucky,USA,Undrafted,Undrafted,Undrafted,6,10.7,4.8,0.8,-9.7,6.50%,12.20%,16.20%,54.80%,5.20%
Alexis Ajinca,NOP,29,2-Jul,248,None,France,2008,1,20,39,5.3,4.5,0.3,-4.4,7.60%,20.00%,16.50%,52.90%,3.10%
Allen Crabbe,POR,25,6-Jun,215,California,USA,2013,2,31,79,10.7,2.9,1.2,-2.8,0.80%,9.10%,14.50%,60.20%,6.30%
Alonzo Gee,DEN,30,6-Jun,225,Alabama,USA,Undrafted,Undrafted,Undrafted,13,0.8,1.2,0.5,-2.3,4.30%,11.00%,10.00%,30.60%,9.20%
Amir Johnson,BOS,30,9-Jun,240,None,USA,2005,2,56,80,6.5,4.6,1.8,6.9,7.40%,15.00%,13.30%,62.80%,12.50%
Anderson Varejao,GSW,34,11-Jun,273,None,Brazil,2004,2,30,14,1.3,1.9,0.7,-14.1,12.00%,16.50%,11.90%,47.80%,15.20%
Andre Drummond,DET,23,11-Jun,279,Connecticut,USA,2012,1,9,81,13.6,13.8,1.1,-5.6,13.20%,34.10%,22.00%,51.80%,6.00%
Andre Iguodala,GSW,33,6-Jun,215,Arizona,USA,2004,1,9,76,7.6,4,3.4,12.5,2.70%,11.40%,11.00%,62.40%,16.90%
Andre Roberson,OKC,25,7-Jun,210,Colorado,USA,2013,1,26,79,6.6,5.1,1,3.1,3.90%,12.40%,9.80%,51.00%,4.50%
Andrew Bogut,CLE,32,Jul-00,260,Utah,Australia,2005,1,1,27,2.9,8.1,1.8,-2.6,9.60%,28.60%,10.20%,46.00%,13.30%
Andrew Harrison,MEM,22,6-Jun,213,Kentucky,USA,2015,2,44,72,5.9,1.9,2.8,0,1.50%,7.90%,16.00%,47.70%,20.90%
Andrew Nicholson,BKN,27,9-Jun,250,St. Bonaventure,Canada,2012,1,19,38,2.6,1.6,0.3,-17.6,4.50%,13.30%,17.10%,42.70%,4.70%
Andrew Wiggins,MIN,22,8-Jun,199,Kansas,Canada,2014,1,1,82,23.6,4,2.3,-0.1,3.40%,7.70%,28.50%,53.40%,10.40%
Anthony Bennett,BKN,24,8-Jun,235,Nevada-Las Vegas,Canada,2013,1,1,23,5,3.4,0.5,-11.8,9.20%,18.70%,18.60%,53.30%,7.50%
Anthony Brown,ORL,24,7-Jun,211,Stanford,USA,2015,2,34,11,3.9,3,0.7,-0.3,4.50%,14.70%,15.10%,43.00%,8.00%
Anthony Davis,NOP,24,11-Jun,253,Kentucky,USA,2012,1,1,75,28,11.8,2.1,1.3,6.20%,24.10%,32.00%,58.00%,11.00%
Anthony Morrow,CHI,31,5-Jun,210,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,49,5.5,0.6,0.5,1.3,1.50%,2.60%,15.60%,50.50%,5.20%
Anthony Tolliver,SAC,32,8-Jun,240,Creighton,USA,Undrafted,Undrafted,Undrafted,65,7.1,3.6,1.2,-3.6,3.60%,13.20%,13.30%,59.50%,7.70%
Archie Goodwin,BKN,22,5-Jun,205,Kentucky,USA,2013,1,29,15,7.3,1.9,1.6,-8.9,3.60%,9.30%,20.00%,65.10%,18.60%
