PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Aaron Brooks,HOU,23,Jun-00,161,Oregon,USA,2007,1,26,51,5.2,1.1,1.7,-1.6,2.20%,7.50%,21.50%,53.50%,24.90%
Aaron Gray,CHI,23,Jul-00,270,Pittsburgh,USA,2007,2,49,61,4.3,2.8,0.7,-0.1,11.20%,16.30%,21.20%,52.90%,11.30%
Aaron Williams,LAC,36,9-Jun,235,Xavier,USA,Undrafted,Undrafted,Undrafted,30,2.3,2,0.3,-15.4,5.20%,15.90%,11.20%,54.00%,5.20%
Acie Law,ATL,23,3-Jun,195,Texas A&M,USA,2007,1,11,56,4.2,1,2,-7.3,1.40%,5.40%,15.80%,45.50%,21.80%
Adonal Foyle,ORL,33,10-Jun,270,Colgate,St. Vincent &...,1997,1,8,82,1.9,2.5,0.2,0,9.30%,17.40%,11.90%,46.40%,3.80%
Adrian Griffin,SEA,33,5-Jun,230,Seton Hall,USA,Undrafted,Undrafted,Undrafted,35,1.9,1.7,0.8,3,8.70%,10.50%,13.90%,40.60%,13.40%
Al Harrington,GSW,28,9-Jun,250,None,USA,1998,1,25,81,13.6,5.4,1.6,3.4,4.50%,15.60%,20.80%,54.70%,8.90%
Al Horford,ATL,22,10-Jun,245,Florida,Dominican Rep...,2007,1,3,81,10.1,9.7,1.5,-2,10.20%,22.30%,15.90%,53.90%,7.80%
Al Jefferson,MIN,23,10-Jun,265,None,USA,2004,1,15,82,21,11.1,1.4,-9.2,10.50%,22.70%,27.20%,53.50%,7.50%
Al Thornton,LAC,24,8-Jun,220,Florida State,USA,2007,1,14,79,12.7,4.5,1.2,-8.7,4.70%,12.50%,23.70%,50.40%,8.40%
Alando Tucker,PHX,24,6-Jun,205,Wisconsin,USA,2007,1,29,6,3.7,1.3,0,-9.2,8.30%,6.30%,23.40%,44.60%,0.00%
Alexander Johnson,MIA,25,9-Jun,230,Florida State,USA,2006,2,45,43,4.2,2.2,0.3,-13.2,6.40%,13.10%,17.50%,55.40%,4.50%
Allen Iverson,DEN,33,Jun-00,180,Georgetown,USA,1996,1,1,82,26.4,3,7.1,5,1.30%,5.40%,26.30%,56.70%,27.10%
Alonzo Mourning,MIA,38,10-Jun,261,Georgetown,USA,1992,1,2,25,6,3.7,0.3,-2.9,9.00%,14.20%,17.50%,58.00%,3.20%
Amar'e Stoudemire,PHX,25,10-Jun,249,None,USA,2002,1,9,79,25.2,9.1,1.5,8.2,7.60%,19.10%,27.70%,65.60%,7.20%
Amir Johnson,DET,21,9-Jun,210,None,USA,2005,2,56,62,3.6,3.8,0.5,12.7,11.90%,18.10%,13.10%,58.40%,5.80%
Anderson Varejao,CLE,25,10-Jun,240,None,Brazil,2004,2,30,48,6.7,8.3,1.1,3,9.90%,21.30%,13.20%,48.50%,6.50%
Andray Blatche,WAS,21,11-Jun,248,None,USA,2005,2,49,82,7.5,5.2,1.1,-7,10.00%,16.70%,19.20%,51.20%,9.60%
Andre Barrett,LAC,26,10-May,173,Seton Hall,,Undrafted,Undrafted,Undrafted,4,1.5,0.3,1.8,-32.1,0.00%,4.20%,11.30%,51.00%,58.30%
Andre Brown,MEM,27,9-Jun,245,DePaul,USA,Undrafted,Undrafted,Undrafted,33,3,2.8,0.2,-9.9,11.30%,19.60%,16.60%,50.20%,4.50%
Andre Iguodala,PHI,24,6-Jun,207,Arizona,USA,2004,1,9,82,19.9,5.4,4.8,0.5,2.70%,11.90%,23.60%,54.30%,20.70%
Andre Miller,PHI,32,2-Jun,200,Utah,USA,1999,1,8,82,17,4,6.9,-1.1,3.20%,8.10%,22.50%,53.70%,31.80%
Andre Owens,IND,27,4-Jun,200,Houston,USA,Undrafted,Undrafted,Undrafted,31,4,1.5,1.5,-0.5,3.30%,8.10%,15.80%,50.40%,18.00%
Andrea Bargnani,TOR,22,Jul-00,250,None,Italy,2006,1,1,78,10.2,3.7,1.1,4,2.80%,13.60%,22.20%,49.50%,7.30%
Andrei Kirilenko,UTA,27,9-Jun,223,None,Russia,1999,1,24,72,11,4.7,4,8.9,6.20%,10.50%,15.80%,60.30%,17.60%
Andres Nocioni,CHI,28,7-Jun,225,None,Argentina,Undrafted,Undrafted,Undrafted,82,13.2,4.2,1.2,-2.2,2.30%,14.70%,24.00%,54.90%,8.30%
Andrew Bogut,MIL,23,Jul-00,260,Utah,Australia,2005,1,1,78,14.3,9.8,2.6,-5.8,9.50%,20.50%,20.40%,53.20%,12.10%
Andrew Bynum,LAL,20,Jul-00,285,None,USA,2005,1,10,35,13.1,10.2,1.7,11.5,10.80%,23.20%,16.70%,65.90%,9.10%
Andris Biedrins,GSW,22,11-Jun,230,None,Latvia,2004,1,11,76,10.5,9.8,1,5,11.60%,22.90%,14.20%,63.70%,5.10%
Anfernee Hardaway,MIA,36,7-Jun,215,Memphis,USA,1993,1,3,16,3.8,2.2,2.2,-5.1,1.00%,10.00%,11.00%,46.90%,17.30%
Antawn Jamison,WAS,32,9-Jun,235,North Carolina,USA,1998,1,4,79,21.4,10.2,1.5,3.2,7.00%,20.70%,25.20%,52.50%,7.00%
Anthony Carter,DEN,33,2-Jun,195,Hawaii,USA,Undrafted,Undrafted,Undrafted,70,7.8,2.9,5.5,0,1.40%,8.20%,13.60%,53.10%,26.60%
Anthony Johnson,SAC,33,3-Jun,195,College of Charleston,USA,1997,2,39,69,5.6,2,3.8,-3.5,1.50%,7.80%,13.30%,51.70%,26.80%
